Site,Sample,ID,d13C VPDB (Final),d18O VPDB (Final),D47 I-CDES (Final)
,,2017-07-30 22:47,1.29,1.77,0.658
,,2017-07-30 23:48,1.31,2.17,0.663
,SO213-71-2_Upergina,2017-03-04 18:19,0.27,4.54,0.709
,,2017-03-04 19:51,0.34,4.71,0.681
,,2017-03-05 00:41,0.62,4.46,0.69
,,2017-03-05 01:12,0.36,4.64,0.722
,,2017-03-05 02:42,0.65,3.72,0.735
,,2017-03-05 07:04,0.49,3.77,0.662
,,2017-03-05 08:34,0.35,4.59,0.686
,,2017-03-06 18:58,0.37,4.66,0.655
,,2017-03-06 19:58,0.42,4.49,0.65
,,2017-03-06 20:27,0.34,4.61,0.597
,,2017-03-07 00:49,0.56,4.63,0.657
,,2017-03-07 01:50,0.35,4.65,0.649
,,2017-03-07 06:12,0.38,4.5,0.666
,,2017-03-07 06:43,0.39,4.65,0.645
,,2017-03-07 07:43,0.43,4.66,0.683
,,2017-03-07 08:12,0.32,4.5,0.7
,,2017-03-07 08:44,0.4,4.58,0.637
,,2017-03-15 16:32,0.58,4.55,0.722
,,2017-03-15 18:33,0.34,4.6,0.652
,,2017-03-15 22:25,0.25,4.63,0.667
,,2017-03-15 22:55,0.44,4.6,0.64
,,2017-03-16 00:28,0.47,4.64,0.66
,,2017-03-16 04:22,0.56,4.62,0.683
,,2017-03-16 05:53,0.47,4.5,0.673
,,2017-03-16 16:05,0.58,3.85,0.64
,,2017-03-16 17:06,0.5,4.59,0.648
,,2017-03-16 19:08,0.5,4.61,0.711
,,2017-03-17 04:27,0.38,4.63,0.69
,,2017-03-17 07:02,0.26,4.65,0.67
