Station,LATITUDE (Dez),LONGITUDE (Dez),Species,Size,d13C,d18O,WD,T (∞C),d18O(SMOW),Cruise,Device,dc-dw,Source (water),Reference
10-16,2.01 ,76.43 ,G. sacc.,>250,1.29,-2.74 ,0-50,28.6 ,0.32 ,Osiris II-MD 10,Tow,-2.79 ,measured,Duplessy et al. 1981
10-17,3.88 ,79.48 ,G. sacc.,>250,0.99,-2.93 ,0-50,28.8 ,0.39 ,Osiris II-MD 10,Tow,-3.05 ,measured,Duplessy et al. 1981
10-17,3.88 ,79.48 ,G. sacc.,>250,1.17,-3.02 ,0-50,28.8 ,0.39 ,Osiris II-MD 10,Tow,-3.14 ,measured,Duplessy et al. 1981
10-17,3.88 ,79.48 ,G. sacc.,150-250,-0.07,-3.32 ,0-50,28.8 ,0.39 ,Osiris II-MD 10,Tow,-3.44 ,measured,Duplessy et al. 1981
10-17,3.88 ,79.48 ,G. sacc.,150-250,0.23,-2.97 ,0-50,28.8 ,0.39 ,Osiris II-MD 10,Tow,-3.09 ,measured,Duplessy et al. 1981
10-26,12.09 ,73.90 ,G. sacc.,>250,1.46,-2.50 ,0-50,28.3 ,0.48 ,Osiris II-MD 10,Tow,-2.71 ,measured,Duplessy et al. 1981
10-26,12.09 ,73.90 ,G. sacc.,>250,1.23,-2.63 ,0-50,28.3 ,0.48 ,Osiris II-MD 10,Tow,-2.84 ,measured,Duplessy et al. 1981
10-27,13.13 ,73.31 ,G. sacc.,>250,1.73,-2.69 ,0-200,28.4 ,0.51 ,Osiris II-MD 10,Tow,-2.93 ,measured,Duplessy et al. 1981
10-27,13.13 ,73.31 ,G. sacc.,>250,0.61,-2.79 ,0-200,28.4 ,0.51 ,Osiris II-MD 10,Tow,-3.03 ,measured,Duplessy et al. 1981
10-28,15.00 ,72.33 ,G. sacc.,150-250,-0.18,-2.64 ,0-50,28.8 ,0.54 ,Osiris II-MD 10,Tow,-2.91 ,measured,Duplessy et al. 1981
10-28,15.00 ,72.33 ,G. sacc.,>250,1.31,-3.28 ,0-50,28.8 ,0.54 ,Osiris II-MD 10,Tow,-3.55 ,measured,Duplessy et al. 1981
10-28,15.00 ,72.33 ,G. sacc.,>250,1.01,-2.94 ,0-50,28.8 ,0.54 ,Osiris II-MD 10,Tow,-3.21 ,measured,Duplessy et al. 1981
10-29,15.53 ,72.57 ,G. sacc.,>250,1.54,-2.84 ,0-35,29.0 ,0.66 ,Osiris II-MD 10,Tow,-3.23 ,measured,Duplessy et al. 1981
13-4,-16.86 ,74.67 ,G. sacc.,>250,1.72,-3.00 ,0-75,27.7 ,0.26 ,Osiris III-MD 13,Tow,-2.99 ,estimated,Duplessy et al. 1981
13-7,-15.15 ,85.38 ,G. sacc.,>250,0.61,-2.93 ,0-60,27.6 ,0.10 ,Osiris III-MD 13,Tow,-2.76 ,estimated,Duplessy et al. 1981
13-9,-14.98 ,86.56 ,G. sacc.,150-250,0.79,-2.65 ,0-50,27.6 ,0.10 ,Osiris III-MD 13,Tow,-2.48 ,estimated,Duplessy et al. 1981
13-12,-12.98 ,88.47 ,G. sacc.,150-250,0.28,-3.47 ,0-40,27.3 ,0.30 ,Osiris III-MD 13,Tow,-3.50 ,estimated,Duplessy et al. 1981
13-13,-12.12 ,88.53 ,G. sacc.,150-250,0.81,-2.99 ,0-60,27.7 ,0.25 ,Osiris III-MD 13,Tow,-2.97 ,estimated,Duplessy et al. 1981
13-13,-12.12 ,88.53 ,G. sacc.,>250,1.6,-3.16 ,0-60,27.7 ,0.25 ,Osiris III-MD 13,Tow,-3.14 ,estimated,Duplessy et al. 1981
13-16,-9.88 ,88.81 ,G. sacc.,150-250,0.31,-3.36 ,0-50,28.3 ,0.10 ,Osiris III-MD 13,Tow,-3.19 ,estimated,Duplessy et al. 1981
13-23,-1.27 ,89.15 ,G. sacc.,>250,1.4,-3.10 ,0-75,29.5 ,0.30 ,Osiris III-MD 13,Tow,-3.13 ,estimated,Duplessy et al. 1981
