Station,LATITUDE (Dez),LONGITUDE (Dez),Species,Size,d13C,d18O,WD,T (∞C),d18O(SMOW),Cruise,Device,dc-dw,Source (water),Reference
10-16,2.01 ,76.43 ,G. ruber (w),150-250,1.13 ,-3.13 ,0-50,28.6 ,0.32 ,Osiris II-MD 10,Tow,-3.18 ,measured,Duplessy et al. 1981
10-17,3.88 ,79.48 ,G. ruber (w),150-250,0.57 ,-3.07 ,0-50,28.8 ,0.39 ,Osiris II-MD 10,Tow,-3.19 ,measured,Duplessy et al. 1981
10-17,3.88 ,79.48 ,G. ruber (w),150-250,0.65 ,-2.72 ,0-50,28.8 ,0.39 ,Osiris II-MD 10,Tow,-2.84 ,measured,Duplessy et al. 1981
10-17,3.88 ,79.48 ,G. ruber (w),150-250,0.30 ,-3.45 ,0-50,28.8 ,0.39 ,Osiris II-MD 10,Tow,-3.57 ,measured,Duplessy et al. 1981
10-17,3.88 ,79.48 ,G. ruber (w),>250,0.84 ,-3.15 ,0-50,28.8 ,0.39 ,Osiris II-MD 10,Tow,-3.27 ,measured,Duplessy et al. 1981
10-19,6.39 ,78.66 ,G. ruber (w),150-250,0.18 ,-2.76 ,0-50,27.3 ,0.42 ,Osiris II-MD 10,Tow,-2.91 ,measured,Duplessy et al. 1981
10-19,6.39 ,78.66 ,G. ruber (w),>250,0.42 ,-2.90 ,0-50,27.3 ,0.42 ,Osiris II-MD 10,Tow,-3.05 ,measured,Duplessy et al. 1981
10-26,12.09 ,73.90 ,G. ruber (w),150-250,0.47 ,-2.88 ,0-50,28.3 ,0.48 ,Osiris II-MD 10,Tow,-3.09 ,measured,Duplessy et al. 1981
10-26,12.09 ,73.90 ,G. ruber (w),>250,1.16 ,-2.99 ,0-50,28.3 ,0.48 ,Osiris II-MD 10,Tow,-3.20 ,measured,Duplessy et al. 1981
10-27,13.13 ,73.31 ,G. ruber (w),150-250,0.70 ,-3.05 ,0-200,28.4 ,0.51 ,Osiris II-MD 10,Tow,-3.29 ,measured,Duplessy et al. 1981
10-27,13.13 ,73.31 ,G. ruber (w),>250,1.39 ,-2.78 ,0-200,28.4 ,0.51 ,Osiris II-MD 10,Tow,-3.02 ,measured,Duplessy et al. 1981
10-27,13.13 ,73.31 ,G. ruber (w),>250,1.46 ,-2.84 ,0-200,28.4 ,0.51 ,Osiris II-MD 10,Tow,-3.08 ,measured,Duplessy et al. 1981
10-28,15.00 ,72.33 ,G. ruber (w),150-250,0.45 ,-2.91 ,0-50,28.8 ,0.54 ,Osiris II-MD 10,Tow,-3.18 ,measured,Duplessy et al. 1981
10-28,15.00 ,72.33 ,G. ruber (w),>250,1.22 ,-2.72 ,0-50,28.8 ,0.54 ,Osiris II-MD 10,Tow,-2.99 ,measured,Duplessy et al. 1981
10-29,15.53 ,72.57 ,G. ruber (w),150-250,0.01 ,-3.37 ,0-35,29.0 ,0.66 ,Osiris II-MD 10,Tow,-3.76 ,measured,Duplessy et al. 1981
10-29,15.53 ,72.57 ,G. ruber (w),>250,1.48 ,-2.78 ,0-35,29.0 ,0.66 ,Osiris II-MD 10,Tow,-3.17 ,measured,Duplessy et al. 1981
10-29,15.53 ,72.57 ,G. ruber (w),150-250,0.67 ,-2.94 ,0-35,29.0 ,0.66 ,Osiris II-MD 10,Tow,-3.33 ,measured,Duplessy et al. 1981
10-29,15.53 ,72.57 ,G. ruber (w),>250,1.52 ,-3.12 ,0-35,29.0 ,0.66 ,Osiris II-MD 10,Tow,-3.51 ,measured,Duplessy et al. 1981
10-31,16.45 ,67.28 ,G. ruber (w),150-250,0.55 ,-3.15 ,0-55,29.0 ,0.77 ,Osiris II-MD 10,Tow,-3.65 ,measured,Duplessy et al. 1981
10-31,16.45 ,67.28 ,G. ruber (w),>250,1.11 ,-2.82 ,0-55,29.0 ,0.77 ,Osiris II-MD 10,Tow,-3.32 ,measured,Duplessy et al. 1981
13-4,-16.86 ,74.67 ,G. ruber (w),150-250,0.63 ,-3.20 ,0-75,27.7 ,0.26 ,Osiris III-MD 13,Tow,-3.19 ,estimated,Duplessy et al. 1981
13-7,-15.15 ,85.38 ,G. ruber (w),>250,0.65 ,-3.05 ,0-60,27.6 ,0.10 ,Osiris III-MD 13,Tow,-2.88 ,estimated,Duplessy et al. 1981
13-9,-14.98 ,86.56 ,G. ruber (w),150-250,0.57 ,-3.12 ,0-50,27.6 ,0.10 ,Osiris III-MD 13,Tow,-2.95 ,estimated,Duplessy et al. 1981
13-57,8.36 ,75.97 ,G. ruber (w),150-250,0.52 ,-3.08 ,0-40,28.9 ,0.35 ,Osiris III-MD 13,Tow,-3.16 ,estimated,Duplessy et al. 1981
13-57,8.36 ,75.97 ,G. ruber (w),150-250,0.82 ,-3.02 ,0-300,28.9 ,0.35 ,Osiris III-MD 13,Tow,-3.10 ,estimated,Duplessy et al. 1981
13-57,8.36 ,75.97 ,G. ruber (w),>250,1.21 ,-2.96 ,0-300,28.9 ,0.35 ,Osiris III-MD 13,Tow,-3.04 ,estimated,Duplessy et al. 1981
13-59,10.47 ,75.23 ,G. ruber (w),>250,1.01 ,-3.30 ,0-300,29.4 ,0.43 ,Osiris III-MD 13,Tow,-3.46 ,estimated,Duplessy et al. 1981
13-60,11.50 ,74.54 ,G. ruber (w),>250,1.19 ,-2.94 ,0-300,30.1 ,0.43 ,Osiris III-MD 13,Tow,-3.10 ,estimated,Duplessy et al. 1981
13-61,12.31 ,73.99 ,G. ruber (w),150-250,0.39 ,-3.42 ,0-300,30.3 ,0.45 ,Osiris III-MD 13,Tow,-3.60 ,estimated,Duplessy et al. 1981
13-64,13.97 ,71.89 ,G. ruber (w),150-250,0.10 ,-3.14 ,0-300,30.6 ,0.57 ,Osiris III-MD 13,Tow,-3.44 ,estimated,Duplessy et al. 1981
13-65,16.54 ,67.89 ,G. ruber (w),150-250,0.08 ,-3.53 ,0-40,31.1 ,0.70 ,Osiris III-MD 13,Tow,-3.96 ,estimated,Duplessy et al. 1981
13-67,19.22 ,60.68 ,G. ruber (w),150-250,-0.43 ,-3.36 ,0-300,29.8 ,0.77 ,Osiris III-MD 13,Tow,-3.86 ,estimated,Duplessy et al. 1981
13-67,19.22 ,60.68 ,G. ruber (w),>250,0.57 ,-3.29 ,0-40,29.8 ,0.77 ,Osiris III-MD 13,Tow,-3.79 ,estimated,Duplessy et al. 1981
13-68,12.70 ,59.57 ,G. ruber (w),150-250,0.47 ,-2.77 ,0-300,26.5 ,0.62 ,Osiris III-MD 13,Tow,-3.12 ,estimated,Duplessy et al. 1981
13-68,12.70 ,59.57 ,G. ruber (w),>250,0.72 ,-2.79 ,0-300,26.5 ,0.62 ,Osiris III-MD 13,Tow,-3.14 ,estimated,Duplessy et al. 1981
13-71,16.88 ,55.12 ,G. ruber (w),150-250,0.79 ,-2.71 ,0-200,28.8 ,0.62 ,Osiris III-MD 13,Tow,-3.06 ,estimated,Duplessy et al. 1981
13-72,15.07 ,52.22 ,G. ruber (w),150-250,0.35 ,-3.20 ,0-30,28.8 ,0.62 ,Osiris III-MD 13,Tow,-3.55 ,estimated,Duplessy et al. 1981
313-4-5,15.88 ,53.01 ,G. ruber (w),150-250,0.24 ,-2.18 ,0-8,25.5 ,0.37 ,RV Tyro C,Tow,-2.28 ,estimated,Peeters et al. 2002
