Age,d18Oc
0.798,5.002
0.8,5.078
0.802,5.026
0.804,4.919
0.806,4.79
0.808,4.7
0.81,4.612
0.812,4.534
0.814,4.454
0.816,4.341
0.818,4.225
0.82,4.122
0.822,4.057
0.824,4.089
0.826,4.148
0.828,4.206
0.83,4.249
0.832,4.2
0.834,4.15
0.836,4.18
0.838,4.232
0.84,4.262
0.842,4.176
0.844,4.059
0.846,3.93
0.848,3.821
0.85,3.805
0.852,3.828
0.854,3.891
0.856,3.95
0.858,3.912
0.86,3.876
0.862,3.89
0.864,3.988
0.866,4.313
0.868,4.663
0.87,4.93
0.872,5.022
0.874,5.032
0.876,4.991
0.878,4.928
0.88,4.874
0.882,4.827
0.884,4.831
0.886,4.851
0.888,4.871
0.89,4.883
0.892,4.871
0.894,4.841
0.896,4.791
0.898,4.726
0.9,4.623
0.902,4.514
0.904,4.438
0.906,4.378
0.908,4.351
0.91,4.334
0.912,4.288
0.914,4.246
0.916,4.224
0.918,4.234
0.92,4.294
0.922,4.382
0.924,4.523
0.926,4.653
0.928,4.71
0.93,4.715
0.932,4.615
0.934,4.482
0.936,4.363
0.938,4.278
0.94,4.205
0.942,4.146
0.944,4.089
0.946,4.024
0.948,3.948
0.95,3.851
0.952,3.749
0.954,3.627
0.956,3.524
0.958,3.481
0.96,3.511
0.962,3.69
0.964,3.928
0.966,4.216
0.968,4.46
0.97,4.521
0.972,4.506
0.974,4.404
0.976,4.271
0.978,4.165
0.98,4.087
0.982,4.087
0.984,4.121
0.986,4.195
0.988,4.278
0.99,4.332
0.992,4.356
0.994,4.328
0.996,4.273
0.998,4.163
1,4.063
1.002,4.038
1.004,4.085
1.006,4.16
1.008,4.232
1.01,4.295
1.012,4.327
1.014,4.329
1.016,4.269
1.018,4.179
1.02,4.061
1.022,3.954
1.024,3.903
1.026,3.892
1.028,3.941
1.03,4.035
1.032,4.201
1.034,4.382
1.036,4.533
1.038,4.644
1.04,4.651
1.042,4.625
1.044,4.605
1.046,4.587
1.048,4.597
1.05,4.602
1.052,4.594
1.054,4.559
1.056,4.451
1.058,4.319
1.06,4.189
1.062,4.061
1.064,3.959
1.066,3.865
1.068,3.754
1.07,3.664
1.072,3.615
1.074,3.667
1.076,3.755
1.078,3.85
1.08,3.952
1.082,4.039
1.084,4.119
1.086,4.192
1.088,4.243
1.09,4.228
1.092,4.213
1.094,4.255
