Age,d18Oc
10.81,3.106
10.812,3.049
10.814,2.999
10.816,2.99
10.818,2.99
10.82,2.991
10.822,2.987
10.824,2.952
10.826,2.918
10.828,2.913
10.83,2.919
10.832,2.946
10.834,2.976
10.836,2.98
10.838,2.978
10.84,2.976
10.842,2.985
10.844,2.993
10.846,2.994
10.848,2.997
10.85,3.009
10.852,3.021
10.854,3.041
10.856,3.047
10.858,3.005
10.86,2.949
10.862,2.891
10.864,2.841
10.866,2.828
10.868,2.829
10.87,2.837
10.872,2.845
10.874,2.833
10.876,2.826
10.878,2.84
10.88,2.864
10.882,2.904
10.884,2.939
10.886,2.944
10.888,2.944
10.89,2.949
10.892,2.951
10.894,2.954
10.896,2.964
10.898,2.985
10.9,3
10.902,3.004
10.904,3
10.906,2.964
10.908,2.965
10.91,2.978
10.912,3.01
10.914,3.043
10.916,3.058
10.918,3.061
10.92,3.057
10.922,3.042
10.924,3.006
10.926,2.956
10.928,2.885
10.93,2.817
10.932,2.776
10.934,2.75
10.936,2.741
10.938,2.738
10.94,2.722
10.942,2.706
10.944,2.699
10.946,2.732
10.948,2.774
10.95,2.804
10.952,2.833
10.954,2.854
10.956,2.874
10.958,2.903
10.96,2.933
10.962,2.954
10.964,2.968
10.966,2.973
10.968,2.971
10.97,2.955
10.972,2.935
10.974,2.917
10.976,2.9
10.978,2.887
10.98,2.883
10.982,2.883
10.984,2.884
10.986,2.89
10.988,2.892
10.99,2.898
10.992,2.917
10.994,2.939
10.996,2.958
10.998,2.969
11,2.961
11.002,2.939
11.004,2.901
11.006,2.858
11.008,2.816
11.01,2.773
11.012,2.734
11.014,2.697
11.016,2.661
11.018,2.631
11.02,2.606
11.022,2.603
11.024,2.656
11.026,2.729
11.028,2.81
11.03,2.89
11.032,2.946
11.034,2.989
11.036,3.023
11.038,3.05
11.04,3.06
11.042,3.08
11.044,3.096
11.046,3.108
11.048,3.112
11.05,3.097
11.052,3.074
11.054,3.05
11.056,3.031
11.058,3.029
11.06,3.033
11.062,3.043
11.064,3.054
11.066,3.071
11.068,3.085
11.07,3.085
11.072,3.065
11.074,2.998
11.076,2.931
11.078,2.908
11.08,2.902
11.082,2.923
11.084,2.949
11.086,2.95
11.088,2.951
11.09,2.977
11.092,3.011
11.094,3.053
11.096,3.087
11.098,3.087
11.1,3.085
11.102,3.104
11.104,3.13
11.106,3.181
11.108,3.202
11.11,3.206
11.112,3.176
11.114,3.128
11.116,3.072
11.118,3.018
11.12,2.982
11.122,2.955
11.124,2.952
11.126,2.952
11.128,2.932
11.13,2.905
11.132,2.872
11.134,2.846
11.136,2.849
11.138,2.857
11.14,2.85
11.142,2.851
11.144,2.879
11.146,2.915
11.148,2.965
11.15,3.014
11.152,3.028
11.154,3.03
11.156,3.04
11.158,3.038
11.16,3.003
11.162,2.953
11.164,2.888
11.166,2.814
11.168,2.735
11.17,2.677
11.172,2.665
11.174,2.72
11.176,2.795
11.178,2.843
11.18,2.873
11.182,2.861
11.184,2.837
11.186,2.805
11.188,2.783
11.19,2.804
11.192,2.856
11.194,2.964
11.196,3.075
11.198,3.153
11.2,3.207
11.202,3.208
11.204,3.181
11.206,3.143
11.208,3.083
11.21,3.023
11.212,2.988
11.214,2.967
11.216,2.972
11.218,2.987
11.22,2.992
11.222,2.995
11.224,3.01
11.226,3.027
11.228,3.036
11.23,3.044
11.232,3.05
11.234,3.056
11.236,3.078
11.238,3.1
11.24,3.12
11.242,3.113
11.244,3.087
11.246,3.015
11.248,2.94
11.25,2.899
11.252,2.882
11.254,2.931
11.256,2.973
11.258,2.925
11.26,2.853
11.262,2.752
11.264,2.681
11.266,2.738
11.268,2.832
11.27,2.942
11.272,3.037
11.274,3.034
11.276,2.999
11.278,2.964
11.28,2.929
11.282,2.912
11.284,2.888
11.286,2.816
11.288,2.759
11.29,2.78
11.292,2.826
11.294,2.889
11.296,2.945
11.298,2.948
11.3,2.934
11.302,2.928
11.304,2.906
11.306,2.83
11.308,2.753
11.31,2.701
11.312,2.727
11.314,2.787
11.316,2.88
11.318,2.983
11.32,3.08
11.322,3.158
11.324,3.17
11.326,3.158
11.328,3.135
11.33,3.11
11.332,3.117
11.334,3.122
11.336,3.087
11.338,3.042
11.34,3.013
11.342,2.993
11.344,2.985
11.346,2.982
11.348,2.984
11.35,2.988
11.352,2.995
11.354,2.999
11.356,2.987
11.358,2.969
11.36,2.947
11.362,2.932
11.364,2.943
11.366,2.965
11.368,2.993
11.37,3.013
11.372,3.009
11.374,2.986
11.376,2.936
11.378,2.825
11.38,2.727
11.382,2.697
11.384,2.702
11.386,2.799
11.388,2.904
11.39,2.911
11.392,2.894
11.394,2.873
11.396,2.848
11.398,2.826
11.4,2.821
11.402,2.846
11.404,2.89
11.406,2.983
11.408,3.073
11.41,3.118
11.412,3.136
11.414,3.106
11.416,3.057
11.418,3.017
11.42,2.976
11.422,2.937
11.424,2.9
11.426,2.875
11.428,2.85
11.43,2.822
11.432,2.792
11.434,2.749
11.436,2.715
11.438,2.705
11.44,2.727
11.442,2.767
11.444,2.815
11.446,2.854
11.448,2.853
11.45,2.843
11.452,2.822
11.454,2.808
11.456,2.845
11.458,2.904
11.46,2.989
11.462,3.054
11.464,3.034
11.466,2.988
11.468,2.916
11.47,2.861
11.472,2.913
11.474,2.964
11.476,3.006
11.478,2.973
11.48,2.921
11.482,2.88
11.484,2.85
11.486,2.845
11.488,2.857
11.49,2.906
11.492,2.964
11.494,3.022
11.496,3.062
11.498,3.024
11.5,2.969
11.502,2.931
11.504,2.904
11.506,2.921
11.508,2.934
11.51,2.951
11.512,2.973
11.514,2.983
11.516,2.951
11.518,2.913
11.52,2.873
11.522,2.848
11.524,2.894
11.526,2.958
11.528,3.003
11.53,3.035
11.532,3.045
11.534,3.04
11.536,3.021
11.538,2.988
11.54,2.933
11.542,2.882
11.544,2.865
11.546,2.863
11.548,2.895
11.55,2.93
11.552,2.933
11.554,2.916
11.556,2.855
11.558,2.79
11.56,2.742
11.562,2.719
11.564,2.763
11.566,2.833
11.568,2.914
11.57,2.996
11.572,3.061
11.574,3.113
11.576,3.14
11.578,3.116
11.58,3.054
11.582,2.919
11.584,2.787
11.586,2.727
11.588,2.713
11.59,2.804
11.592,2.902
11.594,2.903
11.596,2.882
11.598,2.851
11.6,2.825
11.602,2.846
11.604,2.873
11.606,2.867
11.608,2.854
11.61,2.841
11.612,2.85
11.614,2.922
11.616,3.004
11.618,3.089
11.62,3.139
11.622,3.069
11.624,2.968
11.626,2.87
11.628,2.784
11.63,2.766
11.632,2.773
11.634,2.774
11.636,2.782
11.638,2.811
11.64,2.824
11.642,2.819
11.644,2.753
11.646,2.692
11.648,2.683
11.65,2.718
11.652,2.86
11.654,3.006
11.656,3.065
11.658,3.09
11.66,3.07
11.662,3.033
11.664,3.005
11.666,2.977
11.668,2.941
11.67,2.91
11.672,2.906
11.674,2.922
11.676,2.971
11.678,3.025
11.68,3.058
11.682,3.08
11.684,3.074
11.686,3.067
11.688,3.091
11.69,3.111
11.692,3.1
11.694,3.084
11.696,3.084
11.698,3.071
11.7,3.014
11.702,2.949
11.704,2.869
11.706,2.843
11.708,2.835
11.71,2.843
11.712,2.85
11.714,2.824
11.716,2.798
11.718,2.8
11.72,2.811
11.722,2.831
11.724,2.85
11.726,2.842
11.728,2.831
11.73,2.83
11.732,2.848
11.734,2.909
11.736,2.975
11.738,3.032
11.74,3.066
11.742,3.084
11.744,3.074
11.746,3.051
11.748,3.016
11.75,2.978
11.752,2.948
11.754,2.924
11.756,2.912
11.758,2.906
11.76,2.901
11.762,2.904
11.764,2.924
11.766,2.946
11.768,2.959
11.77,2.968
11.772,2.968
11.774,2.965
11.776,2.956
11.778,2.936
11.78,2.912
11.782,2.896
11.784,2.876
11.786,2.837
11.788,2.798
11.79,2.77
11.792,2.743
11.794,2.721
11.796,2.712
11.798,2.722
11.8,2.743
11.802,2.791
11.804,2.837
11.806,2.825
11.808,2.808
11.81,2.824
11.812,2.856
11.814,2.929
11.816,2.988
11.818,2.951
11.82,2.901
11.822,2.892
11.824,2.896
11.826,2.93
11.828,2.955
11.83,2.903
11.832,2.857
11.834,2.902
11.836,2.959
11.838,3.008
11.84,2.979
11.842,2.93
11.844,2.885
11.846,2.853
11.848,2.872
11.85,2.899
11.852,2.908
11.854,2.913
11.856,2.907
11.858,2.895
11.86,2.878
11.862,2.867
11.864,2.878
11.866,2.9
11.868,2.938
11.87,2.97
11.872,2.966
11.874,2.955
11.876,2.948
11.878,2.951
11.88,2.981
11.882,3.018
11.884,3.051
11.886,3.081
11.888,3.094
11.89,3.106
11.892,3.131
11.894,3.152
11.896,3.168
11.898,3.173
11.9,3.154
11.902,3.117
11.904,3.054
11.906,2.986
11.908,2.928
11.91,2.922
11.912,2.932
11.914,2.956
11.916,2.973
11.918,2.947
11.92,2.909
11.922,2.865
11.924,2.835
11.926,2.842
11.928,2.875
11.93,2.959
11.932,3.046
11.934,3.088
11.936,3.117
11.938,3.133
11.94,3.135
11.942,3.14
11.944,3.131
11.946,3.067
11.948,2.992
11.95,2.933
11.952,2.893
11.954,2.901
11.956,2.932
11.958,2.981
11.96,3.037
11.962,3.094
11.964,3.139
11.966,3.142
11.968,3.126
11.97,3.082
11.972,3.058
11.974,3.031
11.976,2.996
11.978,2.962
11.98,2.929
11.982,2.898
11.984,2.886
11.986,2.876
11.988,2.842
11.99,2.799
11.992,2.746
11.994,2.695
11.996,2.652
11.998,2.628
12,2.653
12.002,2.698
12.004,2.763
12.006,2.8
12.008,2.827
12.01,2.833
12.012,2.838
12.014,2.861
12.016,2.891
12.018,2.938
12.02,2.97
12.022,2.946
12.024,2.898
12.026,2.816
12.028,2.738
12.03,2.705
12.032,2.702
12.034,2.76
12.036,2.823
12.038,2.856
12.04,2.861
12.042,2.848
12.044,2.799
12.046,2.757
12.048,2.757
12.05,2.78
12.052,2.85
12.054,2.933
12.056,3.007
12.058,3.055
12.06,3.03
12.062,2.97
12.064,2.863
12.066,2.756
12.068,2.696
12.07,2.67
12.072,2.723
12.074,2.786
12.076,2.794
12.078,2.791
12.08,2.777
12.082,2.763
12.084,2.799
12.086,2.835
12.088,2.815
12.09,2.771
12.092,2.686
12.094,2.617
12.096,2.629
12.098,2.677
12.1,2.787
12.102,2.897
12.104,2.957
12.106,2.932
12.108,2.873
12.11,2.793
12.112,2.711
12.114,2.658
12.116,2.63
12.118,2.65
12.12,2.691
12.122,2.745
12.124,2.8
12.126,2.827
12.128,2.844
12.13,2.855
12.132,2.868
12.134,2.897
12.136,2.925
12.138,2.944
12.14,2.954
12.142,2.945
12.144,2.93
12.146,2.926
12.148,2.917
12.15,2.883
12.152,2.844
12.154,2.808
12.156,2.785
12.158,2.81
12.16,2.835
12.162,2.817
12.164,2.788
12.166,2.75
12.168,2.718
12.17,2.721
12.172,2.712
12.174,2.713
12.176,2.729
12.178,2.769
12.18,2.885
12.182,2.997
12.184,3.037
12.186,3.034
12.188,2.949
12.19,2.851
12.192,2.798
12.194,2.768
12.196,2.786
12.198,2.813
12.2,2.815
12.202,2.812
12.204,2.796
12.206,2.786
12.208,2.811
12.21,2.854
12.212,2.92
12.214,2.982
12.216,3.016
12.218,3.031
12.22,3.013
12.222,2.985
12.224,2.963
12.226,2.939
12.228,2.916
12.23,2.9
12.232,2.896
12.234,2.903
12.236,2.93
12.238,2.968
12.24,2.999
12.242,3
12.244,2.993
12.246,2.971
12.248,2.954
12.25,2.988
12.252,3.02
12.254,3.006
12.256,2.971
12.258,2.904
12.26,2.835
12.262,2.803
12.264,2.773
12.266,2.72
12.268,2.673
12.27,2.644
12.272,2.65
12.274,2.676
12.276,2.724
12.278,2.781
12.28,2.834
12.282,2.883
12.284,2.918
12.286,2.949
12.288,2.987
12.29,3.019
12.292,3.034
12.294,3.039
12.296,3.032
12.298,3.019
12.3,3.003
12.302,2.982
12.304,2.954
12.306,2.931
12.308,2.901
12.31,2.852
12.312,2.8
12.314,2.741
12.316,2.689
12.318,2.677
12.32,2.678
12.322,2.677
12.324,2.683
12.326,2.695
12.328,2.709
12.33,2.712
12.332,2.734
12.334,2.823
12.336,2.918
12.338,2.994
12.34,3.044
12.342,3.015
12.344,2.959
12.346,2.914
12.348,2.867
12.35,2.814
12.352,2.771
12.354,2.764
12.356,2.764
12.358,2.751
12.36,2.741
12.362,2.734
12.364,2.739
12.366,2.777
12.368,2.829
12.37,2.884
12.372,2.946
12.374,3.007
12.376,3.064
12.378,3.105
12.38,3.097
12.382,3.072
12.384,3.049
12.386,3.017
12.388,2.977
12.39,2.937
12.392,2.892
12.394,2.855
12.396,2.849
12.398,2.864
12.4,2.919
12.402,2.973
12.404,2.994
12.406,2.996
12.408,2.951
12.41,2.894
12.412,2.845
12.414,2.808
12.416,2.809
12.418,2.829
12.42,2.882
12.422,2.939
12.424,2.966
12.426,2.977
12.428,2.97
12.43,2.955
12.432,2.936
12.434,2.917
12.436,2.896
12.438,2.899
12.44,2.918
12.442,2.968
12.444,3.022
12.446,3.071
12.448,3.096
12.45,3.054
12.452,2.993
12.454,2.931
12.456,2.875
12.458,2.86
12.46,2.858
12.462,2.856
12.464,2.852
12.466,2.837
12.468,2.817
12.47,2.788
12.472,2.757
12.474,2.714
12.476,2.683
12.478,2.694
12.48,2.735
12.482,2.832
12.484,2.929
12.486,2.963
12.488,2.971
12.49,2.952
12.492,2.927
12.494,2.918
12.496,2.905
12.498,2.872
12.5,2.85
12.502,2.87
12.504,2.922
12.506,2.977
12.508,2.993
12.51,2.993
12.512,2.982
12.514,2.971
12.516,2.965
12.518,2.965
12.52,2.99
12.522,3.015
12.524,3.023
12.526,3.02
12.528,2.996
12.53,2.964
12.532,2.933
12.534,2.905
12.536,2.885
12.538,2.871
12.54,2.864
12.542,2.871
12.544,2.908
12.546,2.951
12.548,2.993
12.55,3.022
12.552,2.995
12.554,2.958
12.556,2.948
12.558,2.954
12.56,3.006
12.562,3.056
12.564,3.052
12.566,3.029
12.568,2.98
12.57,2.94
12.572,2.916
12.574,2.947
12.576,2.983
12.578,3
12.58,3.005
12.582,2.949
12.584,2.889
12.586,2.888
12.588,2.904
12.59,2.936
12.592,2.958
12.594,2.913
12.596,2.856
12.598,2.812
12.6,2.796
12.602,2.854
12.604,2.921
12.606,2.956
12.608,2.974
12.61,2.933
12.612,2.886
12.614,2.889
12.616,2.902
12.618,2.919
12.62,2.933
12.622,2.914
12.624,2.892
12.626,2.894
12.628,2.904
12.63,2.917
12.632,2.933
12.634,2.957
12.636,2.978
12.638,2.992
12.64,2.99
12.642,2.978
12.644,2.958
12.646,2.941
12.648,2.943
12.65,2.937
12.652,2.889
12.654,2.848
12.656,2.858
12.658,2.886
12.66,2.945
12.662,2.993
12.664,2.954
12.666,2.904
12.668,2.904
12.67,2.912
12.672,2.917
12.674,2.918
12.676,2.904
12.678,2.881
12.68,2.852
12.682,2.811
12.684,2.722
12.686,2.652
12.688,2.679
12.69,2.743
12.692,2.838
12.694,2.933
12.696,2.983
12.698,3.014
12.7,3.027
12.702,3.026
12.704,3.011
12.706,2.974
12.708,2.931
12.71,2.891
12.712,2.862
12.714,2.864
12.716,2.891
12.718,2.962
12.72,3.023
12.722,3.009
12.724,2.977
12.726,2.934
12.728,2.901
12.73,2.929
12.732,2.963
12.734,2.971
12.736,2.968
12.738,2.938
12.74,2.904
12.742,2.884
12.744,2.867
12.746,2.857
12.748,2.866
12.75,2.913
12.752,2.956
12.754,2.966
12.756,2.967
12.758,2.953
12.76,2.934
12.762,2.932
12.764,2.936
12.766,2.933
12.768,2.945
12.77,2.963
12.772,3.002
12.774,3.038
12.776,3.045
12.778,3.035
12.78,3.001
12.782,2.959
12.784,2.911
12.786,2.87
12.788,2.867
12.79,2.88
12.792,2.901
12.794,2.92
12.796,2.92
12.798,2.915
12.8,2.894
12.802,2.921
12.804,2.951
12.806,2.959
12.808,2.952
12.81,2.906
12.812,2.848
12.814,2.803
12.816,2.773
12.818,2.775
12.82,2.796
12.822,2.846
12.824,2.9
12.826,2.932
12.828,2.958
12.83,2.976
12.832,2.985
12.834,2.984
12.836,2.967
12.838,2.952
12.84,2.966
12.842,2.988
12.844,3.009
12.846,3.022
12.848,3.009
12.85,2.978
12.852,2.93
12.854,2.874
12.856,2.797
12.858,2.74
12.86,2.767
12.862,2.82
12.864,2.88
12.866,2.938
12.868,2.953
12.87,2.966
12.872,3.026
12.874,3.083
12.876,3.1
12.878,3.092
12.88,3.036
12.882,2.98
12.884,2.967
12.886,2.979
12.888,3.037
12.89,3.105
12.892,3.156
12.894,3.191
12.896,3.188
12.898,3.167
12.9,3.13
12.902,3.083
12.904,3.035
12.906,2.995
12.908,2.963
12.91,2.95
12.912,2.945
12.914,2.946
12.916,2.947
12.918,2.937
12.92,2.921
12.922,2.894
12.924,2.864
12.926,2.831
12.928,2.802
12.93,2.782
12.932,2.78
12.934,2.821
12.936,2.877
12.938,2.946
12.94,3.006
12.942,3.027
12.944,3.018
12.946,2.945
12.948,2.864
12.95,2.817
12.952,2.799
12.954,2.858
12.956,2.928
12.958,2.959
12.96,2.969
12.962,2.942
12.964,2.902
12.966,2.852
12.968,2.803
12.97,2.772
12.972,2.792
12.974,2.839
12.976,2.93
12.978,3.014
12.98,3.021
12.982,3.015
12.984,3.024
12.986,3.041
12.988,3.093
12.99,3.152
12.992,3.196
12.994,3.226
12.996,3.232
12.998,3.22
13,3.181
13.002,3.129
13.004,3.073
13.006,3.015
13.008,2.955
13.01,2.909
13.012,2.906
13.014,2.918
13.016,2.939
13.018,2.961
13.02,2.966
13.022,2.973
13.024,3.008
13.026,3.035
13.028,3.022
13.03,2.994
13.032,2.941
13.034,2.922
13.036,2.913
13.038,2.95
13.04,2.973
13.042,2.903
13.044,2.806
13.046,2.686
13.048,2.593
13.05,2.604
13.052,2.66
13.054,2.765
13.056,2.875
13.058,2.934
13.06,2.978
13.062,3.014
13.064,3.034
13.066,3.047
13.068,3.027
13.07,2.986
13.072,2.919
13.074,2.855
13.076,2.832
13.078,2.825
13.08,2.835
13.082,2.843
13.084,2.814
13.086,2.784
13.088,2.779
13.09,2.784
13.092,2.809
13.094,2.822
13.096,2.777
13.098,2.709
13.1,2.599
13.102,2.56
13.104,2.549
13.106,2.591
13.108,2.646
13.11,2.676
13.112,2.691
13.114,2.668
13.116,2.635
13.118,2.601
13.12,2.579
13.122,2.608
13.124,2.649
13.126,2.681
13.128,2.706
13.13,2.73
13.132,2.736
13.134,2.696
13.136,2.626
13.138,2.504
13.14,2.386
13.142,2.337
13.144,2.322
13.146,2.342
13.148,2.391
13.15,2.472
13.152,2.571
13.154,2.693
13.156,2.81
13.158,2.877
13.16,2.917
13.162,2.922
13.164,2.913
13.166,2.902
13.168,2.913
13.17,2.926
13.172,2.931
13.174,2.921
13.176,2.877
13.178,2.827
13.18,2.782
13.182,2.744
13.184,2.743
13.186,2.75
13.188,2.745
13.19,2.736
13.192,2.714
13.194,2.691
13.196,2.676
13.198,2.664
13.2,2.66
13.202,2.653
13.204,2.632
13.206,2.61
13.208,2.592
13.21,2.57
13.212,2.53
13.214,2.496
13.216,2.481
13.218,2.488
13.22,2.549
13.222,2.619
13.224,2.648
13.226,2.671
13.228,2.72
13.23,2.762
13.232,2.798
13.234,2.762
13.236,2.696
13.238,2.584
13.24,2.479
13.242,2.456
13.244,2.46
13.246,2.483
13.248,2.506
13.25,2.47
13.252,2.433
13.254,2.43
13.256,2.466
13.258,2.611
13.26,2.763
13.262,2.852
13.264,2.889
13.266,2.807
13.268,2.7
13.27,2.627
13.272,2.575
13.274,2.596
13.276,2.639
13.278,2.68
13.28,2.712
13.282,2.697
13.284,2.672
13.286,2.65
13.288,2.639
13.29,2.658
13.292,2.692
13.294,2.741
13.296,2.799
13.298,2.867
13.3,2.928
13.302,2.972
13.304,2.965
13.306,2.939
13.308,2.909
13.31,2.879
13.312,2.865
13.314,2.859
13.316,2.874
13.318,2.885
13.32,2.862
13.322,2.835
13.324,2.827
13.326,2.802
13.328,2.715
13.33,2.624
13.332,2.519
13.334,2.508
13.336,2.555
13.338,2.72
13.34,2.892
13.342,2.968
13.344,3.007
13.346,2.997
13.348,2.957
13.35,2.888
13.352,2.815
13.354,2.774
13.356,2.747
13.358,2.753
13.36,2.756
13.362,2.707
13.364,2.642
13.366,2.559
13.368,2.514
13.37,2.489
13.372,2.484
13.374,2.499
13.376,2.547
13.378,2.606
13.38,2.668
13.382,2.722
13.384,2.743
13.386,2.753
13.388,2.764
13.39,2.774
13.392,2.803
13.394,2.825
13.396,2.813
13.398,2.789
13.4,2.765
13.402,2.733
13.404,2.694
13.406,2.642
13.408,2.546
13.41,2.453
13.412,2.408
13.414,2.39
13.416,2.414
13.418,2.451
13.42,2.464
13.422,2.462
13.424,2.435
13.426,2.42
13.428,2.435
13.43,2.475
13.432,2.58
13.434,2.68
13.436,2.773
13.438,2.854
13.44,2.9
13.442,2.846
13.444,2.774
13.446,2.722
13.448,2.685
13.45,2.717
13.452,2.772
13.454,2.816
13.456,2.848
13.458,2.857
13.46,2.859
13.462,2.855
13.464,2.844
13.466,2.836
13.468,2.819
13.47,2.771
13.472,2.719
13.474,2.685
13.476,2.656
13.478,2.632
13.48,2.617
13.482,2.617
13.484,2.619
13.486,2.618
13.488,2.614
13.49,2.597
13.492,2.575
13.494,2.557
13.496,2.539
13.498,2.514
13.5,2.488
13.502,2.471
13.504,2.481
13.506,2.509
13.508,2.566
13.51,2.629
13.512,2.689
13.514,2.73
13.516,2.728
13.518,2.698
13.52,2.619
13.522,2.525
13.524,2.429
13.526,2.351
13.528,2.345
13.53,2.354
13.532,2.346
13.534,2.331
13.536,2.278
13.538,2.223
13.54,2.187
13.542,2.189
13.544,2.268
13.546,2.381
13.548,2.542
13.55,2.692
13.552,2.739
13.554,2.748
13.556,2.732
13.558,2.701
13.56,2.665
13.562,2.642
13.564,2.656
13.566,2.71
13.568,2.773
13.57,2.824
13.572,2.862
13.574,2.878
13.576,2.878
13.578,2.863
13.58,2.83
13.582,2.769
13.584,2.696
13.586,2.62
13.588,2.544
13.59,2.458
13.592,2.402
13.594,2.437
13.596,2.511
13.598,2.653
13.6,2.733
13.602,2.781
13.604,2.759
13.606,2.7
13.608,2.615
13.61,2.533
13.612,2.477
13.614,2.451
13.616,2.507
13.618,2.582
13.62,2.64
13.622,2.673
13.624,2.628
13.626,2.564
13.628,2.501
13.63,2.44
13.632,2.392
13.634,2.419
13.636,2.484
13.638,2.63
13.64,2.786
13.642,2.862
13.644,2.9
13.646,2.89
13.648,2.861
13.65,2.828
13.652,2.801
13.654,2.799
13.656,2.807
13.658,2.839
13.66,2.872
13.662,2.885
13.664,2.887
13.666,2.876
13.668,2.858
13.67,2.835
13.672,2.809
13.674,2.776
13.676,2.748
13.678,2.74
13.68,2.74
13.682,2.73
13.684,2.728
13.686,2.757
13.688,2.793
13.69,2.849
13.692,2.878
13.694,2.788
13.696,2.672
13.698,2.557
13.7,2.533
13.702,2.539
13.704,2.56
13.706,2.585
13.708,2.581
13.71,2.582
13.712,2.628
13.714,2.683
13.716,2.735
13.718,2.775
13.72,2.773
13.722,2.764
13.724,2.775
13.726,2.793
13.728,2.823
13.73,2.85
13.732,2.858
13.734,2.858
13.736,2.846
13.738,2.829
13.74,2.818
13.742,2.811
13.744,2.818
13.746,2.822
13.748,2.793
13.75,2.763
13.752,2.754
13.754,2.764
13.756,2.831
13.758,2.894
13.76,2.892
13.762,2.873
13.764,2.837
13.766,2.836
13.768,2.84
13.77,2.822
13.772,2.8
13.774,2.786
13.776,2.781
13.778,2.802
13.78,2.822
13.782,2.807
13.784,2.772
13.786,2.712
13.788,2.663
13.79,2.672
13.792,2.687
13.794,2.683
13.796,2.668
13.798,2.616
13.8,2.567
13.802,2.584
13.804,2.609
13.806,2.601
13.808,2.572
13.81,2.5
13.812,2.427
13.814,2.404
13.816,2.397
13.818,2.406
13.82,2.4
13.822,2.321
13.824,2.234
13.826,2.176
13.828,2.157
13.83,2.238
13.832,2.347
13.834,2.462
13.836,2.522
13.838,2.564
13.84,2.618
13.842,2.649
13.844,2.622
13.846,2.573
13.848,2.496
13.85,2.419
13.852,2.406
13.854,2.409
13.856,2.397
13.858,2.375
13.86,2.323
13.862,2.259
13.864,2.17
13.866,2.139
13.868,2.115
13.87,2.078
13.872,2.042
13.874,1.981
13.876,1.935
13.878,1.97
13.88,2.039
13.882,2.141
13.884,2.237
13.886,2.286
13.888,2.292
13.89,2.219
13.892,2.118
13.894,2.011
13.896,1.911
13.898,1.861
13.9,1.807
13.902,1.769
13.904,1.757
13.906,1.769
13.908,1.823
13.91,1.882
13.912,1.871
13.914,1.869
13.916,1.947
13.918,2.057
13.92,2.229
13.922,2.385
13.924,2.407
13.926,2.386
13.928,2.372
13.93,2.34
13.932,2.27
13.934,2.188
13.936,2.098
13.938,2.027
13.94,2.033
13.942,2.061
13.944,2.082
13.946,2.107
13.948,2.13
13.95,2.157
13.952,2.191
13.954,2.23
13.956,2.278
13.958,2.326
13.96,2.369
13.962,2.398
13.964,2.399
13.966,2.388
13.968,2.363
13.97,2.304
13.972,2.246
13.974,2.234
13.976,2.231
13.978,2.222
13.98,2.207
13.982,2.17
13.984,2.124
13.986,2.068
13.988,2.007
13.99,1.92
13.992,1.857
13.994,1.88
13.996,1.938
13.998,2.03
14,2.135
14.002,2.223
14.004,2.301
14.006,2.373
14.008,2.425
14.01,2.423
14.012,2.402
14.014,2.379
14.016,2.346
14.018,2.326
14.02,2.305
14.022,2.264
14.024,2.219
14.026,2.16
14.028,2.124
14.03,2.133
14.032,2.255
14.034,2.403
14.036,2.535
14.038,2.643
14.04,2.672
14.042,2.666
14.044,2.645
14.046,2.605
14.048,2.546
14.05,2.486
14.052,2.435
14.054,2.384
14.056,2.334
14.058,2.297
14.06,2.283
14.062,2.274
14.064,2.271
14.066,2.268
14.068,2.238
14.07,2.213
14.072,2.226
14.074,2.251
14.076,2.282
14.078,2.312
14.08,2.32
14.082,2.328
14.084,2.359
14.086,2.386
14.088,2.4
14.09,2.404
14.092,2.382
14.094,2.338
14.096,2.263
14.098,2.196
14.1,2.135
14.102,2.098
14.104,2.072
14.106,2.056
14.108,2.044
14.11,2.03
14.112,2.03
14.114,2.046
14.116,2.069
14.118,2.109
14.12,2.165
14.122,2.242
14.124,2.32
14.126,2.39
14.128,2.461
14.13,2.54
14.132,2.576
14.134,2.6
14.136,2.608
14.138,2.615
14.14,2.694
14.142,2.768
14.144,2.763
14.146,2.702
14.148,2.541
14.15,2.355
14.152,2.192
14.154,2.078
14.156,2.077
14.158,2.113
14.16,2.177
14.162,2.263
14.164,2.353
14.166,2.411
14.168,2.443
14.17,2.394
14.172,2.323
14.174,2.278
14.176,2.265
14.178,2.334
14.18,2.417
14.182,2.489
14.184,2.543
14.186,2.526
14.188,2.485
14.19,2.447
14.192,2.404
14.194,2.355
14.196,2.307
14.198,2.259
14.2,2.222
14.202,2.231
14.204,2.237
14.206,2.196
14.208,2.156
14.21,2.122
14.212,2.1
14.214,2.137
14.216,2.198
14.218,2.264
14.22,2.32
14.222,2.348
14.224,2.357
14.226,2.322
14.228,2.279
14.23,2.269
14.232,2.268
14.234,2.268
14.236,2.258
14.238,2.25
14.24,2.25
14.242,2.25
14.244,2.24
14.246,2.239
14.248,2.263
14.25,2.294
14.252,2.355
14.254,2.403
14.256,2.366
14.258,2.295
14.26,2.208
14.262,2.131
14.264,2.109
14.266,2.104
14.268,2.094
14.27,2.079
14.272,2.049
14.274,2.02
14.276,1.979
14.278,1.967
14.28,2.044
14.282,2.147
14.284,2.281
14.286,2.406
14.288,2.446
14.29,2.443
14.292,2.405
14.294,2.337
14.296,2.225
14.298,2.106
14.3,1.997
14.302,1.936
14.304,1.898
14.306,1.887
14.308,1.892
