Age,Temperature,Sea level,,Trend Age,Trend Temperature,Trend Sea level,Trend Temperature (long),Trend Sea level (long)
5.165,3.19,-11.93,,,,,,
5.170,3.08,-16.67,,,,,,
5.175,2.78,-29.41,,,,,,
5.180,2.94,-22.81,,,,,,
5.185,3.09,-16.89,,,,,,
5.190,3.13,-15.63,,,,,,
5.195,3.41,-3.70,,,,,,
5.200,3.35,-6.44,,,,,,
5.205,3.14,-15.85,,,,,,
5.210,3.20,-13.26,,,,,,
5.215,3.35,-7.33,,,,,,
5.220,3.40,-5.41,,,,,,
5.225,3.26,-11.48,,,,,,
5.230,3.19,-14.89,,,,,,
5.235,3.52,-0.96,,,,,,
5.240,3.29,-11.04,,,,,,
5.245,3.21,-14.44,,,,,,
5.250,3.07,-20.52,,,,,,
5.255,3.03,-22.59,,,,,,
5.260,3.16,-17.33,,,,,,
5.265,3.21,-15.41,,,,,,
5.270,3.50,-3.48,,,,,,
5.275,3.36,-9.56,,,,,,
5.280,3.36,-9.63,,,,,,
5.285,3.51,-3.70,,,,,,
5.290,3.32,-11.78,,,,,,
5.295,3.25,-15.19,,,,,,
5.300,3.35,-11.26,,,,,,
5.305,3.54,-3.33,,,,,,
5.310,3.54,-3.41,,,,,,
5.315,3.47,-6.81,,,,,,
5.320,3.36,-11.56,,,,,,
5.325,3.32,-12.79,,,,,,
5.330,3.48,-8.04,,,,,,
5.335,3.49,-7.35,,,,,,
5.340,3.42,-10.75,,,,,,
5.345,3.32,-14.78,,,,,,
5.350,3.36,-12.50,,,,,,
5.355,3.57,-3.88,,,,,,
5.360,3.68,-0.25,,,,,,
5.365,3.59,-4.33,,,,,,
5.370,3.33,-14.00,,,,,,
5.375,3.19,-20.00,,,,,,
5.380,3.22,-19.59,,,,,,
5.385,3.22,-18.53,,,,,,
5.390,3.29,-15.06,,,,,,
5.395,3.36,-13.51,,,,,,
5.400,3.43,-9.99,,,,,,
5.405,3.44,-10.24,,,,,,
5.410,3.38,-11.97,,,,,,
5.415,3.29,-15.13,,,,,,
5.420,3.26,-16.51,,,,,,
5.425,3.30,-15.34,,,,,,
5.430,3.32,-13.67,,,,,,
5.435,3.40,-10.39,,,,,,
5.440,3.48,-8.06,,,,,,
5.445,3.44,-9.24,,,,,,
5.450,3.36,-13.58,,,,,,
5.455,3.28,-16.80,,,,,,
5.460,3.26,-17.47,,,,,,
5.465,3.38,-11.07,,,,,,
5.470,3.49,-7.38,,,,,,
5.475,3.50,-6.54,,,,,,
5.480,3.35,-13.29,,,,,,
5.485,3.30,-15.23,,,,,,
5.490,3.29,-16.08,,,,,,
5.495,3.25,-17.27,,,,,,
5.500,2.92,-30.40,,,,,,
5.505,2.81,-35.99,,,,,,
5.510,2.86,-33.08,,,,,,
5.515,3.09,-24.95,,,,,,
5.520,3.12,-23.42,,,,,,
5.525,3.01,-28.27,,,,,,
5.530,2.96,-29.21,,,,,,
5.535,2.94,-30.69,,,,,,
5.540,2.93,-31.60,,,,,,
5.545,2.93,-30.63,,,,,,
5.550,3.09,-24.99,,,,,,
5.555,3.19,-19.09,,,,,,
5.560,3.34,-14.24,,,,,,
5.565,3.45,-9.53,,,,,,
5.570,3.46,-9.65,,,,,,
5.575,3.32,-14.73,,,,,,
5.580,3.24,-18.96,,,,,,
5.585,3.12,-23.42,,,,,,
5.590,3.10,-24.04,,,,,,
5.595,3.00,-27.92,,,,,,
5.600,3.04,-25.94,,,,,,
5.605,3.12,-23.46,,,,,,
5.610,3.17,-20.53,,,,,,
5.615,3.15,-22.21,,,,,,
5.620,3.06,-26.26,,,,,,
5.625,3.01,-28.12,,,,,,
5.630,3.08,-24.69,,,,,,
5.635,3.14,-21.91,,,,,,
5.640,3.23,-18.77,,,,,,
5.645,3.21,-18.42,,,,,,
5.650,3.30,-16.21,,,,,,
5.655,3.27,-16.71,,,,,,
5.660,3.36,-13.53,,,,,,
5.665,3.32,-13.82,,,,,,
5.670,3.25,-17.17,,,,,,
5.675,3.15,-22.06,,,,,,
5.680,3.11,-23.35,,,,,,
5.685,3.25,-17.20,,,,,,
5.690,3.39,-12.24,,,,,,
5.695,3.36,-12.64,,,,,,
5.700,3.15,-21.09,,,,,,
5.705,2.97,-29.38,,,,,,
5.710,2.98,-29.52,,,,,,
5.715,3.13,-21.80,,,,,,
5.720,3.25,-18.18,,,,,,
5.725,3.26,-17.37,,,,,,
5.730,3.13,-22.70,,,,,,
5.735,2.96,-30.14,,,,,,
5.740,2.70,-40.62,,,,,,
5.745,2.53,-47.15,,,,,,
5.750,2.46,-50.63,,,,,,
5.755,2.50,-49.49,,,,,,
5.760,2.60,-44.61,,,,,,
5.765,2.86,-33.07,,,,,,
5.770,3.12,-23.43,,,,,,
5.775,3.21,-18.44,,,,,,
5.780,3.26,-17.50,,,,,,
5.785,3.03,-26.65,,,,,,
5.790,2.86,-34.11,,,,,,
5.795,2.78,-37.32,,,,,,
5.800,3.05,-26.98,,,,,,
5.805,3.19,-20.99,,,,,,
5.810,3.22,-19.54,,,,,,
5.815,3.16,-21.38,,,,,,
5.820,3.19,-20.03,,,,,,
5.825,3.17,-20.48,,,,,,
5.830,3.03,-27.56,,,,,,
5.835,2.83,-35.42,,,,,,
5.840,2.84,-35.54,,,,,,
5.845,2.99,-28.86,,,,,,
5.850,3.16,-21.39,,,,,,
5.855,3.12,-22.46,,,,,,
5.860,3.10,-23.16,,,,,,
5.865,3.05,-26.99,,,,,,
5.870,3.06,-26.25,,,,,,
5.875,3.07,-25.57,,,,,,
5.880,3.21,-19.44,,,,,,
5.885,3.25,-18.17,,,,,,
5.890,3.32,-14.62,,,,,,
5.895,3.28,-16.86,,,,,,
5.900,3.15,-21.21,,,,,,
5.905,3.06,-25.20,,,,,,
5.910,3.03,-26.63,,,,,,
5.915,3.16,-21.43,,,,,,
5.920,3.16,-21.36,,,,,,
5.925,3.19,-20.07,,,,,,
5.930,3.22,-18.67,,,,,,
5.935,3.41,-11.52,,,,,,
5.940,3.35,-12.38,,,,,,
5.945,3.28,-15.85,,,,,,
5.950,3.09,-24.98,,,,,,
5.955,3.01,-27.11,,,,,,
5.960,2.98,-28.57,,,,,,
5.965,3.02,-26.36,,,,,,
5.970,3.09,-24.96,,,,,,
5.975,3.13,-22.74,,,,,,
5.980,3.17,-20.62,,,,,,
5.985,3.21,-19.35,,,,,,
5.990,3.19,-20.93,,,,,,
5.995,2.97,-29.42,,,,,,
6.000,2.86,-34.10,,,,,,
6.005,2.85,-33.87,,,,,,
6.010,3.04,-26.93,,,,,,
6.015,3.16,-21.33,,,,,,
6.020,3.10,-23.04,,,,,,
6.025,3.12,-23.46,,,,,,
6.030,3.00,-27.92,,,,,,
6.035,2.96,-30.17,,,,,,
6.040,2.87,-33.30,,,,,,
6.045,2.95,-29.95,,,,,,
6.050,3.06,-26.22,,,,,,
6.055,3.10,-23.11,,,,,,
6.060,3.08,-23.78,,,,,,
6.065,3.08,-23.78,,,,,,
6.070,3.00,-28.00,,,,,,
6.075,2.78,-36.44,,,,,,
6.080,2.83,-34.42,,,,,,
6.085,3.03,-26.72,,,,,,
6.090,3.26,-17.46,,,,,,
6.095,3.26,-17.54,,,,,,
6.100,3.21,-18.34,,,,,,
6.105,3.12,-23.60,,,,,,
6.110,2.97,-30.28,,,,,,
6.115,2.76,-37.03,,,,,,
6.120,2.83,-34.47,,,,,,
6.125,3.09,-24.86,,,,,,
6.130,3.14,-22.99,,,,,,
6.135,3.20,-20.13,,,,,,
6.140,3.12,-23.43,,,,,,
6.145,3.18,-20.68,,,,,,
6.150,3.14,-22.85,,,,,,
6.155,3.11,-24.31,,,,,,
6.160,3.23,-18.89,,,,,,
6.165,3.23,-17.78,,,,,,
6.170,3.25,-18.24,,,,,,
6.175,3.09,-23.88,,,,,,
6.180,3.10,-23.08,,,,,,
6.185,3.20,-20.26,,,,,,
6.190,3.21,-19.33,,,,,,
6.195,3.05,-25.98,,,,,,
6.200,2.92,-31.37,,,,,,
6.205,2.93,-31.51,,,,,,
6.210,3.08,-25.64,,,,,,
6.215,3.18,-19.86,,,,,,
6.220,3.23,-17.83,,,,,,
6.225,3.20,-19.24,,,,,,
6.230,3.10,-24.00,,,,,,
6.235,2.90,-32.99,,,,,,
6.240,2.83,-34.39,,,,,,
6.245,2.95,-30.96,,,,,,
6.250,3.10,-24.11,,,,,,
6.255,3.13,-21.71,,,,,,
6.260,3.18,-19.88,,,,,,
6.265,3.18,-19.74,,,,,,
6.270,3.13,-21.67,,,,,,
6.275,3.10,-23.10,,,,,,
6.280,3.10,-23.19,,,,,,
6.285,3.13,-21.78,,,,,,
6.290,3.24,-18.00,,,,,,
6.295,3.28,-15.84,,,,,,
6.300,3.29,-15.08,,,,,,
6.305,3.18,-19.68,,,,,,
6.310,3.17,-20.57,,,,,,
6.315,3.18,-19.84,,,,,,
6.320,3.21,-19.34,,,,,,
6.325,3.16,-21.34,,,,,,
6.330,3.09,-23.80,,,,,,
6.335,3.07,-24.57,,,,,,
6.340,3.11,-22.36,,,,,,
6.345,3.28,-15.87,,,,,,
6.350,3.38,-11.05,,,,,,
6.355,3.49,-8.32,,,,,,
6.360,3.32,-13.78,,,,,,
6.365,3.25,-18.30,,,,,,
6.370,3.15,-21.20,,,,,,
6.375,3.26,-17.40,,,,,,
6.380,3.36,-12.57,,,,,,
6.385,3.36,-13.66,,,,,,
6.390,3.29,-15.05,,,,,,
6.395,3.23,-18.86,,,,,,
6.400,3.17,-20.58,,,,,,
6.405,3.16,-20.39,,,,,,
6.410,3.24,-18.96,,,,,,
6.415,3.33,-14.86,,,,,,
6.420,3.34,-13.09,,,,,,
6.425,3.38,-12.04,,,,,,
6.430,3.34,-13.20,,,,,,
6.435,3.31,-14.44,,,,,,
6.440,3.23,-18.85,,,,,,
6.445,3.14,-22.93,,,,,,
6.450,3.10,-24.02,,,,,,
6.455,3.13,-22.79,,,,,,
6.460,3.21,-19.43,,,,,,
6.465,3.18,-20.83,,,,,,
6.470,3.20,-20.19,,,,,,
6.475,3.15,-21.05,,,,,,
6.480,3.16,-21.30,,,,,,
6.485,3.16,-20.41,,,,,,
6.490,3.16,-21.37,,,,,,
6.495,3.13,-21.69,,,,,,
6.500,3.08,-24.63,,,,,,
6.505,3.05,-26.06,,,,,,
6.510,3.12,-23.42,,,,,,
6.515,3.13,-21.69,,,,,,
6.520,3.17,-21.61,,,,,,
6.525,3.14,-22.01,,,,,,
6.530,3.20,-20.24,,,,,,
6.535,3.23,-17.89,,,,,,
6.540,3.12,-22.53,,,,,,
6.545,3.08,-25.65,,,,,,
6.550,3.04,-25.76,,,,,,
6.555,3.10,-23.19,,,,,,
6.560,3.11,-23.26,,,,,,
6.565,3.10,-24.09,,,,,,
6.570,3.11,-23.26,,,,,,
6.575,3.14,-21.97,,,,,,
6.580,3.17,-21.54,,,,,,
6.585,3.18,-19.68,,,,,,
6.590,3.20,-20.24,,,,,,
6.595,3.15,-22.07,,,,,,
6.600,3.06,-25.19,,,,,,
6.605,3.07,-24.37,,,,,,
6.610,3.08,-23.70,,,,,,
6.615,3.17,-21.48,,,,,,
6.620,3.16,-20.44,,,,,,
6.625,3.27,-16.74,,,,,,
6.630,3.34,-13.19,,,,,,
6.635,3.36,-13.53,,,,,,
6.640,3.23,-18.76,,,,,,
6.645,3.04,-25.88,,,,,,
6.650,3.04,-26.76,,,,,,
6.655,3.08,-24.75,,,,,,
6.660,3.16,-20.41,,,,,,
6.665,3.14,-22.02,,,,,,
6.670,3.12,-22.60,,,,,,
6.675,3.08,-24.75,,,,,,
6.680,3.10,-24.05,,,,,,
6.685,3.10,-24.16,,,,,,
6.690,3.11,-24.31,,,,,,
6.695,3.10,-23.13,,,,,,
6.700,3.17,-19.67,,,,,,
6.705,3.24,-17.08,,,,,,
6.710,3.27,-17.65,,,,,,
6.715,3.22,-18.59,,,,,,
6.720,3.20,-20.12,,,,,,
6.725,3.22,-18.65,,,,,,
6.730,3.16,-21.46,,,,,,
6.735,3.13,-21.67,,,,,,
6.740,3.15,-22.06,,,,,,
6.745,3.21,-18.37,,,,,,
6.750,3.32,-13.80,,,,,,
6.755,3.49,-8.32,,,,,,
6.760,3.49,-7.34,,,,,,
6.765,3.42,-10.76,,,,,,
6.770,3.28,-15.93,,,,,,
6.775,3.20,-19.13,,,,,,
6.780,3.14,-22.87,,,,,,
6.785,3.11,-23.35,,,,,,
6.790,3.17,-21.64,,,,,,
6.795,3.19,-20.93,,,,,,
6.800,3.15,-22.06,,,,,,
6.805,3.10,-24.12,,,,,,
6.810,3.15,-22.15,,,,,,
6.815,3.25,-17.27,,,,,,
6.820,3.30,-16.24,,,,,,
6.825,3.30,-15.27,,,,,,
6.830,3.18,-19.82,,,,,,
6.835,3.27,-16.57,,,,,,
6.840,3.29,-15.15,,,,,,
6.845,3.30,-15.27,,,,,,
6.850,3.09,-23.87,,,,,,
6.855,2.98,-29.64,,,,,,
6.860,2.89,-31.69,,,,,,
6.865,3.02,-26.45,,,,,,
6.870,3.25,-18.23,,,,,,
6.875,3.24,-17.10,,,,,,
6.880,3.23,-17.89,,,,,,
6.885,3.06,-25.19,,,,,,
6.890,3.05,-26.00,,,,,,
6.895,2.96,-30.26,,,,,,
6.900,3.01,-27.24,,,,,,
6.905,3.03,-26.58,,,,,,
6.910,3.17,-21.57,,,,,,
6.915,3.17,-20.55,,,,,,
6.920,3.26,-16.55,,,,,,
6.925,3.31,-15.58,,,,,,
6.930,3.21,-18.47,,,,,,
6.935,3.12,-22.62,,,,,,
6.940,3.06,-25.25,,,,,,
6.945,3.03,-26.67,,,,,,
6.950,3.09,-23.90,,,,,,
6.955,3.23,-18.89,,,,,,
6.960,3.38,-12.05,,,,,,
6.965,3.43,-10.00,,,,,,
6.970,3.36,-13.66,,,,,,
6.975,3.27,-16.74,,,,,,
6.980,3.20,-20.25,,,,,,
6.985,3.24,-18.00,,,,,,
6.990,3.25,-17.26,,,,,,
6.995,3.36,-12.60,,,,,,
7.000,3.34,-14.22,,,,,,
7.005,3.24,-18.08,,,,,,
7.010,3.08,-23.77,,,,,,
7.015,3.09,-23.99,,,,,,
7.020,3.10,-23.14,,,,,,
7.025,3.10,-23.18,,,,,,
7.030,3.04,-26.93,,,,,,
7.035,3.03,-26.58,,,,,,
7.040,3.11,-23.36,,,,,,
7.045,3.07,-24.52,,,,,,
7.050,3.08,-24.67,,,,,,
7.055,3.05,-26.98,,,,,,
7.060,3.13,-22.80,,,,,,
7.065,3.16,-20.39,,,,,,
7.070,3.24,-18.08,,,,,,
7.075,3.27,-15.76,,,,,,
7.080,3.33,-13.94,,,,,,
7.085,3.34,-14.15,,,,,,
7.090,3.22,-17.69,,,,,,
7.095,3.09,-23.88,,,,,,
7.100,2.99,-27.84,,,,,,
7.105,3.05,-26.07,,,,,,
7.110,3.16,-21.32,,,,,,
7.115,3.24,-18.02,,,,,,
7.120,3.25,-18.24,,,,,,
7.125,3.16,-21.32,,,,,,
7.130,3.07,-24.40,,,,,,
7.135,3.02,-26.39,,,,,,
7.140,3.02,-27.33,,,,,,
7.145,3.07,-24.57,,,,,,
7.150,3.18,-20.71,,,,,,
7.155,3.25,-17.22,,,,,,
7.160,3.36,-13.65,,,,,,
7.165,3.38,-12.98,,,,,,
7.170,3.31,-15.41,,,,,,
7.175,3.14,-21.87,,,,,,
7.180,3.02,-27.52,,,,,,
7.185,3.03,-26.53,,,,,,
7.190,3.18,-20.68,,,,,,
7.195,3.38,-12.89,,,,,,
7.200,3.51,-7.65,,,,,,
7.205,3.51,-7.63,,,,,,
7.210,3.45,-9.39,,,,,,
7.215,3.29,-15.03,,,,,,
7.220,3.20,-20.25,,,,,,
7.225,3.11,-23.26,,,,,,
7.230,3.10,-23.04,,,,,,
7.235,3.16,-20.43,,,,,,
7.240,3.27,-15.67,,,,,,
7.245,3.34,-13.14,,,,,,
7.250,3.37,-12.71,,,,,,
7.255,3.20,-19.16,,,,,,
7.260,3.14,-22.94,,,,,,
7.265,3.07,-24.44,,,,,,
7.270,3.17,-21.56,,,,,,
7.275,3.27,-17.67,,,,,,
7.280,3.29,-16.06,,,,,,
7.285,3.27,-16.77,,,,,,
7.290,3.18,-19.69,,,,,,
7.295,3.17,-21.51,,,,,,
7.300,3.13,-21.70,,,,,,
7.305,3.19,-20.98,,,,,,
7.310,3.24,-18.08,,,,,,
7.315,3.33,-14.98,,,,,,
7.320,3.39,-11.10,,,,,,
7.325,3.42,-10.75,,,,,,
7.330,3.38,-13.00,,,,,,
7.335,3.23,-17.89,,,,,,
7.340,3.10,-23.04,,,,,,
7.345,3.10,-23.04,,,,,,
7.350,3.18,-20.82,,,,,,
7.355,3.28,-15.92,,,,,,
7.360,3.37,-12.77,,,,,,
7.365,3.39,-12.10,,,,,,
7.370,3.36,-12.65,,,,,,
7.375,3.33,-14.92,,,,,,
7.380,3.28,-16.79,,,,,,
7.385,3.21,-18.48,,,,,,
7.390,3.20,-19.29,,,,,,
7.395,3.19,-20.08,,,,,,
7.400,3.16,-21.34,,,,,,
7.405,3.10,-23.09,,,,,,
7.410,3.16,-22.29,,,,,,
7.415,3.19,-19.99,,,,,,
7.420,3.27,-16.74,,,,,,
7.425,3.35,-13.35,,,,,,
7.430,3.40,-10.47,,,,,,
7.435,3.42,-10.89,,,,,,
7.440,3.32,-14.65,,,,,,
7.445,3.20,-20.10,,,,,,
7.450,3.11,-23.28,,,,,,
7.455,3.08,-25.63,,,,,,
7.460,3.00,-27.90,,,,,,
7.465,2.98,-29.50,,,,,,
7.470,2.94,-29.75,,,,,,
7.475,3.01,-28.31,,,,,,
7.480,3.03,-27.58,,,,,,
7.485,3.02,-26.38,,,,,,
7.490,3.02,-27.50,,,,,,
7.495,3.00,-28.07,,,,,,
7.500,3.01,-27.30,,,,,,
7.505,3.09,-23.92,,,,,,
7.510,3.16,-20.44,,,,,,
7.515,3.24,-18.01,,,,,,
7.520,3.31,-15.57,,,,,,
7.525,3.35,-13.45,,,,,,
7.530,3.34,-13.18,,,,,,
7.535,3.32,-14.69,,,,,,
7.540,3.24,-17.02,,,,,,
7.545,3.22,-18.62,,,,,,
7.550,3.17,-20.66,,,,,,
7.555,3.17,-20.47,,,,,,
7.560,3.19,-20.94,,,,,,
7.565,3.22,-19.52,,,,,,
7.570,3.17,-20.59,,,,,,
7.575,3.20,-20.10,,,,,,
7.580,3.10,-23.07,,,,,,
7.585,3.12,-23.47,,,,,,
7.590,3.05,-25.00,,,,,,
7.595,3.06,-25.32,,,,,,
7.600,3.08,-25.59,,,,,,
7.605,3.10,-24.17,,,,,,
7.610,3.22,-18.57,,,,,,
7.615,3.29,-15.99,,,,,,
7.620,3.23,-17.92,,,,,,
7.625,3.14,-22.93,,,,,,
7.630,2.96,-29.14,,,,,,
7.635,2.91,-31.17,,,,,,
7.640,2.84,-33.68,,,,,,
7.645,2.90,-31.84,,,,,,
7.650,2.97,-29.40,,,,,,
7.655,3.08,-23.72,,,,,,
7.660,3.23,-18.85,,,,,,
7.665,3.28,-15.94,,,,,,
7.670,3.26,-17.54,,,,,,
7.675,3.19,-20.04,,,,,,
7.680,3.10,-24.04,,,,,,
7.685,3.07,-25.42,,,,,,
7.690,2.96,-29.14,,,,,,
7.695,2.99,-27.76,,,,,,
7.700,3.02,-26.36,,,,,,
7.705,3.12,-22.57,,,,,,
7.710,3.19,-19.03,,,,,,
7.715,3.24,-17.07,,,,,,
7.720,3.29,-16.19,,,,,,
7.725,3.29,-15.19,,,,,,
7.730,3.25,-18.16,,,,,,
7.735,3.17,-20.51,,,,,,
7.740,3.07,-25.49,,,,,,
7.745,3.10,-24.05,,,,,,
7.750,3.20,-19.25,,,,,,
7.755,3.27,-17.57,,,,,,
7.760,3.25,-17.26,,,,,,
7.765,3.14,-21.98,,,,,,
7.770,3.18,-20.87,,,,,,
7.775,3.21,-19.44,,,,,,
7.780,3.32,-14.80,,,,,,
7.785,3.31,-14.52,,,,,,
7.790,3.26,-17.38,,,,,,
7.795,3.07,-25.40,,,,,,
7.800,2.99,-28.75,,,,,,
7.805,2.90,-31.82,,,,,,
7.810,3.00,-27.93,,,,,,
7.815,3.01,-27.12,,,,,,
7.820,3.09,-23.83,,,,,,
7.825,3.11,-22.37,,,,,,
7.830,3.13,-21.83,,,,,,
7.835,3.14,-21.99,,,,,,
7.840,3.08,-23.69,,,,,,
7.845,3.13,-23.65,,,,,,
7.850,3.12,-22.52,,,,,,
7.855,3.14,-21.88,,,,,,
7.860,3.22,-19.54,,,,,,
7.865,3.34,-14.20,,,,,,
7.870,3.44,-10.33,,,,,,
7.875,3.32,-13.77,,,,,,
7.880,3.18,-19.68,,,,,,
7.885,3.05,-25.14,,,,,,
7.890,3.02,-27.37,,,,,,
7.895,3.03,-26.73,,,,,,
7.900,3.13,-23.66,,,,,,
7.905,3.22,-18.55,,,,,,
7.910,3.25,-17.23,,,,,,
7.915,3.21,-18.47,,,,,,
7.920,3.19,-20.95,,,,,,
7.925,3.11,-22.37,,,,,,
7.930,3.13,-21.67,,,,,,
7.935,3.17,-20.48,,,,,,
7.940,3.17,-21.62,,,,,,
7.945,3.15,-21.24,,,,,,
7.950,3.21,-18.44,,,,,,
7.955,3.27,-17.62,,,,,,
7.960,3.26,-17.56,,,,,,
7.965,3.26,-17.43,,,,,,
7.970,3.25,-17.34,,,,,,
7.975,3.23,-18.76,,,,,,
7.980,3.12,-23.45,,,,,,
7.985,3.08,-25.63,,,,,,
7.990,3.04,-26.83,,,,,,
7.995,3.04,-26.92,,,,,,
8.000,3.07,-25.50,,,,,,
8.005,3.18,-20.88,,,,,,
8.010,3.24,-18.08,,,,,,
8.015,3.20,-20.15,,,,,,
8.020,3.13,-24.63,,,,,,
8.025,3.04,-26.77,,,,,,
8.030,3.12,-25.49,,,,,,
8.035,3.09,-24.93,,,,,,
8.040,3.17,-23.60,,,,,,
8.045,3.27,-19.74,,,,,,
8.050,3.35,-16.40,,,,,,
8.055,3.34,-17.22,,,,,,
8.060,3.24,-21.14,,,,,,
8.065,3.15,-26.06,,,,,,
8.070,3.09,-27.99,,,,,,
8.075,3.06,-28.27,,,,,,
8.080,3.07,-28.56,,,,,,
8.085,3.09,-28.80,,,,,,
8.090,3.12,-28.44,,,,,,
8.095,3.05,-30.09,,,,,,
8.100,3.01,-33.30,,,,,,
8.105,2.94,-35.66,,,,,,
8.110,2.99,-34.74,,,,,,
8.115,3.03,-32.72,,,,,,
8.120,3.08,-29.67,,,,,,
8.125,3.18,-26.84,,,,,,
8.130,3.20,-26.29,,,,,,
8.135,3.07,-32.54,,,,,,
8.140,2.95,-37.97,,,,,,
8.145,2.92,-39.31,,,,,,
8.150,2.94,-38.66,,,,,,
8.155,3.04,-34.89,,,,,,
8.160,3.01,-35.20,,,,,,
8.165,3.14,-30.92,,,,,,
8.170,3.12,-30.53,,,,,,
8.175,3.21,-27.36,,,,,,
8.180,3.27,-25.71,,,,,,
8.185,3.36,-22.57,,,,,,
8.190,3.49,-17.30,,,,,,
8.195,3.48,-18.04,,,,,,
8.200,3.49,-17.38,,,,,,
8.205,3.42,-20.83,,,,,,
8.210,3.48,-18.02,,,,,,
8.215,3.42,-21.81,,,,,,
8.220,3.44,-21.22,,,,,,
8.225,3.36,-23.66,,,,,,
8.230,3.54,-16.27,,,,,,
8.235,3.49,-19.33,,,,,,
8.240,3.58,-15.20,,,,,,
8.245,3.47,-19.93,,,,,,
8.250,3.59,-15.34,,,,,,
8.255,3.61,-14.75,,,,,,
8.260,3.66,-12.78,,,,,,
8.265,3.68,-12.34,,,,,,
8.270,3.63,-15.20,,,,,,
8.275,3.46,-23.58,,,,,,
8.280,3.37,-26.81,,,,,,
8.285,3.23,-31.89,,,,,,
8.290,3.44,-24.20,,,,,,
8.295,3.40,-26.47,,,,,,
8.300,3.55,-20.56,,,,,,
8.305,3.52,-21.97,,,,,,
8.310,3.66,-14.94,,,,,,
8.315,3.70,-13.73,,,,,,
8.320,3.84,-8.56,,,,,,
8.325,3.83,-8.42,,,,,,
8.330,3.82,-11.13,,,,,,
8.335,3.76,-12.89,,,,,,
8.340,3.62,-18.09,,,,,,
8.345,3.66,-16.76,,,,,,
8.350,3.64,-18.43,,,,,,
8.355,3.78,-12.29,,,,,,
8.360,3.85,-9.93,,,,,,
8.365,3.95,-7.05,,,,,,
8.370,3.93,-7.43,,,,,,
8.375,3.91,-8.03,,,,,,
8.380,3.87,-11.30,,,,,,
8.385,3.77,-15.16,,,,,,
8.390,3.71,-17.98,,,,,,
8.395,3.65,-19.69,,,,,,
8.400,3.63,-21.26,,,,,,
8.405,3.66,-19.79,,,,,,
8.410,3.68,-19.28,,,,,,
8.415,3.77,-16.18,,,,,,
8.420,3.81,-14.04,,,,,,
8.425,3.85,-13.75,,,,,,
8.430,3.79,-15.61,,,,,,
8.435,3.74,-18.51,,,,,,
8.440,3.77,-18.07,,,,,,
8.445,3.78,-16.45,,,,,,
8.450,3.80,-16.76,,,,,,
8.455,3.77,-18.10,,,,,,
8.460,3.62,-24.07,,,,,,
8.465,3.56,-27.79,,,,,,
8.470,3.50,-29.57,,,,,,
8.475,3.71,-21.99,,,,,,
8.480,3.78,-19.41,,,,,,
8.485,3.84,-16.60,,,,,,
8.490,3.76,-21.06,,,,,,
8.495,3.72,-22.18,,,,,,
8.500,3.57,-28.04,,,,,,
8.505,3.60,-27.68,,,,,,
8.510,3.71,-23.87,,,,,,
8.515,3.79,-19.66,,,,,,
8.520,3.84,-18.70,,,,,,
8.525,3.61,-27.79,,,,,,
8.530,3.75,-22.78,,,,,,
8.535,3.76,-23.00,,,,,,
8.540,3.96,-15.14,,,,,,
8.545,3.92,-17.28,,,,,,
8.550,3.94,-16.78,,,,,,
8.555,3.89,-17.77,,,,,,
8.560,3.87,-19.19,,,,,,
8.565,3.89,-18.60,,,,,,
8.570,3.99,-14.83,,,,,,
8.575,3.96,-16.25,,,,,,
8.580,3.96,-16.19,,,,,,
8.585,3.88,-20.56,,,,,,
8.590,4.00,-15.96,,,,,,
8.595,4.05,-13.96,,,,,,
8.600,4.09,-11.83,,,,,,
8.605,4.07,-14.38,,,,,,
8.610,3.97,-17.37,,,,,,
8.615,3.95,-18.04,,,,,,
8.620,3.98,-18.59,,,,,,
8.625,3.95,-20.03,,,,,,
8.630,3.87,-22.20,,,,,,
8.635,3.83,-24.44,,,,,,
8.640,3.82,-25.21,,,,,,
8.645,3.84,-25.61,,,,,,
8.650,3.81,-26.10,,,,,,
8.655,3.80,-26.87,,,,,,
8.660,3.75,-28.77,,,,,,
8.665,3.73,-30.38,,,,,,
8.670,3.75,-30.77,,,,,,
8.675,3.76,-29.04,,,,,,
8.680,3.76,-29.06,,,,,,
8.685,3.70,-32.73,,,,,,
8.690,3.52,-40.86,,,,,,
8.695,3.44,-44.32,,,,,,
8.700,3.47,-42.84,,,,,,
8.705,3.61,-36.78,,,,,,
8.710,3.73,-32.35,,,,,,
8.715,3.82,-30.20,,,,,,
8.720,3.81,-29.06,,,,,,
8.725,3.88,-27.56,,,,,,
8.730,3.94,-25.69,,,,,,
8.735,4.02,-21.44,,,,,,
8.740,4.08,-19.74,,,,,,
8.745,4.07,-21.38,,,,,,
8.750,4.03,-22.57,,,,,,
8.755,4.02,-22.49,,,,,,
8.760,4.11,-20.30,,,,,,
8.765,4.13,-19.65,,,,,,
8.770,4.03,-23.64,,,,,,
8.775,3.99,-24.72,,,,,,
8.780,3.95,-26.95,,,,,,
8.785,4.08,-22.73,,,,,,
8.790,4.22,-15.63,,,,,,
8.795,4.31,-13.57,,,,,,
8.800,4.38,-10.00,,,,,,
8.805,4.27,-15.67,,,,,,
8.810,4.32,-13.75,,,,,,
8.815,4.15,-21.17,,,,,,
8.820,4.16,-20.37,,,,,,
8.825,4.12,-22.60,,,,,,
