Age,Temperature,Sea level,,Trend Age,Trend Temperature,Trend Sea level,Trend Temperature (long),Trend Sea level (long)
2.745,1.41,5.33,,,,,,
2.748,1.51,9.33,,,,,,
2.750,1.44,6.67,,,,,,
2.752,1.32,1.33,,,,,,
2.755,1.35,2.67,,,,,,
2.757,1.40,4.67,,,,,,
2.760,1.22,-2.67,,,,,,
2.763,1.27,-0.67,,,,,,
2.765,1.27,-0.67,,,,,,
2.768,1.41,5.33,,,,,,
2.770,1.44,6.67,,,,,,
2.772,1.21,-3.33,,,,,,
2.775,1.16,-5.33,,,,,,
2.777,1.29,0.00,,,,,,
2.780,1.37,3.33,,,,,,
2.783,1.40,4.67,,,,,,
2.785,1.35,2.67,,,,,,
2.788,1.27,-0.67,,,,,,
2.790,1.32,1.33,,,,,,
2.792,1.24,-2.00,,,,,,
2.795,1.00,-12.00,,,,,,
2.797,1.02,-11.33,,,,,,
2.800,0.86,-18.00,,,,,,
2.803,0.48,-34.00,,,,,,
2.805,0.41,-36.67,,,,,,
2.808,0.49,-33.33,,,,,,
2.810,0.62,-28.00,,,,,,
2.812,0.60,-28.67,,,,,,
2.815,0.65,-26.67,,,,,,
2.817,0.94,-14.67,,,,,,
2.820,1.05,-10.00,,,,,,
2.822,1.24,-2.00,,,,,,
2.825,1.41,5.33,,,,,,
2.828,1.46,7.33,,,,,,
2.830,1.40,4.67,,,,,,
2.833,1.48,8.00,,,,,,
2.835,1.38,4.00,,,,,,
2.837,1.22,-2.67,,,,,,
2.840,1.11,-7.33,,,,,,
2.842,0.98,-12.67,,,,,,
2.845,1.05,-10.00,,,,,,
2.848,0.86,-18.00,,,,,,
2.850,1.02,-11.33,,,,,,
2.853,0.98,-12.67,,,,,,
2.855,0.95,-14.00,,,,,,
2.857,1.13,-6.67,,,,,,
2.860,1.35,2.67,,,,,,
2.862,1.25,-1.33,,,,,,
2.865,1.06,-9.33,,,,,,
2.868,1.16,-5.33,,,,,,
2.870,1.17,-4.67,,,,,,
2.873,1.29,0.00,,,,,,
2.875,1.29,0.00,,,,,,
2.877,0.90,-16.00,,,,,,
2.880,0.89,-16.67,,,,,,
2.882,0.94,-14.67,,,,,,
2.885,0.86,-18.00,,,,,,
2.888,0.92,-15.33,,,,,,
2.890,0.87,-17.33,,,,,,
2.893,1.11,-7.33,,,,,,
2.895,1.19,-4.00,,,,,,
2.897,1.43,6.00,,,,,,
2.900,1.30,0.67,,,,,,
2.902,1.32,1.33,,,,,,
