Age,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
0.1,0.37,0.89,-0.23,0.157,0.368,-0.021,0.36,0.88,-0.23,0.220,0.407,0.021
0.2,0.37,0.89,-0.24,0.160,0.368,-0.020,0.44,0.96,-0.16,0.211,0.400,0.013
0.3,0.41,0.93,-0.20,0.178,0.377,-0.010,0.52,1.04,-0.09,0.202,0.394,0.006
0.4,0.52,1.04,-0.09,0.213,0.397,0.013,0.59,1.13,-0.02,0.194,0.387,-0.002
0.5,0.69,1.21,0.07,0.253,0.422,0.040,0.67,1.21,0.05,0.186,0.381,-0.010
0.6,0.86,1.43,0.23,0.275,0.446,0.055,0.75,1.29,0.12,0.177,0.375,-0.017
0.7,1.01,1.59,0.35,0.268,0.453,0.056,0.83,1.38,0.19,0.170,0.369,-0.025
0.8,1.11,1.69,0.45,0.231,0.436,0.036,0.91,1.46,0.26,0.162,0.363,-0.032
0.9,1.16,1.74,0.50,0.181,0.402,0.002,0.99,1.55,0.33,0.155,0.358,-0.039
1.0,1.16,1.73,0.50,0.129,0.358,-0.038,1.07,1.64,0.41,0.148,0.353,-0.045
1.1,1.12,1.68,0.49,0.082,0.310,-0.079,1.15,1.72,0.48,0.142,0.348,-0.052
1.2,1.08,1.65,0.43,0.048,0.275,-0.121,1.23,1.81,0.56,0.135,0.343,-0.058
1.3,1.07,1.64,0.39,0.028,0.250,-0.148,1.32,1.90,0.63,0.128,0.337,-0.066
1.4,1.10,1.68,0.42,0.023,0.240,-0.161,1.40,1.99,0.70,0.119,0.331,-0.074
1.5,1.18,1.79,0.49,0.031,0.245,-0.159,1.48,2.08,0.78,0.111,0.325,-0.083
1.6,1.35,1.95,0.65,0.058,0.266,-0.140,1.56,2.16,0.85,0.102,0.317,-0.093
1.7,1.59,2.16,0.89,0.096,0.298,-0.102,1.64,2.25,0.92,0.093,0.309,-0.104
1.8,1.84,2.43,1.13,0.132,0.342,-0.066,1.72,2.33,0.99,0.082,0.300,-0.116
1.9,2.05,2.68,1.31,0.156,0.374,-0.047,1.80,2.42,1.06,0.072,0.291,-0.129
2.0,2.15,2.79,1.38,0.155,0.375,-0.052,1.88,2.51,1.13,0.061,0.282,-0.141
2.1,2.15,2.80,1.37,0.136,0.359,-0.074,1.96,2.60,1.20,0.050,0.272,-0.155
2.2,2.15,2.80,1.36,0.116,0.332,-0.098,2.04,2.69,1.27,0.037,0.262,-0.169
2.3,2.17,2.82,1.39,0.095,0.309,-0.120,2.13,2.78,1.34,0.024,0.251,-0.184
2.4,2.23,2.89,1.45,0.073,0.282,-0.147,2.20,2.87,1.41,0.008,0.238,-0.201
2.5,2.29,2.96,1.49,0.039,0.245,-0.186,2.27,2.95,1.47,-0.009,0.222,-0.220
2.6,2.34,3.02,1.52,-0.013,0.200,-0.238,2.34,3.02,1.52,-0.028,0.205,-0.240
2.7,2.39,3.10,1.53,-0.065,0.170,-0.287,2.40,3.08,1.57,-0.050,0.184,-0.263
2.8,2.46,3.19,1.59,-0.108,0.154,-0.320,2.45,3.13,1.61,-0.072,0.162,-0.286
2.9,2.57,3.29,1.72,-0.138,0.142,-0.332,2.49,3.18,1.65,-0.096,0.139,-0.311
3.0,2.68,3.40,1.80,-0.156,0.132,-0.345,2.53,3.23,1.69,-0.120,0.115,-0.335
3.1,2.74,3.44,1.86,-0.172,0.108,-0.366,2.58,3.27,1.73,-0.143,0.092,-0.358
3.2,2.74,3.44,1.86,-0.189,0.074,-0.396,2.62,3.32,1.78,-0.165,0.069,-0.379
3.3,2.69,3.40,1.81,-0.209,0.028,-0.431,2.67,3.36,1.82,-0.185,0.049,-0.397
3.4,2.64,3.36,1.76,-0.230,-0.009,-0.468,2.71,3.41,1.87,-0.202,0.031,-0.413
3.5,2.64,3.36,1.76,-0.249,-0.040,-0.491,2.77,3.46,1.92,-0.215,0.016,-0.425
3.6,2.67,3.40,1.81,-0.266,-0.053,-0.499,2.82,3.51,1.98,-0.224,0.004,-0.434
3.7,2.73,3.43,1.90,-0.284,-0.067,-0.505,2.89,3.57,2.05,-0.230,-0.004,-0.440
3.8,2.81,3.49,1.99,-0.297,-0.083,-0.505,2.95,3.64,2.11,-0.232,-0.009,-0.442
3.9,2.87,3.53,2.07,-0.305,-0.088,-0.503,3.02,3.70,2.19,-0.231,-0.012,-0.442
4.0,2.93,3.57,2.14,-0.310,-0.096,-0.502,3.09,3.77,2.26,-0.228,-0.011,-0.440
4.1,3.00,3.65,2.21,-0.309,-0.096,-0.494,3.17,3.84,2.34,-0.224,-0.009,-0.436
4.2,3.09,3.75,2.28,-0.295,-0.084,-0.485,3.25,3.92,2.41,-0.217,-0.003,-0.430
4.3,3.21,3.87,2.39,-0.266,-0.055,-0.463,3.33,4.00,2.49,-0.210,0.004,-0.423
4.4,3.38,4.03,2.55,-0.220,-0.016,-0.424,3.40,4.08,2.57,-0.202,0.013,-0.416
4.5,3.57,4.20,2.74,-0.164,0.027,-0.376,3.48,4.16,2.64,-0.192,0.024,-0.408
4.6,3.75,4.41,2.95,-0.114,0.072,-0.335,3.55,4.23,2.71,-0.183,0.035,-0.400
4.7,3.89,4.57,3.05,-0.085,0.107,-0.317,3.62,4.30,2.77,-0.173,0.046,-0.393
4.8,3.96,4.65,3.11,-0.083,0.127,-0.312,3.68,4.37,2.83,-0.163,0.057,-0.385
4.9,3.98,4.66,3.13,-0.100,0.125,-0.325,3.73,4.42,2.88,-0.154,0.067,-0.379
5.0,3.99,4.66,3.14,-0.123,0.110,-0.343,3.78,4.47,2.92,-0.145,0.076,-0.373
5.1,4.02,4.68,3.16,-0.134,0.116,-0.355,3.82,4.52,2.95,-0.137,0.083,-0.368
5.2,4.07,4.73,3.19,-0.124,0.121,-0.348,3.85,4.55,2.97,-0.131,0.090,-0.363
5.3,4.10,4.82,3.21,-0.111,0.140,-0.348,3.87,4.58,2.99,-0.126,0.094,-0.360
5.4,4.06,4.82,3.14,-0.106,0.145,-0.358,3.89,4.59,3.01,-0.122,0.097,-0.357
5.5,3.96,4.76,3.02,-0.114,0.129,-0.377,3.90,4.61,3.02,-0.121,0.098,-0.355
5.6,3.84,4.64,2.89,-0.129,0.103,-0.394,3.91,4.61,3.02,-0.120,0.098,-0.355
5.7,3.75,4.53,2.82,-0.139,0.080,-0.407,3.91,4.62,3.02,-0.120,0.097,-0.354
5.8,3.72,4.46,2.82,-0.139,0.063,-0.397,3.91,4.61,3.02,-0.121,0.095,-0.354
5.9,3.76,4.46,2.89,-0.131,0.062,-0.372,3.91,4.61,3.02,-0.122,0.092,-0.354
6.0,3.82,4.50,2.96,-0.121,0.070,-0.341,3.91,4.61,3.02,-0.122,0.089,-0.354
6.1,3.86,4.54,2.99,-0.115,0.075,-0.330,3.91,4.61,3.02,-0.123,0.086,-0.353
6.2,3.88,4.54,3.01,-0.112,0.079,-0.325,3.92,4.61,3.02,-0.123,0.083,-0.352
6.3,3.89,4.53,3.03,-0.114,0.074,-0.332,3.92,4.62,3.03,-0.123,0.081,-0.350
6.4,3.91,4.55,3.03,-0.118,0.081,-0.337,3.94,4.63,3.04,-0.122,0.080,-0.348
6.5,3.95,4.61,3.07,-0.121,0.089,-0.333,3.96,4.65,3.06,-0.121,0.080,-0.345
6.6,3.99,4.67,3.09,-0.123,0.086,-0.331,3.99,4.68,3.09,-0.120,0.082,-0.341
6.7,4.01,4.68,3.13,-0.125,0.078,-0.334,4.03,4.72,3.12,-0.118,0.084,-0.337
6.8,4.01,4.67,3.12,-0.128,0.069,-0.346,4.07,4.76,3.16,-0.116,0.088,-0.333
6.9,3.99,4.67,3.09,-0.131,0.065,-0.355,4.12,4.82,3.21,-0.113,0.092,-0.329
7.0,3.98,4.67,3.06,-0.131,0.060,-0.361,4.17,4.87,3.25,-0.110,0.098,-0.325
7.1,4.02,4.72,3.10,-0.125,0.062,-0.352,4.23,4.94,3.30,-0.106,0.104,-0.321
7.2,4.11,4.82,3.19,-0.113,0.079,-0.338,4.29,5.00,3.35,-0.100,0.111,-0.317
7.3,4.24,4.95,3.30,-0.099,0.106,-0.319,4.35,5.07,3.40,-0.094,0.119,-0.312
7.4,4.36,5.11,3.42,-0.095,0.127,-0.301,4.41,5.14,3.45,-0.086,0.127,-0.307
7.5,4.47,5.25,3.50,-0.098,0.138,-0.295,4.47,5.21,3.50,-0.078,0.137,-0.301
7.6,4.55,5.35,3.59,-0.102,0.146,-0.295,4.53,5.28,3.55,-0.070,0.147,-0.295
7.7,4.65,5.43,3.69,-0.099,0.147,-0.291,4.59,5.35,3.60,-0.061,0.158,-0.289
7.8,4.76,5.52,3.80,-0.080,0.160,-0.285,4.64,5.41,3.64,-0.052,0.169,-0.283
7.9,4.88,5.62,3.92,-0.049,0.182,-0.270,4.70,5.48,3.68,-0.042,0.181,-0.277
8.0,4.98,5.71,3.99,-0.016,0.202,-0.253,4.75,5.54,3.72,-0.033,0.193,-0.271
8.1,5.02,5.77,3.98,0.004,0.214,-0.247,4.79,5.60,3.76,-0.024,0.205,-0.265
8.2,5.02,5.82,3.93,0.020,0.223,-0.243,4.84,5.65,3.78,-0.016,0.216,-0.261
8.3,5.00,5.84,3.87,0.031,0.231,-0.248,4.87,5.70,3.80,-0.009,0.227,-0.258
8.4,4.97,5.82,3.86,0.033,0.237,-0.240,4.90,5.74,3.81,-0.002,0.237,-0.256
8.5,4.94,5.81,3.87,0.029,0.261,-0.234,4.92,5.78,3.82,0.003,0.246,-0.257
8.6,4.92,5.76,3.83,0.024,0.271,-0.243,4.94,5.82,3.81,0.008,0.254,-0.259
8.7,4.92,5.79,3.82,0.020,0.284,-0.244,4.95,5.85,3.80,0.010,0.261,-0.263
8.8,4.96,5.84,3.80,0.027,0.294,-0.246,4.96,5.88,3.78,0.012,0.267,-0.269
8.9,5.00,5.92,3.82,0.041,0.301,-0.232,4.96,5.91,3.75,0.011,0.272,-0.277
9.0,5.03,5.98,3.85,0.051,0.304,-0.227,4.97,5.93,3.73,0.008,0.276,-0.287
9.1,5.03,5.99,3.84,0.046,0.300,-0.230,4.97,5.96,3.70,0.004,0.278,-0.297
9.2,4.98,5.94,3.80,0.023,0.297,-0.246,4.97,5.99,3.67,-0.001,0.279,-0.308
9.3,4.91,5.90,3.72,-0.007,0.285,-0.276,4.97,6.01,3.64,-0.008,0.279,-0.320
9.4,4.88,5.92,3.54,-0.022,0.278,-0.332,4.97,6.03,3.62,-0.016,0.276,-0.332
9.5,4.88,6.03,3.39,-0.023,0.286,-0.381,4.97,6.04,3.59,-0.024,0.272,-0.344
9.6,4.92,6.14,3.36,-0.019,0.305,-0.408,4.96,6.05,3.56,-0.032,0.265,-0.356
9.7,4.99,6.21,3.42,-0.019,0.306,-0.415,4.95,6.05,3.53,-0.041,0.257,-0.368
9.8,5.05,6.25,3.46,-0.033,0.285,-0.416,4.94,6.04,3.51,-0.050,0.247,-0.379
9.9,5.08,6.28,3.49,-0.060,0.266,-0.439,4.92,6.03,3.48,-0.059,0.236,-0.390
10.0,5.08,6.27,3.52,-0.091,0.245,-0.435,4.90,6.01,3.46,-0.068,0.223,-0.399
10.1,5.04,6.22,3.49,-0.111,0.229,-0.434,4.88,5.98,3.44,-0.078,0.210,-0.408
10.2,4.99,6.22,3.41,-0.117,0.228,-0.447,4.85,5.95,3.43,-0.087,0.195,-0.415
10.3,4.93,6.12,3.37,-0.119,0.200,-0.448,4.83,5.91,3.42,-0.097,0.180,-0.420
10.4,4.86,6.02,3.29,-0.114,0.180,-0.453,4.81,5.87,3.42,-0.107,0.164,-0.423
10.5,4.78,5.89,3.33,-0.109,0.153,-0.431,4.78,5.83,3.42,-0.117,0.148,-0.425
10.6,4.69,5.70,3.35,-0.108,0.118,-0.421,4.76,5.78,3.43,-0.126,0.131,-0.424
10.7,4.61,5.55,3.37,-0.110,0.091,-0.417,4.74,5.73,3.44,-0.136,0.115,-0.423
10.8,4.55,5.43,3.41,-0.119,0.063,-0.407,4.71,5.68,3.45,-0.144,0.098,-0.421
10.9,4.52,5.41,3.40,-0.133,0.045,-0.409,4.69,5.63,3.46,-0.152,0.083,-0.418
11.0,4.51,5.40,3.39,-0.157,0.042,-0.428,4.66,5.57,3.47,-0.159,0.068,-0.415
11.1,4.51,5.43,3.38,-0.181,0.047,-0.444,4.64,5.52,3.48,-0.165,0.053,-0.412
11.2,4.54,5.42,3.44,-0.197,0.028,-0.438,4.62,5.47,3.50,-0.171,0.040,-0.409
11.3,4.59,5.39,3.54,-0.209,0.006,-0.412,4.60,5.43,3.51,-0.176,0.028,-0.407
11.4,4.63,5.40,3.62,-0.217,-0.006,-0.396,4.58,5.40,3.52,-0.181,0.017,-0.404
11.5,4.67,5.39,3.70,-0.217,-0.011,-0.378,4.57,5.37,3.53,-0.185,0.006,-0.402
11.6,4.68,5.39,3.73,-0.215,-0.010,-0.369,4.56,5.34,3.54,-0.190,-0.004,-0.401
11.7,4.66,5.38,3.72,-0.210,-0.010,-0.369,4.56,5.33,3.55,-0.194,-0.014,-0.401
11.8,4.63,5.33,3.68,-0.201,-0.011,-0.377,4.55,5.31,3.56,-0.200,-0.024,-0.402
11.9,4.55,5.24,3.60,-0.198,-0.020,-0.389,4.55,5.30,3.56,-0.207,-0.036,-0.405
12.0,4.45,5.12,3.51,-0.204,-0.049,-0.402,4.54,5.29,3.56,-0.215,-0.048,-0.409
12.1,4.37,5.08,3.43,-0.212,-0.053,-0.407,4.54,5.28,3.56,-0.224,-0.061,-0.415
12.2,4.37,5.08,3.41,-0.205,-0.061,-0.408,4.54,5.28,3.56,-0.234,-0.075,-0.422
12.3,4.49,5.22,3.52,-0.176,-0.044,-0.387,4.54,5.28,3.56,-0.245,-0.089,-0.431
12.4,4.62,5.38,3.64,-0.156,-0.031,-0.374,4.55,5.29,3.57,-0.257,-0.104,-0.440
12.5,4.66,5.42,3.68,-0.164,-0.051,-0.383,4.57,5.30,3.58,-0.268,-0.119,-0.450
12.6,4.59,5.36,3.61,-0.205,-0.095,-0.418,4.59,5.33,3.60,-0.281,-0.134,-0.461
12.7,4.46,5.24,3.49,-0.269,-0.146,-0.459,4.62,5.36,3.63,-0.294,-0.149,-0.473
12.8,4.37,5.13,3.38,-0.334,-0.200,-0.509,4.66,5.40,3.66,-0.308,-0.165,-0.485
12.9,4.36,5.10,3.36,-0.384,-0.236,-0.540,4.70,5.44,3.69,-0.324,-0.181,-0.498
13.0,4.43,5.16,3.41,-0.412,-0.258,-0.557,4.75,5.49,3.73,-0.341,-0.199,-0.513
13.1,4.55,5.30,3.53,-0.426,-0.263,-0.566,4.80,5.54,3.77,-0.359,-0.217,-0.528
13.2,4.71,5.46,3.66,-0.432,-0.260,-0.572,4.85,5.59,3.82,-0.378,-0.235,-0.544
13.3,4.90,5.64,3.84,-0.423,-0.260,-0.567,4.91,5.66,3.88,-0.398,-0.252,-0.560
13.4,5.11,5.84,4.08,-0.403,-0.250,-0.547,4.99,5.73,3.94,-0.418,-0.269,-0.576
13.5,5.30,6.03,4.24,-0.386,-0.242,-0.547,5.07,5.81,4.01,-0.437,-0.286,-0.591
13.6,5.41,6.13,4.33,-0.385,-0.250,-0.553,5.15,5.90,4.09,-0.455,-0.301,-0.607
13.7,5.37,6.10,4.31,-0.410,-0.285,-0.580,5.24,5.99,4.17,-0.471,-0.316,-0.622
13.8,5.23,5.96,4.17,-0.465,-0.340,-0.636,5.34,6.08,4.26,-0.488,-0.331,-0.638
13.9,5.09,5.82,4.02,-0.533,-0.397,-0.693,5.43,6.18,4.34,-0.504,-0.346,-0.655
14.0,5.10,5.84,4.03,-0.578,-0.419,-0.717,5.51,6.27,4.42,-0.521,-0.363,-0.673
14.1,5.33,6.08,4.23,-0.586,-0.409,-0.711,5.59,6.35,4.49,-0.540,-0.381,-0.693
14.2,5.66,6.42,4.55,-0.572,-0.383,-0.692,5.67,6.43,4.55,-0.559,-0.400,-0.713
14.3,5.99,6.78,4.85,-0.556,-0.363,-0.682,5.74,6.50,4.62,-0.579,-0.419,-0.734
14.4,6.21,7.00,5.05,-0.558,-0.364,-0.693,5.80,6.57,4.68,-0.599,-0.438,-0.754
14.5,6.30,7.07,5.15,-0.575,-0.394,-0.724,5.87,6.64,4.74,-0.618,-0.456,-0.773
14.6,6.33,7.08,5.16,-0.596,-0.435,-0.761,5.94,6.72,4.80,-0.635,-0.471,-0.790
14.7,6.28,7.05,5.14,-0.622,-0.475,-0.798,6.02,6.79,4.86,-0.650,-0.485,-0.805
14.8,6.14,6.92,5.00,-0.668,-0.525,-0.847,6.09,6.87,4.93,-0.662,-0.497,-0.817
14.9,5.95,6.77,4.79,-0.731,-0.584,-0.921,6.16,6.94,4.98,-0.671,-0.507,-0.828
15.0,5.87,6.70,4.68,-0.781,-0.629,-0.972,6.21,7.00,5.03,-0.679,-0.517,-0.838
15.1,5.90,6.71,4.72,-0.816,-0.659,-0.994,6.26,7.05,5.07,-0.686,-0.527,-0.847
15.2,6.08,6.86,4.92,-0.821,-0.657,-0.971,6.30,7.08,5.10,-0.692,-0.537,-0.857
15.3,6.37,7.15,5.18,-0.798,-0.615,-0.927,6.33,7.11,5.12,-0.699,-0.547,-0.866
15.4,6.59,7.39,5.37,-0.763,-0.566,-0.883,6.35,7.13,5.13,-0.705,-0.556,-0.874
15.5,6.73,7.53,5.49,-0.715,-0.526,-0.845,6.37,7.15,5.14,-0.710,-0.564,-0.880
15.6,6.81,7.61,5.55,-0.663,-0.495,-0.816,6.40,7.18,5.16,-0.715,-0.569,-0.885
15.7,6.80,7.60,5.54,-0.630,-0.481,-0.799,6.42,7.21,5.18,-0.718,-0.573,-0.888
15.8,6.68,7.46,5.41,-0.622,-0.499,-0.811,6.45,7.24,5.19,-0.719,-0.575,-0.890
15.9,6.49,7.23,5.23,-0.634,-0.544,-0.840,6.48,7.27,5.21,-0.719,-0.574,-0.891
16.0,6.30,7.01,5.03,-0.669,-0.591,-0.881,6.51,7.31,5.22,-0.717,-0.572,-0.890
16.1,6.18,6.91,4.89,-0.708,-0.626,-0.922,6.54,7.34,5.23,-0.712,-0.568,-0.890
16.2,6.22,6.95,4.91,-0.734,-0.637,-0.937,6.57,7.37,5.23,-0.706,-0.562,-0.889
16.3,6.36,7.12,5.05,-0.752,-0.627,-0.934,6.60,7.40,5.23,-0.698,-0.555,-0.889
16.4,6.57,7.38,5.26,-0.757,-0.595,-0.913,6.62,7.43,5.22,-0.688,-0.545,-0.889
16.5,6.75,7.57,5.43,-0.756,-0.574,-0.895,6.65,7.46,5.20,-0.677,-0.534,-0.888
16.6,6.82,7.66,5.48,-0.755,-0.565,-0.895,6.67,7.50,5.19,-0.664,-0.520,-0.886
16.7,6.78,7.65,5.40,-0.755,-0.572,-0.911,6.71,7.54,5.17,-0.649,-0.504,-0.884
16.8,6.67,7.54,5.27,-0.750,-0.583,-0.931,6.74,7.59,5.16,-0.633,-0.487,-0.880
16.9,6.58,7.45,5.12,-0.733,-0.580,-0.945,6.78,7.63,5.15,-0.616,-0.467,-0.874
17.0,6.63,7.51,5.05,-0.684,-0.536,-0.924,6.82,7.68,5.14,-0.598,-0.448,-0.868
17.1,6.82,7.67,5.07,-0.608,-0.469,-0.891,6.85,7.72,5.14,-0.581,-0.428,-0.861
17.2,7.02,7.89,5.08,-0.528,-0.382,-0.859,6.88,7.76,5.13,-0.564,-0.409,-0.854
17.3,7.17,8.08,5.10,-0.454,-0.295,-0.831,6.92,7.80,5.12,-0.548,-0.391,-0.846
17.4,7.20,8.13,5.13,-0.401,-0.245,-0.801,6.94,7.84,5.12,-0.531,-0.373,-0.837
17.5,7.16,8.12,5.07,-0.369,-0.218,-0.785,6.98,7.87,5.13,-0.515,-0.355,-0.827
17.6,7.10,8.04,5.04,-0.353,-0.228,-0.771,7.01,7.91,5.14,-0.499,-0.337,-0.814
17.7,7.07,7.99,5.01,-0.354,-0.227,-0.770,7.05,7.95,5.17,-0.483,-0.319,-0.800
17.8,7.09,7.99,5.04,-0.371,-0.235,-0.762,7.09,8.00,5.22,-0.467,-0.301,-0.783
17.9,7.08,8.00,5.05,-0.413,-0.247,-0.764,7.14,8.05,5.27,-0.451,-0.284,-0.765
18.0,6.99,7.88,4.98,-0.479,-0.291,-0.796,7.18,8.09,5.32,-0.437,-0.268,-0.745
18.1,6.86,7.72,4.84,-0.542,-0.346,-0.847,7.22,8.13,5.39,-0.425,-0.255,-0.726
18.2,6.85,7.70,4.91,-0.564,-0.378,-0.857,7.25,8.16,5.45,-0.415,-0.244,-0.707
18.3,6.95,7.86,5.16,-0.547,-0.353,-0.812,7.28,8.18,5.50,-0.406,-0.235,-0.688
18.4,7.22,8.15,5.60,-0.488,-0.297,-0.716,7.30,8.20,5.56,-0.398,-0.228,-0.670
18.5,7.53,8.50,5.99,-0.417,-0.220,-0.621,7.32,8.22,5.61,-0.391,-0.221,-0.652
18.6,7.74,8.72,6.18,-0.366,-0.158,-0.574,7.34,8.23,5.67,-0.383,-0.215,-0.635
18.7,7.82,8.77,6.28,-0.333,-0.125,-0.534,7.35,8.24,5.71,-0.375,-0.208,-0.618
18.8,7.81,8.74,6.30,-0.306,-0.115,-0.509,7.36,8.25,5.76,-0.366,-0.200,-0.601
18.9,7.73,8.62,6.25,-0.289,-0.123,-0.494,7.37,8.26,5.79,-0.357,-0.192,-0.586
19.0,7.58,8.43,6.15,-0.289,-0.149,-0.488,7.37,8.26,5.82,-0.349,-0.185,-0.572
19.1,7.43,8.24,6.00,-0.296,-0.172,-0.503,7.36,8.25,5.83,-0.342,-0.180,-0.561
19.2,7.32,8.12,5.85,-0.298,-0.175,-0.517,7.34,8.22,5.82,-0.338,-0.177,-0.553
19.3,7.25,8.06,5.78,-0.301,-0.179,-0.522,7.30,8.19,5.80,-0.336,-0.176,-0.549
19.4,7.25,8.09,5.77,-0.293,-0.166,-0.515,7.26,8.14,5.77,-0.336,-0.177,-0.547
19.5,7.31,8.19,5.82,-0.272,-0.139,-0.494,7.20,8.08,5.72,-0.338,-0.180,-0.548
19.6,7.36,8.27,5.84,-0.255,-0.111,-0.487,7.15,8.02,5.67,-0.341,-0.185,-0.550
19.7,7.33,8.25,5.81,-0.262,-0.115,-0.492,7.09,7.96,5.62,-0.343,-0.189,-0.553
19.8,7.20,8.12,5.68,-0.300,-0.146,-0.523,7.04,7.91,5.57,-0.345,-0.192,-0.555
19.9,7.00,7.90,5.51,-0.365,-0.188,-0.571,7.01,7.87,5.53,-0.346,-0.194,-0.556
20.0,6.76,7.64,5.29,-0.433,-0.236,-0.625,6.97,7.83,5.50,-0.345,-0.194,-0.556
20.1,6.57,7.43,5.12,-0.480,-0.285,-0.658,6.95,7.81,5.48,-0.344,-0.194,-0.556
20.2,6.44,7.30,4.98,-0.504,-0.308,-0.682,6.94,7.79,5.46,-0.343,-0.193,-0.555
20.3,6.38,7.22,4.92,-0.496,-0.315,-0.690,6.93,7.78,5.45,-0.341,-0.192,-0.553
20.4,6.44,7.27,4.99,-0.450,-0.298,-0.651,6.92,7.78,5.44,-0.340,-0.191,-0.552
20.5,6.61,7.46,5.18,-0.381,-0.247,-0.596,6.93,7.78,5.44,-0.339,-0.191,-0.551
20.6,6.84,7.66,5.40,-0.307,-0.191,-0.532,6.94,7.79,5.45,-0.337,-0.190,-0.549
20.7,7.04,7.86,5.57,-0.248,-0.135,-0.479,6.96,7.81,5.47,-0.335,-0.188,-0.547
20.8,7.17,7.99,5.69,-0.218,-0.109,-0.442,7.00,7.84,5.50,-0.331,-0.184,-0.543
20.9,7.23,8.06,5.72,-0.213,-0.087,-0.436,7.04,7.89,5.54,-0.325,-0.179,-0.539
21.0,7.23,8.06,5.72,-0.224,-0.087,-0.446,7.10,7.94,5.58,-0.319,-0.172,-0.533
21.1,7.15,7.98,5.66,-0.253,-0.125,-0.472,7.16,8.00,5.63,-0.311,-0.164,-0.528
21.2,7.08,7.91,5.55,-0.288,-0.161,-0.521,7.22,8.07,5.68,-0.304,-0.157,-0.522
21.3,7.09,7.92,5.55,-0.318,-0.192,-0.543,7.28,8.13,5.73,-0.298,-0.149,-0.518
21.4,7.19,8.06,5.61,-0.338,-0.196,-0.555,7.34,8.19,5.77,-0.294,-0.143,-0.515
21.5,7.39,8.26,5.82,-0.336,-0.175,-0.535,7.38,8.24,5.80,-0.291,-0.138,-0.514
21.6,7.60,8.46,6.00,-0.321,-0.141,-0.518,7.41,8.27,5.83,-0.290,-0.134,-0.514
21.7,7.72,8.58,6.11,-0.311,-0.128,-0.514,7.43,8.30,5.84,-0.289,-0.130,-0.514
21.8,7.75,8.62,6.12,-0.308,-0.119,-0.519,7.45,8.33,5.84,-0.288,-0.126,-0.515
21.9,7.74,8.61,6.08,-0.303,-0.123,-0.535,7.46,8.35,5.84,-0.286,-0.122,-0.515
22.0,7.72,8.61,6.07,-0.295,-0.116,-0.536,7.46,8.37,5.83,-0.282,-0.116,-0.515
22.1,7.71,8.59,6.07,-0.282,-0.111,-0.530,7.46,8.39,5.82,-0.277,-0.109,-0.514
22.2,7.69,8.59,6.04,-0.269,-0.104,-0.517,7.46,8.41,5.81,-0.272,-0.102,-0.512
22.3,7.60,8.49,5.97,-0.273,-0.115,-0.511,7.45,8.42,5.79,-0.267,-0.094,-0.511
22.4,7.45,8.35,5.81,-0.292,-0.119,-0.521,7.43,8.43,5.76,-0.263,-0.088,-0.511
22.5,7.30,8.22,5.63,-0.304,-0.111,-0.535,7.41,8.44,5.72,-0.261,-0.083,-0.513
22.6,7.21,8.19,5.52,-0.290,-0.091,-0.529,7.38,8.44,5.69,-0.262,-0.079,-0.516
22.7,7.20,8.17,5.50,-0.242,-0.068,-0.493,7.34,8.44,5.64,-0.265,-0.078,-0.521
22.8,7.25,8.25,5.60,-0.172,-0.045,-0.435,7.30,8.44,5.60,-0.270,-0.079,-0.527
22.9,7.26,8.43,5.55,-0.120,0.011,-0.421,7.27,8.43,5.55,-0.277,-0.081,-0.534
23.0,7.21,8.52,5.49,-0.115,0.031,-0.434,7.23,8.42,5.51,-0.285,-0.085,-0.541
23.1,7.15,8.57,5.39,-0.164,0.019,-0.494,7.20,8.41,5.47,-0.293,-0.089,-0.547
23.2,7.10,8.54,5.34,-0.237,-0.023,-0.534,7.17,8.39,5.44,-0.301,-0.094,-0.553
23.3,7.12,8.55,5.31,-0.303,-0.066,-0.575,7.14,8.38,5.41,-0.307,-0.099,-0.558
