Age (Ma CENOGRID),Site,CC,sample,depth (mbsf),depth (revised mcd),Lab,Reference,D47 avg I-CDES (‰),N,D47 SE (‰),Temp (°C),Temp 95% CI (°C),d18O Cibicidoides (‰ VPDB),d18Osw (‰ VSMOW),d18Osw 95% CI (‰),d18O Cibicidoides pH corrected (‰ VPDB),d18Osw pH corrected (‰ VSMOW),d13C Cibicidoides (‰ VPDB),d18O Nuttalides (‰ VPDB),d13C Nuttalides (‰ VPDB),Comments
60.57,1407,C18,,170.05,196.08,UiB,,0.644,35,0.005,10.9,2.9,0.43,-0.35,0.64,-0.41,-1.19,1.27,1,1.29,
62.06,1407,C19,,176.03,204.4,UiB,,0.642,26,0.011,11.4,5.7,0.46,-0.20,1.33,-0.41,-1.06,1.01,0.48,1.04,
12.27,761,,,,,UiB,Modestou et al. 2020,0.654,127,0.003,8.0,1.73,2.33,0.91,0.39,2.15,0.73,1.01,,,
13.84,761,,,,,UiB,Modestou et al. 2020,0.647,108,0.003,10.0,1.71,1.91,0.94,0.38,1.71,0.74,1.20,,,
15.78,761,,,,,UiB,Modestou et al. 2020,0.643,191,0.002,11.1,1.45,1.52,0.80,0.32,1.30,0.58,1.13,,,
43.35,1409,,,,,UiB,Leutert et al. 2019,0.639,99,0.003,12.3,1.8,0.09,-0.37,0.39,-0.51,-0.98,0.35,,,
43.42,1260,,,,,UiB,Leutert et al. 2019,0.642,54,0.004,11.6,2.3,0.19,-0.43,0.51,-0.41,-1.03,0.50,,,
43.45,1263,,,,,UiB,Leutert et al. 2019,0.643,51,0.004,11.1,2.5,0.30,-0.42,0.55,-0.30,-1.02,0.72,,,
51.11,1263,,,,,UU,this study,0.614,61,0.005,19.8,3.0,-0.55,0.56,0.60,-1.26,-0.15,,-0.69,0.63,d18O equivalent for Cibicidoides calculated from N. truempyi and O. umbonatus results
54,1262;1263;1265;1267,,,,,UU,Agterhuis et al. 2021,0.627,234,0.002,15.9,1.5,-0.47,-0.16,0.31,-1.22,-0.92,,-0.52,-0.08,d18O equivalent for Cibicidoides calculated from N. truempyi and O. umbonatus results
54.06,690,,,,,UU,Agterhuis et al. 2021,0.637,99,0.004,12.9,2.2,-0.50,-0.83,0.47,-1.26,-1.59,,-0.54,-0.28,d18O equivalent for Cibicidoides calculated from N. truempyi and O. umbonatus results
