Age,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
0.1,0.07,1.24,-1.32,0.093,0.443,-0.251,0.07,1.26,-1.31,0.159,0.492,-0.201
0.2,0.02,1.20,-1.37,0.087,0.435,-0.258,0.20,1.40,-1.19,0.161,0.496,-0.198
0.3,0.08,1.25,-1.32,0.108,0.445,-0.244,0.33,1.53,-1.06,0.164,0.500,-0.195
0.4,0.29,1.47,-1.10,0.164,0.487,-0.198,0.46,1.66,-0.94,0.166,0.504,-0.192
0.5,0.63,1.81,-0.76,0.240,0.548,-0.135,0.59,1.80,-0.82,0.168,0.508,-0.189
0.6,0.98,2.25,-0.44,0.300,0.619,-0.085,0.72,1.94,-0.69,0.171,0.512,-0.186
0.7,1.27,2.56,-0.19,0.323,0.656,-0.057,0.85,2.07,-0.57,0.174,0.517,-0.182
0.8,1.45,2.73,-0.01,0.303,0.655,-0.059,0.98,2.21,-0.44,0.178,0.521,-0.178
0.9,1.52,2.79,0.07,0.256,0.624,-0.088,1.12,2.35,-0.31,0.182,0.527,-0.174
1.0,1.47,2.72,0.05,0.195,0.567,-0.134,1.25,2.49,-0.18,0.186,0.533,-0.169
1.1,1.35,2.56,-0.03,0.130,0.495,-0.186,1.39,2.64,-0.05,0.191,0.539,-0.164
1.2,1.22,2.45,-0.20,0.076,0.443,-0.251,1.53,2.78,0.08,0.197,0.546,-0.159
1.3,1.14,2.38,-0.31,0.043,0.404,-0.295,1.67,2.93,0.21,0.201,0.552,-0.154
1.4,1.16,2.41,-0.27,0.035,0.393,-0.307,1.80,3.07,0.34,0.204,0.558,-0.150
1.5,1.29,2.58,-0.17,0.054,0.413,-0.297,1.94,3.21,0.47,0.207,0.563,-0.147
1.6,1.61,2.89,0.15,0.113,0.464,-0.244,2.07,3.35,0.59,0.209,0.567,-0.147
1.7,2.08,3.29,0.65,0.200,0.536,-0.153,2.20,3.49,0.71,0.210,0.569,-0.148
1.8,2.58,3.83,1.13,0.287,0.634,-0.066,2.33,3.62,0.83,0.211,0.571,-0.150
1.9,2.98,4.30,1.49,0.352,0.714,-0.010,2.46,3.77,0.94,0.211,0.573,-0.152
2.0,3.15,4.48,1.60,0.365,0.730,-0.006,2.60,3.91,1.07,0.212,0.576,-0.154
2.1,3.12,4.46,1.56,0.340,0.709,-0.035,2.74,4.07,1.19,0.212,0.580,-0.155
2.2,3.09,4.44,1.51,0.313,0.675,-0.068,2.88,4.22,1.32,0.212,0.583,-0.158
2.3,3.11,4.44,1.55,0.292,0.649,-0.086,3.02,4.37,1.44,0.211,0.584,-0.162
2.4,3.19,4.54,1.65,0.276,0.629,-0.105,3.15,4.51,1.56,0.206,0.582,-0.169
2.5,3.30,4.66,1.72,0.251,0.602,-0.138,3.26,4.63,1.66,0.198,0.577,-0.179
2.6,3.37,4.75,1.74,0.204,0.563,-0.191,3.36,4.74,1.75,0.187,0.567,-0.192
2.7,3.45,4.89,1.75,0.156,0.545,-0.241,3.45,4.83,1.83,0.172,0.553,-0.208
2.8,3.57,5.04,1.86,0.124,0.543,-0.265,3.52,4.91,1.90,0.154,0.535,-0.227
2.9,3.76,5.22,2.09,0.113,0.546,-0.252,3.59,4.98,1.96,0.134,0.515,-0.247
3.0,3.95,5.39,2.24,0.112,0.552,-0.252,3.64,5.03,2.01,0.113,0.494,-0.268
3.1,4.04,5.44,2.34,0.103,0.529,-0.264,3.70,5.08,2.07,0.092,0.472,-0.287
3.2,4.01,5.41,2.33,0.078,0.487,-0.298,3.75,5.14,2.13,0.073,0.452,-0.303
3.3,3.87,5.28,2.18,0.039,0.423,-0.353,3.82,5.19,2.20,0.057,0.433,-0.317
3.4,3.74,5.16,2.06,0.000,0.368,-0.406,3.88,5.25,2.28,0.044,0.418,-0.327
3.5,3.69,5.10,2.03,-0.027,0.327,-0.435,3.96,5.32,2.37,0.035,0.406,-0.333
3.6,3.73,5.15,2.10,-0.045,0.315,-0.438,4.04,5.39,2.46,0.032,0.398,-0.334
3.7,3.82,5.19,2.26,-0.055,0.301,-0.430,4.13,5.47,2.57,0.032,0.394,-0.331
3.8,3.94,5.25,2.43,-0.059,0.288,-0.413,4.23,5.56,2.68,0.037,0.394,-0.323
3.9,4.04,5.30,2.57,-0.060,0.284,-0.398,4.34,5.65,2.80,0.046,0.398,-0.313
4.0,4.12,5.35,2.69,-0.059,0.277,-0.387,4.45,5.75,2.93,0.057,0.404,-0.300
4.1,4.23,5.46,2.81,-0.051,0.284,-0.369,4.57,5.86,3.06,0.071,0.414,-0.284
4.2,4.37,5.63,2.92,-0.025,0.312,-0.351,4.69,5.97,3.19,0.087,0.427,-0.267
4.3,4.58,5.84,3.12,0.023,0.358,-0.310,4.82,6.09,3.33,0.104,0.443,-0.248
4.4,4.90,6.12,3.42,0.099,0.424,-0.240,4.94,6.21,3.46,0.122,0.460,-0.229
4.5,5.26,6.43,3.79,0.190,0.494,-0.155,5.06,6.32,3.58,0.140,0.479,-0.211
4.6,5.60,6.80,4.19,0.272,0.575,-0.074,5.18,6.44,3.70,0.158,0.498,-0.193
4.7,5.84,7.09,4.38,0.324,0.637,-0.038,5.28,6.54,3.80,0.175,0.515,-0.178
4.8,5.95,7.21,4.46,0.333,0.664,-0.027,5.36,6.63,3.88,0.190,0.531,-0.165
4.9,5.95,7.19,4.47,0.312,0.655,-0.043,5.43,6.70,3.95,0.203,0.545,-0.154
5.0,5.92,7.13,4.47,0.282,0.629,-0.064,5.49,6.76,4.00,0.214,0.556,-0.145
5.1,5.93,7.14,4.47,0.269,0.632,-0.079,5.53,6.80,4.04,0.222,0.563,-0.139
5.2,6.00,7.20,4.51,0.281,0.638,-0.071,5.55,6.83,4.06,0.228,0.568,-0.135
5.3,6.01,7.33,4.50,0.292,0.668,-0.075,5.57,6.84,4.07,0.230,0.569,-0.133
5.4,5.91,7.29,4.34,0.281,0.663,-0.106,5.56,6.83,4.07,0.229,0.567,-0.133
5.5,5.67,7.11,4.07,0.245,0.624,-0.157,5.55,6.81,4.06,0.226,0.562,-0.136
5.6,5.37,6.84,3.77,0.194,0.564,-0.209,5.53,6.79,4.04,0.220,0.554,-0.140
5.7,5.16,6.57,3.59,0.158,0.509,-0.245,5.50,6.75,4.02,0.213,0.545,-0.146
5.8,5.07,6.39,3.57,0.144,0.469,-0.240,5.46,6.71,3.98,0.204,0.534,-0.152
5.9,5.11,6.34,3.68,0.153,0.457,-0.207,5.42,6.66,3.95,0.196,0.523,-0.159
6.0,5.19,6.38,3.78,0.167,0.464,-0.168,5.39,6.62,3.92,0.188,0.511,-0.165
6.1,5.24,6.41,3.82,0.174,0.468,-0.157,5.36,6.58,3.89,0.181,0.500,-0.170
6.2,5.25,6.38,3.83,0.174,0.466,-0.152,5.33,6.54,3.87,0.174,0.489,-0.173
6.3,5.23,6.32,3.85,0.168,0.452,-0.160,5.31,6.52,3.86,0.169,0.481,-0.175
6.4,5.25,6.33,3.83,0.163,0.456,-0.169,5.31,6.51,3.86,0.166,0.475,-0.176
6.5,5.30,6.43,3.89,0.162,0.471,-0.161,5.32,6.51,3.88,0.164,0.471,-0.174
6.6,5.34,6.51,3.90,0.161,0.472,-0.160,5.34,6.53,3.91,0.165,0.470,-0.170
6.7,5.36,6.50,3.96,0.158,0.460,-0.159,5.38,6.57,3.95,0.167,0.472,-0.164
6.8,5.32,6.45,3.92,0.148,0.443,-0.177,5.43,6.62,4.00,0.171,0.477,-0.158
6.9,5.25,6.41,3.83,0.135,0.431,-0.198,5.50,6.68,4.06,0.176,0.485,-0.150
7.0,5.22,6.38,3.76,0.129,0.420,-0.214,5.57,6.76,4.13,0.183,0.494,-0.142
7.1,5.26,6.46,3.81,0.135,0.426,-0.203,5.64,6.84,4.20,0.192,0.504,-0.133
7.2,5.40,6.60,3.96,0.159,0.453,-0.176,5.72,6.93,4.27,0.202,0.516,-0.123
7.3,5.62,6.82,4.15,0.191,0.498,-0.140,5.81,7.02,4.35,0.213,0.529,-0.114
7.4,5.82,7.08,4.36,0.212,0.540,-0.103,5.89,7.12,4.42,0.226,0.543,-0.104
7.5,5.98,7.30,4.49,0.220,0.569,-0.087,5.98,7.22,4.49,0.239,0.558,-0.093
7.6,6.11,7.45,4.63,0.226,0.587,-0.076,6.06,7.31,4.56,0.253,0.574,-0.083
7.7,6.26,7.56,4.80,0.239,0.593,-0.058,6.14,7.41,4.63,0.266,0.590,-0.073
7.8,6.43,7.69,4.98,0.271,0.615,-0.036,6.22,7.50,4.69,0.280,0.607,-0.063
7.9,6.63,7.84,5.19,0.318,0.647,-0.003,6.29,7.59,4.75,0.294,0.625,-0.053
8.0,6.78,7.95,5.30,0.360,0.672,0.022,6.36,7.67,4.80,0.306,0.641,-0.044
8.1,6.82,8.04,5.25,0.382,0.691,0.021,6.43,7.75,4.84,0.319,0.658,-0.037
8.2,6.80,8.11,5.14,0.394,0.704,0.012,6.48,7.82,4.88,0.329,0.673,-0.031
8.3,6.74,8.12,5.00,0.397,0.711,-0.010,6.52,7.89,4.90,0.338,0.686,-0.028
8.4,6.66,8.07,4.98,0.389,0.709,-0.006,6.55,7.94,4.90,0.345,0.698,-0.029
8.5,6.59,8.02,4.97,0.376,0.725,-0.002,6.57,7.98,4.88,0.349,0.708,-0.033
8.6,6.53,7.91,4.89,0.363,0.723,-0.021,6.58,8.02,4.85,0.352,0.717,-0.040
8.7,6.52,7.94,4.86,0.356,0.736,-0.027,6.58,8.06,4.81,0.352,0.725,-0.051
8.8,6.56,8.02,4.80,0.365,0.752,-0.037,6.57,8.09,4.75,0.350,0.731,-0.064
8.9,6.63,8.14,4.82,0.384,0.768,-0.022,6.56,8.12,4.69,0.346,0.737,-0.080
9.0,6.68,8.23,4.85,0.396,0.777,-0.015,6.55,8.15,4.62,0.340,0.741,-0.098
9.1,6.65,8.22,4.83,0.386,0.770,-0.022,6.53,8.17,4.56,0.332,0.743,-0.117
9.2,6.54,8.12,4.73,0.350,0.754,-0.050,6.52,8.20,4.49,0.323,0.744,-0.137
