Age,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
9.3,6.39,8.02,4.57,0.302,0.730,-0.098,6.50,8.22,4.42,0.312,0.743,-0.158
9.4,6.30,8.03,4.20,0.276,0.722,-0.193,6.48,8.23,4.35,0.301,0.739,-0.178
9.5,6.28,8.21,3.90,0.271,0.745,-0.274,6.45,8.24,4.28,0.288,0.732,-0.199
9.6,6.34,8.39,3.81,0.280,0.779,-0.312,6.42,8.23,4.21,0.274,0.723,-0.220
9.7,6.46,8.51,3.93,0.288,0.788,-0.309,6.38,8.21,4.14,0.259,0.710,-0.240
9.8,6.54,8.56,3.99,0.281,0.769,-0.306,6.34,8.17,4.08,0.244,0.694,-0.259
9.9,6.59,8.59,4.03,0.256,0.751,-0.325,6.28,8.12,4.02,0.227,0.676,-0.277
10.0,6.56,8.54,4.06,0.220,0.723,-0.320,6.22,8.06,3.96,0.210,0.654,-0.294
10.1,6.48,8.44,3.99,0.190,0.694,-0.328,6.16,7.99,3.91,0.192,0.631,-0.310
10.2,6.36,8.41,3.82,0.169,0.688,-0.359,6.10,7.90,3.87,0.174,0.606,-0.323
10.3,6.22,8.20,3.74,0.152,0.636,-0.370,6.03,7.81,3.84,0.156,0.579,-0.333
10.4,6.08,7.99,3.58,0.141,0.594,-0.393,5.97,7.72,3.82,0.137,0.552,-0.340
10.5,5.90,7.72,3.63,0.127,0.538,-0.368,5.91,7.61,3.81,0.119,0.523,-0.344
10.6,5.72,7.36,3.66,0.108,0.466,-0.357,5.84,7.50,3.80,0.101,0.493,-0.346
10.7,5.55,7.06,3.68,0.087,0.408,-0.352,5.78,7.39,3.81,0.084,0.463,-0.346
10.8,5.41,6.81,3.73,0.063,0.353,-0.338,5.71,7.27,3.81,0.066,0.433,-0.344
10.9,5.34,6.76,3.70,0.039,0.327,-0.345,5.65,7.15,3.82,0.050,0.403,-0.343
11.0,5.30,6.72,3.66,0.010,0.319,-0.369,5.58,7.03,3.83,0.034,0.373,-0.341
11.1,5.29,6.75,3.63,-0.018,0.323,-0.390,5.51,6.91,3.83,0.019,0.345,-0.340
11.2,5.32,6.71,3.74,-0.034,0.298,-0.376,5.45,6.80,3.83,0.005,0.318,-0.338
11.3,5.38,6.63,3.91,-0.042,0.265,-0.335,5.40,6.70,3.84,-0.008,0.293,-0.337
11.4,5.44,6.62,4.04,-0.047,0.250,-0.307,5.35,6.61,3.84,-0.020,0.271,-0.336
11.5,5.49,6.57,4.18,-0.045,0.237,-0.277,5.31,6.53,3.85,-0.031,0.250,-0.335
11.6,5.48,6.55,4.22,-0.046,0.233,-0.267,5.27,6.46,3.85,-0.041,0.231,-0.335
11.7,5.43,6.50,4.17,-0.049,0.225,-0.274,5.24,6.41,3.85,-0.051,0.213,-0.337
11.8,5.34,6.39,4.08,-0.051,0.210,-0.293,5.21,6.36,3.85,-0.062,0.196,-0.340
11.9,5.17,6.20,3.91,-0.067,0.181,-0.324,5.18,6.31,3.84,-0.074,0.177,-0.346
12.0,4.97,5.96,3.72,-0.095,0.126,-0.358,5.15,6.27,3.83,-0.087,0.159,-0.353
12.1,4.79,5.85,3.55,-0.122,0.110,-0.381,5.13,6.24,3.81,-0.101,0.139,-0.362
12.2,4.78,5.84,3.51,-0.119,0.099,-0.388,5.10,6.20,3.80,-0.115,0.120,-0.372
12.3,5.00,6.07,3.69,-0.071,0.135,-0.351,5.09,6.18,3.79,-0.130,0.101,-0.384
12.4,5.20,6.34,3.91,-0.032,0.170,-0.317,5.09,6.18,3.78,-0.144,0.083,-0.395
12.5,5.26,6.40,3.98,-0.037,0.155,-0.322,5.10,6.19,3.79,-0.157,0.067,-0.406
12.6,5.13,6.27,3.83,-0.092,0.097,-0.372,5.12,6.21,3.81,-0.169,0.052,-0.417
12.7,4.88,6.04,3.60,-0.182,0.021,-0.438,5.16,6.25,3.84,-0.181,0.038,-0.427
12.8,4.69,5.82,3.38,-0.267,-0.055,-0.511,5.21,6.30,3.89,-0.192,0.024,-0.437
12.9,4.66,5.75,3.32,-0.322,-0.100,-0.548,5.27,6.35,3.94,-0.205,0.010,-0.447
13.0,4.77,5.84,3.40,-0.341,-0.116,-0.560,5.33,6.41,3.99,-0.218,-0.004,-0.458
13.1,4.97,6.07,3.60,-0.339,-0.102,-0.550,5.40,6.48,4.06,-0.232,-0.018,-0.468
13.2,5.24,6.33,3.83,-0.322,-0.078,-0.535,5.48,6.56,4.13,-0.246,-0.031,-0.479
13.3,5.56,6.63,4.16,-0.285,-0.052,-0.500,5.58,6.65,4.22,-0.259,-0.043,-0.488
13.4,5.92,6.97,4.59,-0.233,-0.013,-0.440,5.69,6.76,4.32,-0.271,-0.053,-0.496
13.5,6.25,7.27,4.86,-0.188,0.020,-0.415,5.81,6.88,4.44,-0.280,-0.061,-0.502
13.6,6.41,7.43,5.02,-0.174,0.024,-0.408,5.95,7.01,4.57,-0.288,-0.067,-0.507
13.7,6.33,7.35,4.96,-0.209,-0.021,-0.443,6.09,7.15,4.70,-0.293,-0.072,-0.510
13.8,6.05,7.08,4.69,-0.292,-0.105,-0.527,6.24,7.30,4.85,-0.298,-0.076,-0.514
13.9,5.77,6.81,4.40,-0.389,-0.189,-0.614,6.38,7.44,4.98,-0.304,-0.081,-0.520
14.0,5.78,6.82,4.40,-0.435,-0.213,-0.640,6.52,7.58,5.11,-0.311,-0.088,-0.527
14.1,6.16,7.23,4.76,-0.411,-0.169,-0.601,6.64,7.70,5.23,-0.320,-0.098,-0.538
14.2,6.74,7.80,5.32,-0.345,-0.093,-0.529,6.75,7.81,5.33,-0.332,-0.110,-0.550
14.3,7.31,8.41,5.87,-0.278,-0.020,-0.469,6.85,7.91,5.43,-0.346,-0.123,-0.564
14.4,7.67,8.78,6.21,-0.250,0.010,-0.449,6.95,8.01,5.52,-0.359,-0.135,-0.577
14.5,7.82,8.88,6.39,-0.257,-0.014,-0.465,7.05,8.12,5.61,-0.372,-0.146,-0.589
14.6,7.84,8.86,6.38,-0.278,-0.060,-0.504,7.15,8.22,5.71,-0.382,-0.155,-0.599
14.7,7.74,8.78,6.33,-0.317,-0.111,-0.548,7.26,8.33,5.81,-0.389,-0.162,-0.606
14.8,7.46,8.53,6.04,-0.390,-0.186,-0.627,7.36,8.44,5.91,-0.394,-0.167,-0.611
14.9,7.11,8.24,5.64,-0.489,-0.275,-0.743,7.46,8.54,6.00,-0.397,-0.172,-0.616
15.0,6.94,8.10,5.42,-0.557,-0.336,-0.816,7.54,8.62,6.07,-0.400,-0.178,-0.621
15.1,6.96,8.09,5.47,-0.592,-0.369,-0.835,7.61,8.67,6.12,-0.404,-0.185,-0.627
15.2,7.27,8.32,5.83,-0.572,-0.351,-0.781,7.65,8.71,6.15,-0.409,-0.195,-0.635
15.3,7.74,8.80,6.29,-0.508,-0.269,-0.695,7.68,8.73,6.17,-0.416,-0.206,-0.645
15.4,8.11,9.20,6.62,-0.443,-0.187,-0.622,7.69,8.75,6.18,-0.423,-0.217,-0.654
15.5,8.33,9.41,6.81,-0.377,-0.131,-0.567,7.71,8.76,6.18,-0.430,-0.227,-0.662
15.6,8.46,9.53,6.91,-0.318,-0.093,-0.532,7.73,8.77,6.19,-0.435,-0.234,-0.669
15.7,8.42,9.48,6.86,-0.292,-0.087,-0.521,7.75,8.80,6.20,-0.439,-0.239,-0.673
15.8,8.17,9.21,6.61,-0.308,-0.132,-0.559,7.78,8.83,6.21,-0.440,-0.241,-0.675
15.9,7.82,8.78,6.26,-0.355,-0.218,-0.624,7.81,8.86,6.23,-0.440,-0.240,-0.677
16.0,7.46,8.38,5.87,-0.426,-0.304,-0.703,7.85,8.90,6.24,-0.437,-0.238,-0.678
16.1,7.23,8.17,5.61,-0.487,-0.359,-0.771,7.88,8.93,6.23,-0.433,-0.234,-0.679
16.2,7.28,8.24,5.63,-0.511,-0.368,-0.786,7.90,8.96,6.22,-0.427,-0.229,-0.682
16.3,7.52,8.50,5.86,-0.510,-0.338,-0.762,7.93,8.99,6.19,-0.419,-0.222,-0.687
16.4,7.86,8.93,6.24,-0.486,-0.270,-0.708,7.95,9.02,6.15,-0.410,-0.213,-0.692
16.5,8.15,9.23,6.53,-0.461,-0.225,-0.665,7.97,9.05,6.11,-0.399,-0.202,-0.697
16.6,8.26,9.37,6.61,-0.454,-0.206,-0.659,7.99,9.08,6.06,-0.387,-0.188,-0.702
16.7,8.17,9.32,6.45,-0.463,-0.220,-0.692,8.03,9.13,6.02,-0.372,-0.171,-0.705
16.8,7.95,9.12,6.18,-0.481,-0.251,-0.739,8.06,9.18,5.98,-0.355,-0.152,-0.707
16.9,7.78,8.94,5.90,-0.482,-0.267,-0.781,8.11,9.23,5.95,-0.337,-0.131,-0.707
17.0,7.85,9.03,5.77,-0.429,-0.219,-0.775,8.15,9.29,5.92,-0.319,-0.110,-0.706
17.1,8.14,9.25,5.78,-0.330,-0.135,-0.743,8.19,9.34,5.88,-0.301,-0.089,-0.704
17.2,8.46,9.61,5.76,-0.225,-0.021,-0.715,8.22,9.38,5.85,-0.284,-0.070,-0.702
17.3,8.69,9.90,5.78,-0.134,0.087,-0.688,8.25,9.41,5.82,-0.268,-0.052,-0.700
17.4,8.72,9.95,5.81,-0.082,0.138,-0.657,8.27,9.45,5.80,-0.252,-0.035,-0.695
17.5,8.62,9.91,5.69,-0.062,0.156,-0.655,8.30,9.48,5.79,-0.237,-0.018,-0.688
17.6,8.49,9.73,5.61,-0.062,0.128,-0.651,8.34,9.52,5.80,-0.221,0.000,-0.677
17.7,8.41,9.62,5.53,-0.072,0.115,-0.660,8.38,9.56,5.83,-0.204,0.018,-0.661
17.8,8.42,9.58,5.58,-0.092,0.099,-0.650,8.42,9.61,5.89,-0.187,0.037,-0.642
17.9,8.38,9.56,5.58,-0.142,0.083,-0.655,8.47,9.66,5.96,-0.170,0.054,-0.620
18.0,8.19,9.34,5.43,-0.227,0.016,-0.702,8.52,9.70,6.04,-0.155,0.070,-0.595
18.1,7.95,9.05,5.15,-0.314,-0.067,-0.781,8.56,9.74,6.13,-0.143,0.083,-0.570
18.2,7.90,8.98,5.27,-0.343,-0.109,-0.783,8.59,9.76,6.21,-0.133,0.092,-0.545
18.3,8.05,9.22,5.69,-0.316,-0.066,-0.700,8.61,9.77,6.30,-0.126,0.098,-0.521
18.4,8.48,9.69,6.45,-0.222,0.026,-0.537,8.62,9.77,6.38,-0.121,0.101,-0.499
18.5,9.00,10.25,7.13,-0.109,0.147,-0.382,8.63,9.76,6.45,-0.116,0.104,-0.477
18.6,9.33,10.59,7.45,-0.032,0.235,-0.308,8.63,9.76,6.52,-0.112,0.106,-0.455
18.7,9.44,10.65,7.59,0.007,0.269,-0.258,8.63,9.75,6.59,-0.107,0.109,-0.434
18.8,9.40,10.55,7.61,0.026,0.266,-0.233,8.62,9.74,6.64,-0.102,0.112,-0.415
18.9,9.23,10.33,7.51,0.025,0.235,-0.231,8.61,9.72,6.69,-0.097,0.114,-0.398
19.0,8.95,9.98,7.29,-0.003,0.177,-0.247,8.58,9.69,6.71,-0.095,0.115,-0.385
19.1,8.65,9.62,7.01,-0.038,0.119,-0.291,8.54,9.64,6.71,-0.095,0.112,-0.377
19.2,8.44,9.40,6.73,-0.063,0.094,-0.332,8.47,9.57,6.68,-0.099,0.106,-0.374
19.3,8.29,9.27,6.57,-0.082,0.075,-0.355,8.39,9.47,6.62,-0.108,0.095,-0.377
19.4,8.26,9.28,6.53,-0.080,0.084,-0.354,8.28,9.36,6.53,-0.121,0.080,-0.386
19.5,8.33,9.41,6.60,-0.057,0.118,-0.330,8.16,9.23,6.43,-0.137,0.062,-0.399
19.6,8.40,9.52,6.62,-0.037,0.151,-0.324,8.04,9.10,6.31,-0.154,0.043,-0.415
19.7,8.31,9.45,6.55,-0.055,0.137,-0.338,7.92,8.97,6.20,-0.170,0.024,-0.431
19.8,8.07,9.20,6.29,-0.119,0.081,-0.395,7.81,8.85,6.09,-0.185,0.006,-0.445
19.9,7.70,8.80,5.97,-0.219,0.001,-0.475,7.71,8.75,6.00,-0.198,-0.008,-0.457
20.0,7.27,8.35,5.55,-0.327,-0.088,-0.569,7.63,8.66,5.92,-0.208,-0.020,-0.467
20.1,6.92,7.97,5.24,-0.407,-0.172,-0.633,7.56,8.59,5.86,-0.216,-0.030,-0.475
20.2,6.67,7.72,4.97,-0.455,-0.220,-0.684,7.50,8.53,5.81,-0.224,-0.038,-0.482
20.3,6.54,7.56,4.84,-0.461,-0.244,-0.706,7.46,8.48,5.76,-0.230,-0.046,-0.487
20.4,6.61,7.61,4.94,-0.413,-0.227,-0.661,7.42,8.44,5.73,-0.236,-0.053,-0.492
20.5,6.88,7.89,5.24,-0.325,-0.158,-0.582,7.40,8.41,5.71,-0.240,-0.059,-0.496
20.6,7.22,8.17,5.60,-0.227,-0.082,-0.489,7.39,8.39,5.70,-0.243,-0.064,-0.498
20.7,7.52,8.46,5.88,-0.147,-0.007,-0.414,7.40,8.39,5.71,-0.243,-0.065,-0.497
20.8,7.70,8.65,6.05,-0.105,0.029,-0.365,7.43,8.41,5.73,-0.241,-0.064,-0.494
20.9,7.78,8.73,6.09,-0.099,0.053,-0.359,7.48,8.45,5.77,-0.235,-0.060,-0.489
21.0,7.74,8.69,6.06,-0.116,0.046,-0.374,7.54,8.51,5.83,-0.226,-0.052,-0.481
21.1,7.59,8.52,5.93,-0.161,-0.010,-0.414,7.61,8.58,5.90,-0.216,-0.043,-0.472
21.2,7.44,8.39,5.73,-0.212,-0.061,-0.484,7.69,8.66,5.97,-0.206,-0.033,-0.463
21.3,7.43,8.37,5.70,-0.247,-0.099,-0.511,7.76,8.73,6.03,-0.197,-0.023,-0.455
21.4,7.58,8.57,5.79,-0.258,-0.089,-0.517,7.83,8.80,6.08,-0.190,-0.015,-0.450
21.5,7.89,8.87,6.13,-0.232,-0.047,-0.469,7.88,8.85,6.12,-0.187,-0.009,-0.448
21.6,8.20,9.17,6.43,-0.194,0.009,-0.428,7.91,8.88,6.14,-0.186,-0.005,-0.448
21.7,8.38,9.34,6.60,-0.172,0.032,-0.411,7.92,8.91,6.14,-0.187,-0.003,-0.451
21.8,8.41,9.39,6.61,-0.169,0.042,-0.417,7.93,8.93,6.13,-0.188,-0.001,-0.454
21.9,8.37,9.35,6.51,-0.170,0.032,-0.443,7.92,8.94,6.11,-0.189,0.001,-0.458
22.0,8.32,9.32,6.48,-0.169,0.034,-0.449,7.91,8.95,6.09,-0.189,0.005,-0.462
22.1,8.29,9.27,6.47,-0.160,0.032,-0.446,7.89,8.95,6.05,-0.188,0.010,-0.465
22.2,8.24,9.25,6.40,-0.154,0.035,-0.441,7.86,8.96,6.01,-0.187,0.015,-0.469
22.3,8.08,9.07,6.27,-0.173,0.007,-0.449,7.83,8.97,5.96,-0.187,0.020,-0.474
22.4,7.81,8.83,5.99,-0.216,-0.018,-0.484,7.78,8.97,5.90,-0.189,0.024,-0.481
22.5,7.55,8.61,5.66,-0.251,-0.029,-0.528,7.73,8.96,5.83,-0.194,0.026,-0.491
22.6,7.39,8.53,5.46,-0.253,-0.018,-0.541,7.66,8.94,5.75,-0.202,0.026,-0.503
22.7,7.35,8.48,5.42,-0.210,-0.001,-0.510,7.59,8.92,5.66,-0.213,0.022,-0.517
22.8,7.42,8.60,5.58,-0.137,0.028,-0.440,7.51,8.89,5.57,-0.228,0.017,-0.533
22.9,7.42,8.86,5.48,-0.086,0.102,-0.436,7.43,8.86,5.48,-0.243,0.009,-0.549
23.0,7.33,8.99,5.36,-0.091,0.130,-0.461,7.35,8.82,5.39,-0.260,-0.000,-0.565
23.1,7.22,9.04,5.17,-0.151,0.119,-0.539,7.28,8.78,5.31,-0.276,-0.010,-0.580
23.2,7.12,8.98,5.08,-0.233,0.069,-0.588,7.22,8.74,5.24,-0.291,-0.021,-0.593
23.3,7.12,8.97,5.02,-0.302,0.023,-0.636,7.16,8.71,5.18,-0.304,-0.031,-0.605
23.4,7.15,8.95,5.07,-0.358,-0.018,-0.661,7.11,8.67,5.14,-0.316,-0.042,-0.615
23.5,7.10,8.93,5.03,-0.412,-0.042,-0.699,7.07,8.63,5.10,-0.327,-0.052,-0.623
23.6,6.95,8.80,4.91,-0.462,-0.090,-0.740,7.04,8.59,5.07,-0.336,-0.062,-0.630
23.7,6.80,8.62,4.74,-0.499,-0.137,-0.775,7.01,8.55,5.05,-0.344,-0.072,-0.634
23.8,6.73,8.48,4.69,-0.509,-0.170,-0.771,6.99,8.51,5.04,-0.350,-0.081,-0.637
23.9,6.76,8.40,4.81,-0.492,-0.183,-0.738,6.97,8.46,5.03,-0.354,-0.089,-0.637
24.0,6.84,8.25,4.93,-0.455,-0.194,-0.699,6.96,8.41,5.02,-0.355,-0.094,-0.635
24.1,6.90,8.15,5.07,-0.413,-0.193,-0.649,6.95,8.37,5.02,-0.352,-0.097,-0.629
24.2,6.92,8.06,5.11,-0.375,-0.179,-0.624,6.94,8.33,5.03,-0.345,-0.096,-0.619
24.3,6.92,8.05,5.08,-0.338,-0.154,-0.608,6.94,8.29,5.03,-0.334,-0.092,-0.607
24.4,6.94,8.06,5.09,-0.303,-0.130,-0.589,6.94,8.26,5.04,-0.320,-0.084,-0.592
24.5,6.96,8.05,5.13,-0.277,-0.105,-0.563,6.94,8.23,5.05,-0.303,-0.073,-0.575
24.6,6.95,8.02,5.13,-0.263,-0.099,-0.539,6.93,8.20,5.05,-0.286,-0.060,-0.558
24.7,6.95,8.02,5.17,-0.255,-0.080,-0.518,6.92,8.17,5.04,-0.268,-0.046,-0.542
