Age,SLice,SLice max,SLice min,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),Temperature (long),Temperature max (long),Temperature min (long)
27.7,-16.33,-3.58,-25.37,6.37,7.29,5.05,5.68,20.06,-6.69,5.17,6.13,3.89
27.8,-14.86,0.70,-24.29,6.43,7.36,5.11,5.43,19.88,-6.83,5.20,6.16,3.91
27.9,-9.68,8.33,-19.25,6.31,7.24,4.98,5.17,19.68,-6.94,5.24,6.19,3.93
28.0,-1.81,17.25,-11.03,6.05,6.98,4.71,4.91,19.49,-7.02,5.27,6.22,3.95
28.1,6.98,25.66,-1.94,5.68,6.62,4.35,4.69,19.32,-7.06,5.30,6.25,3.98
28.2,14.62,32.26,5.12,5.30,6.24,3.95,4.50,19.19,-7.06,5.33,6.28,4.00
28.3,19.74,36.45,8.62,4.99,5.93,3.64,4.37,19.11,-7.00,5.36,6.31,4.02
28.4,21.96,38.14,8.85,4.81,5.75,3.46,4.29,19.08,-6.89,5.39,6.34,4.04
28.5,21.55,37.41,6.96,4.76,5.71,3.40,4.28,19.09,-6.73,5.41,6.37,4.06
28.6,19.21,34.59,4.16,4.81,5.76,3.45,4.32,19.16,-6.53,5.44,6.39,4.08
28.7,15.83,30.54,1.16,4.92,5.87,3.55,4.42,19.27,-6.29,5.46,6.41,4.09
28.8,12.30,26.35,-1.73,5.02,5.98,3.65,4.58,19.42,-6.00,5.47,6.43,4.10
28.9,9.43,22.97,-4.10,5.08,6.04,3.70,4.79,19.60,-5.67,5.48,6.44,4.10
29.0,7.37,20.56,-5.82,5.11,6.07,3.73,5.05,19.81,-5.30,5.49,6.44,4.10
29.1,5.60,18.36,-7.15,5.18,6.15,3.79,5.35,20.04,-4.90,5.50,6.45,4.09
29.2,3.60,15.70,-8.35,5.31,6.28,3.92,5.70,20.26,-4.48,5.50,6.45,4.09
29.3,1.27,12.68,-9.49,5.48,6.46,4.09,6.07,20.47,-4.07,5.50,6.46,4.08
29.4,-1.07,10.04,-10.47,5.69,6.67,4.29,6.45,20.64,-3.68,5.50,6.46,4.08
29.5,-2.95,8.72,-11.17,5.86,6.85,4.46,6.82,20.77,-3.33,5.51,6.48,4.09
29.6,-4.07,9.09,-11.54,5.97,6.95,4.56,7.16,20.86,-3.04,5.51,6.50,4.10
29.7,-4.24,10.89,-11.28,6.00,6.99,4.59,7.46,20.91,-2.81,5.53,6.52,4.12
29.8,-3.31,13.56,-9.88,5.98,6.97,4.56,7.71,20.95,-2.63,5.54,6.55,4.14
29.9,-1.33,16.58,-7.31,5.91,6.91,4.49,7.90,20.99,-2.49,5.57,6.58,4.16
30.0,1.36,19.46,-4.28,5.82,6.82,4.39,8.04,21.08,-2.35,5.59,6.61,4.18
30.1,4.12,21.72,-1.87,5.72,6.72,4.29,8.15,21.21,-2.20,5.62,6.64,4.20
30.2,6.35,22.96,-0.91,5.64,6.65,4.21,8.25,21.40,-2.03,5.64,6.66,4.22
30.3,7.83,23.05,-1.14,5.59,6.60,4.15,8.36,21.66,-1.81,5.67,6.69,4.24
30.4,8.76,22.28,-1.42,5.57,6.58,4.12,8.50,21.96,-1.55,5.69,6.71,4.25
30.5,9.59,21.31,-0.83,5.57,6.59,4.12,8.68,22.32,-1.25,5.71,6.74,4.27
30.6,10.73,20.80,0.90,5.60,6.62,4.14,8.92,22.71,-0.90,5.74,6.76,4.28
30.7,12.33,21.12,3.46,5.64,6.66,4.18,9.22,23.14,-0.51,5.75,6.77,4.29
30.8,14.24,22.21,6.17,5.67,6.69,4.20,9.57,23.60,-0.09,5.77,6.79,4.30
30.9,16.13,23.88,8.28,5.67,6.70,4.20,9.96,24.10,0.35,5.78,6.80,4.30
31.0,17.59,25.96,9.13,5.65,6.69,4.18,10.37,24.63,0.79,5.79,6.82,4.31
31.1,18.33,28.33,8.24,5.64,6.68,4.16,10.79,25.18,1.23,5.80,6.83,4.31
31.2,18.30,30.79,5.73,5.65,6.69,4.17,11.19,25.73,1.63,5.81,6.84,4.31
31.3,17.73,33.01,2.41,5.69,6.73,4.20,11.58,26.28,1.99,5.81,6.85,4.32
31.4,16.97,34.54,-0.34,5.75,6.80,4.25,11.95,26.80,2.29,5.82,6.86,4.32
31.5,16.20,35.09,-1.44,5.82,6.87,4.32,12.28,27.28,2.53,5.83,6.88,4.33
31.6,15.27,34.55,-0.85,5.90,6.95,4.39,12.59,27.73,2.71,5.84,6.89,4.34
31.7,13.88,32.97,0.58,5.97,7.03,4.46,12.89,28.14,2.83,5.85,6.91,4.34
31.8,11.90,30.51,1.70,6.04,7.10,4.53,13.17,28.52,2.90,5.85,6.92,4.35
31.9,9.68,27.40,1.86,6.11,7.17,4.59,13.48,28.89,2.93,5.86,6.94,4.36
32.0,7.84,24.00,1.36,6.15,7.22,4.63,13.81,29.27,2.95,5.86,6.95,4.36
