Species,T,d18Osw_VSMOW,d18Oc,Ref,Type
Cibicidoides,1.57,-0.04,3.02,Keigwin (1998),benthic
Uvigerina,1.56,-0.03,3.29,Keigwin (1998),benthic
Cibicidoides,1.56,-0.03,2.98,Keigwin (1998),benthic
Uvigerina,1.55,-0.03,3.27,Keigwin (1998),benthic
Cibicidoides,1.55,-0.03,3.00,Keigwin (1998),benthic
Uvigerina,1.53,-0.03,3.29,Keigwin (1998),benthic
Cibicidoides,1.53,-0.03,2.91,Keigwin (1998),benthic
Uvigerina,1.53,-0.03,3.32,Keigwin (1998),benthic
Cibicidoides,1.53,-0.03,2.92,Keigwin (1998),benthic
Uvigerina,1.53,-0.03,3.41,Keigwin (1998),benthic
Cibicidoides,1.53,-0.03,2.97,Keigwin (1998),benthic
Cibicidoides,1.52,-0.03,3.00,Keigwin (1998),benthic
Cibicidoides,1.51,-0.03,2.79,Keigwin (1998),benthic
Uvigerina,1.50,-0.03,3.46,Keigwin (1998),benthic
Cibicidoides,1.50,-0.03,2.80,Keigwin (1998),benthic
Uvigerina,1.50,-0.03,3.36,Keigwin (1998),benthic
Cibicidoides,1.50,-0.03,2.74,Keigwin (1998),benthic
Uvigerina,1.50,-0.02,3.36,Keigwin (1998),benthic
Cibicidoides,1.50,-0.02,2.69,Keigwin (1998),benthic
Globigerinoides sacculifer,27.4 ,0.94 ,-2.23 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.0 ,0.94 ,-2.20 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.4 ,0.94 ,-2.11 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.3 ,0.94 ,-2.24 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.4 ,0.94 ,-2.11 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.3 ,0.88 ,-2.15 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.2 ,0.84 ,-2.18 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.2 ,0.85 ,-2.05 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.1 ,0.86 ,-2.16 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,26.9 ,0.85 ,-2.03 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,26.9 ,0.82 ,-2.20 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.0 ,0.92 ,-1.99 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,26.9 ,0.88 ,-1.96 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.1 ,1.16 ,-2.22 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.1 ,0.90 ,-2.10 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,26.6 ,0.90 ,-2.16 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,26.5 ,0.97 ,-2.02 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,25.8 ,1.07 ,-1.96 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,25.2 ,1.08 ,-1.90 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,24.6 ,1.13 ,-2.20 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,18.2 ,0.63 ,-0.59 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,22.5 ,0.89 ,-1.01 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,22.6 ,0.48 ,-1.73 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,23.0 ,0.48 ,-1.82 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,24.2 ,0.60 ,-2.10 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,24.2 ,0.60 ,-2.25 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,25.6 ,0.33 ,-2.23 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,25.6 ,0.33 ,-2.27 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,26.6 ,0.33 ,-2.55 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,26.6 ,0.33 ,-2.44 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,26.6 ,0.33 ,-2.54 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.0 ,0.29 ,-2.67 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.7 ,0.38 ,-2.86 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.7 ,0.38 ,-3.01 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.7 ,0.38 ,-3.06 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.6 ,0.32 ,-3.06 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.6 ,0.32 ,-2.99 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.6 ,0.32 ,-2.74 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.8 ,0.39 ,-2.93 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.8 ,0.39 ,-3.02 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.8 ,0.39 ,-3.32 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.8 ,0.39 ,-2.97 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.3 ,0.48 ,-2.50 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.3 ,0.48 ,-2.63 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.4 ,0.51 ,-2.69 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.4 ,0.51 ,-2.79 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.8 ,0.54 ,-2.64 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.8 ,0.54 ,-3.28 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.8 ,0.54 ,-2.94 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,29.0 ,0.66 ,-2.84 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.7 ,0.26 ,-3.00 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.6 ,0.10 ,-2.93 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.6 ,0.10 ,-2.65 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.3 ,0.30 ,-3.47 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.7 ,0.25 ,-2.99 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,27.7 ,0.25 ,-3.16 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.3 ,0.10 ,-3.36 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,29.5 ,0.30 ,-3.10 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.9 ,0.35 ,-2.50 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.9 ,0.35 ,-3.04 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.9 ,0.35 ,-2.92 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,30.6 ,0.57 ,-3.03 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,31.1 ,0.70 ,-3.40 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,29.8 ,0.77 ,-3.02 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,26.5 ,0.62 ,-2.60 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,28.0 ,0.62 ,-2.60 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,21.0 ,0.81 ,-1.20 ,Mulitza et al. (2003),planktic
Globigerinoides sacculifer,16.2 ,0.83 ,-0.01 ,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),11.8,0.13,0.09,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.2,-0.17,2.58,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),5.2,-0.29,1.1,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),13.1,0.13,0.3,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),8.7,0.13,0.9,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),6.9,-0.09,1.45,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),7.3,-0.17,1.46,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),5.4,-0.17,1.69,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.625,0.22,3.59,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-0.845,0.25,3.4,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.734,0.25,3.6,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.411,0.25,3.44,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.607,0.3,3.39,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.542,0.23,3.87,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.175,0.23,3.76,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.339,0.25,3.53,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.643,0.26,3.83,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.012,0.25,3.88,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.239,0.28,3.55,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.42,0.31,3.2,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.395,0.3,3,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.658,0.22,3.91,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-0.172,0.25,3.67,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.196,0.28,3.49,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.442,0.29,3.44,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.831,0.11,3.46,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.555,0.11,3.76,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.963,0.21,3.84,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.629,0.25,3.64,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.503,0.28,3.64,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-0.845,0.25,3.2,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.734,0.25,3.38,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.411,0.25,3.32,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.607,0.3,3.12,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.542,0.23,3.73,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.175,0.23,3.63,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.339,0.25,3.55,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.536,0.26,3.09,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.368,0.31,2.73,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.643,0.26,3.73,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.012,0.25,3.83,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.239,0.28,3.39,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.658,0.22,3.26,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-0.172,0.25,3.64,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.196,0.28,3.55,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),1.442,0.29,3.27,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.831,0.11,3.49,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),-1.555,0.11,3.69,Mulitza et al. (2003),planktic
Neogloboquadrina pachyderma (s.),0.963,0.21,2.77,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.4 ,0.94 ,-2.18 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.4 ,0.94 ,-2.17 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.4 ,0.94 ,-2.19 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.3 ,0.88 ,-2.18 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.2 ,0.84 ,-2.10 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.2 ,0.85 ,-2.22 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.1 ,0.86 ,-2.21 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.9 ,0.85 ,-2.28 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.9 ,0.82 ,-2.10 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.0 ,0.92 ,-2.47 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.9 ,0.88 ,-2.19 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.1 ,0.96 ,-2.24 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.1 ,0.90 ,-2.30 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.5 ,0.97 ,-2.14 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.9 ,0.94 ,-2.21 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,25.8 ,1.07 ,-2.08 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,24.2 ,1.00 ,-1.73 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,24.0 ,1.18 ,-1.56 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,22.5 ,0.99 ,-1.24 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,22.1 ,0.99 ,-1.40 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,20.7 ,0.80 ,-1.14 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,20.0 ,0.62 ,-1.24 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,22.6 ,0.48 ,-1.78 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,22.6 ,0.48 ,-1.78 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,23.0 ,0.48 ,-1.76 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,24.2 ,0.60 ,-2.16 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,24.2 ,0.60 ,-2.01 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,25.6 ,0.33 ,-2.34 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,25.6 ,0.33 ,-2.47 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.6 ,0.33 ,-2.65 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.6 ,0.33 ,-2.64 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.6 ,0.33 ,-2.55 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.0 ,0.29 ,-2.83 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.5 ,0.45 ,-2.52 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.7 ,0.38 ,-3.04 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.6 ,0.32 ,-3.13 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.8 ,0.39 ,-3.07 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.8 ,0.39 ,-2.72 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.8 ,0.39 ,-3.45 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.8 ,0.39 ,-3.15 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.3 ,0.42 ,-2.76 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.3 ,0.42 ,-2.90 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.3 ,0.48 ,-2.88 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.3 ,0.48 ,-2.99 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.4 ,0.51 ,-3.05 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.4 ,0.51 ,-2.78 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.4 ,0.51 ,-2.84 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.8 ,0.54 ,-2.91 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.8 ,0.54 ,-2.72 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,29.0 ,0.66 ,-3.37 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,29.0 ,0.66 ,-2.78 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,29.0 ,0.66 ,-2.94 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,29.0 ,0.66 ,-3.12 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,29.0 ,0.77 ,-3.15 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,29.0 ,0.77 ,-2.82 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.7 ,0.26 ,-3.20 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.6 ,0.10 ,-3.05 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,27.6 ,0.10 ,-3.12 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.9 ,0.35 ,-3.08 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.9 ,0.35 ,-3.02 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.9 ,0.35 ,-2.96 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,29.4 ,0.43 ,-3.30 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,30.1 ,0.43 ,-2.94 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,30.3 ,0.45 ,-3.42 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,30.6 ,0.57 ,-3.14 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,31.1 ,0.70 ,-3.53 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,29.8 ,0.77 ,-3.36 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,29.8 ,0.77 ,-3.29 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.5 ,0.62 ,-2.77 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,26.5 ,0.62 ,-2.79 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.8 ,0.62 ,-2.71 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,28.8 ,0.62 ,-3.20 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,25.5 ,0.37 ,-2.18 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,25.5 ,0.37 ,-1.91 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,25.8 ,0.43 ,-2.30 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,25.5 ,0.41 ,-2.36 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,16.1 ,0.83 ,-0.04 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,16.2 ,0.83 ,-0.27 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,16.2 ,0.83 ,-0.15 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,21.0 ,0.81 ,-1.05 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,22.0 ,0.87 ,-1.31 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,19.0 ,0.85 ,-0.87 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,19.0 ,0.85 ,-0.60 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,20.0 ,0.85 ,-0.81 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,18.3 ,0.87 ,-0.59 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,19.1 ,0.88 ,-0.16 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,19.7 ,0.89 ,-0.57 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,18.4 ,0.89 ,-0.26 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,18.1 ,0.88 ,-0.13 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,18.0 ,0.87 ,-0.19 ,Mulitza et al. (2003),planktic
Globigerinoides ruber white,16.6 ,0.85 ,0.34 ,Mulitza et al. (2003),planktic
Globigerina bulloides,6.7,0.13,1.18,Mulitza et al. (2003),planktic
Globigerina bulloides,3.9,-0.17,1.79,Mulitza et al. (2003),planktic
Globigerina bulloides,1.7,-0.17,1.71,Mulitza et al. (2003),planktic
Globigerina bulloides,11.8,0.13,0.57,Mulitza et al. (2003),planktic
Globigerina bulloides,7.7,-0.16,0.73,Mulitza et al. (2003),planktic
Globigerina bulloides,10,-0.03,0.72,Mulitza et al. (2003),planktic
Globigerina bulloides,8.7,0.13,1.02,Mulitza et al. (2003),planktic
Globigerina bulloides,7.3,-0.17,1.48,Mulitza et al. (2003),planktic
Globigerina bulloides,16.8,0.41,-0.17,Mulitza et al. (2003),planktic
Globigerina bulloides,6.9,-0.09,1.59,Mulitza et al. (2003),planktic
Globigerina bulloides,13.1,0.13,0.4,Mulitza et al. (2003),planktic
Globigerina bulloides,16.5,0.41,0,Mulitza et al. (2003),planktic
Globigerina bulloides,19,0.29,-1.02,Mulitza et al. (2003),planktic
Globigerina bulloides,20.35,0.29,-1.29,Mulitza et al. (2003),planktic
Globigerina bulloides,20.35,0.29,-0.98,Mulitza et al. (2003),planktic
Globigerina bulloides,25.5,0.37,-2.39,Mulitza et al. (2003),planktic
Globigerina bulloides,25.5,0.37,-2.22,Mulitza et al. (2003),planktic
Globigerina bulloides,8.42,-0.76,0.26,Mulitza et al. (2003),planktic
Globigerina bulloides,8.42,-0.76,-0.03,Mulitza et al. (2003),planktic
Globigerina bulloides,8.42,-0.76,0.62,Mulitza et al. (2003),planktic
Globigerina bulloides,8.42,-0.76,0.46,Mulitza et al. (2003),planktic
Bulimina aculeata,7.0,-4.36,-2.08,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.34,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.33,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.24,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.34,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.33,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.32,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-1.85,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.20,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.17,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.34,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.35,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.46,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.48,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.31,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.44,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.41,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.43,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.42,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.43,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.41,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.40,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.35,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.41,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.45,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.43,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.40,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.26,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.44,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.41,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.52,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.48,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-4.36,-2.43,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.27,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.12,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.22,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.23,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.21,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.21,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.37,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.38,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.37,McCorkle et al. (2008),benthic
Bulimina aculeata,7.0,-3.39,-1.35,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.61,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.70,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.70,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.61,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.58,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.74,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.66,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.65,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.61,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.76,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.81,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.65,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.91,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.69,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.63,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.60,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.51,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.43,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.50,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.54,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.77,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.95,McCorkle et al. (2008),benthic
Rosalina vilardeboana,7.0,-3.39,-1.64,McCorkle et al. (2008),benthic
