Species,T,d18Osw_VSMOW,d18Oc,Ref,Type
Globigerinoides ruber [coarse],22.22,0.24,-1.56,Lončarić et al. (2006),planktic
Globigerinoides trilobus [fine],21.77,0.24,-1.33,Lončarić et al. (2006),planktic
Globigerinoides trilobus [coarse],21.77,0.24,-1.24,Lončarić et al. (2006),planktic
Globigerinoides ruber [fine],21.77,0.24,-1.50,Lončarić et al. (2006),planktic
Globigerinoides ruber [coarse],21.77,0.24,-1.52,Lončarić et al. (2006),planktic
Globigerinoides trilobus [fine],18.13,0.2,-0.96,Lončarić et al. (2006),planktic
Globigerinoides trilobus [coarse],18.13,0.2,-0.92,Lončarić et al. (2006),planktic
Globigerinoides ruber [fine],18.13,0.2,-1.32,Lončarić et al. (2006),planktic
Globigerinoides ruber [coarse],18.13,0.2,-1.39,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],18.13,0.2,-0.53,Lončarić et al. (2006),planktic
Globigerinoides trilobus [fine],16.97,0.17,-1.39,Lončarić et al. (2006),planktic
Globigerinoides trilobus [coarse],16.97,0.17,-1.16,Lončarić et al. (2006),planktic
Globigerinoides ruber [fine],16.97,0.17,-1.08,Lončarić et al. (2006),planktic
Globigerinoides ruber [coarse],16.97,0.17,-1.43,Lončarić et al. (2006),planktic
Globigerinoides trilobus [fine],15.76,0.13,-1.25,Lončarić et al. (2006),planktic
Globigerinoides trilobus [coarse],15.76,0.13,-1.08,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [coarse],15.76,0.13,0.36,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],13.21,-0.06,0.21,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [coarse],13.21,-0.06,0.25,Lončarić et al. (2006),planktic
Globigerinoides ruber [fine],18.7,0.33,-0.73,Lončarić et al. (2006),planktic
Globigerina glutinata,18.7,0.33,-0.43,Lončarić et al. (2006),planktic
Globigerinoides ruber [fine],18.71,0.33,-0.65,Lončarić et al. (2006),planktic
Globigerina glutinata,18.71,0.33,-0.38,Lončarić et al. (2006),planktic
Globorotalia inflata [fine],18.71,0.33,-0.36,Lončarić et al. (2006),planktic
Globorotalia inflata [coarse],18.71,0.33,-0.13,Lončarić et al. (2006),planktic
Globigerinoides ruber [fine],18.71,0.33,-0.59,Lončarić et al. (2006),planktic
Globigerina glutinata,18.71,0.33,-0.35,Lončarić et al. (2006),planktic
Globorotalia inflata [fine],18.71,0.33,-0.43,Lončarić et al. (2006),planktic
Globorotalia inflata [coarse],18.71,0.33,-0.17,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],18.71,0.33,-0.52,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [coarse],18.71,0.33,-0.29,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [fine],18.71,0.33,-0.42,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [coarse],18.71,0.33,-0.12,Lončarić et al. (2006),planktic
Globigerinoides ruber [fine],18.67,0.32,-0.52,Lončarić et al. (2006),planktic
Globigerina glutinata,18.67,0.32,-0.43,Lončarić et al. (2006),planktic
Globorotalia inflata [fine],18.67,0.32,-0.46,Lončarić et al. (2006),planktic
Globorotalia inflata [coarse],18.67,0.32,-0.24,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [fine],18.67,0.32,-0.41,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (s.) [coarse],18.67,0.32,-0.22,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [fine],18.67,0.32,-0.50,Lončarić et al. (2006),planktic
Globorotalia truncatulinoides (d.) [coarse],18.67,0.32,-0.24,Lončarić et al. (2006),planktic
