Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
2015-05,19,12,-3.725,25.192,0.0458,0.0544,0.0145,0.839 ± 0.016,-4.291 ± 0.211,-0.917 ± 0.007
2017-06,34,85,-3.737,33.922,0.0306,0.0828,0.0140,0.877 ± 0.012,-5.911 ± 0.209,-0.821 ± 0.006
2017-07,35,84,-3.724,33.969,0.0402,0.1028,0.0161,0.858 ± 0.011,-6.201 ± 0.199,-0.811 ± 0.005
2017-08,23,31,-3.729,33.917,0.0290,0.0856,0.0138,0.867 ± 0.013,-3.614 ± 0.252,-0.813 ± 0.006
2017-09,16,22,-3.734,33.935,0.0286,0.0883,0.0148,0.875 ± 0.016,-4.372 ± 0.273,-0.813 ± 0.007
