Species,T,d18Osw_VSMOW,d18Oc
Neogloboquadrina pachyderma (s.),0.175,0.23,3.63
Neogloboquadrina pachyderma (s.),1.339,0.25,3.55
Neogloboquadrina pachyderma (s.),1.536,0.26,3.09
Neogloboquadrina pachyderma (s.),1.368,0.31,2.73
Neogloboquadrina pachyderma (s.),-1.643,0.26,3.73
Neogloboquadrina pachyderma (s.),0.012,0.25,3.83
Neogloboquadrina pachyderma (s.),1.239,0.28,3.39
Neogloboquadrina pachyderma (s.),-1.658,0.22,3.26
Neogloboquadrina pachyderma (s.),-0.172,0.25,3.64
Neogloboquadrina pachyderma (s.),1.196,0.28,3.55
Neogloboquadrina pachyderma (s.),1.442,0.29,3.27
Neogloboquadrina pachyderma (s.),-1.831,0.11,3.49
Neogloboquadrina pachyderma (s.),-1.555,0.11,3.69
Neogloboquadrina pachyderma (s.),0.963,0.21,2.77
Globigerinoides ruber white,27.4 ,0.94 ,-2.18 
Globigerinoides ruber white,27.4 ,0.94 ,-2.17 
Globigerinoides ruber white,27.4 ,0.94 ,-2.19 
Globigerinoides ruber white,27.3 ,0.88 ,-2.18 
Globigerinoides ruber white,27.2 ,0.84 ,-2.10 
Globigerinoides ruber white,27.2 ,0.85 ,-2.22 
Globigerinoides ruber white,27.1 ,0.86 ,-2.21 
Globigerinoides ruber white,26.9 ,0.85 ,-2.28 
Globigerinoides ruber white,26.9 ,0.82 ,-2.10 
Globigerinoides ruber white,27.0 ,0.92 ,-2.47 
Globigerinoides ruber white,26.9 ,0.88 ,-2.19 
Globigerinoides ruber white,27.1 ,0.96 ,-2.24 
Globigerinoides ruber white,27.1 ,0.90 ,-2.30 
Globigerinoides ruber white,26.5 ,0.97 ,-2.14 
Globigerinoides ruber white,26.9 ,0.94 ,-2.21 
Globigerinoides ruber white,25.8 ,1.07 ,-2.08 
Globigerinoides ruber white,24.2 ,1.00 ,-1.73 
Globigerinoides ruber white,24.0 ,1.18 ,-1.56 
Globigerinoides ruber white,22.5 ,0.99 ,-1.24 
Globigerinoides ruber white,22.1 ,0.99 ,-1.40 
Globigerinoides ruber white,20.7 ,0.80 ,-1.14 
Globigerinoides ruber white,20.0 ,0.62 ,-1.24 
Globigerinoides ruber white,22.6 ,0.48 ,-1.78 
Globigerinoides ruber white,22.6 ,0.48 ,-1.78 
Globigerinoides ruber white,23.0 ,0.48 ,-1.76 
Globigerinoides ruber white,24.2 ,0.60 ,-2.16 
Globigerinoides ruber white,24.2 ,0.60 ,-2.01 
Globigerinoides ruber white,25.6 ,0.33 ,-2.34 
Globigerinoides ruber white,25.6 ,0.33 ,-2.47 
Globigerinoides ruber white,26.6 ,0.33 ,-2.65 
Globigerinoides ruber white,26.6 ,0.33 ,-2.64 
Globigerinoides ruber white,26.6 ,0.33 ,-2.55 
Globigerinoides ruber white,27.0 ,0.29 ,-2.83 
Globigerinoides ruber white,27.5 ,0.45 ,-2.52 
Globigerinoides ruber white,28.7 ,0.38 ,-3.04 
Globigerinoides ruber white,28.6 ,0.32 ,-3.13 
Globigerinoides ruber white,28.8 ,0.39 ,-3.07 
Globigerinoides ruber white,28.8 ,0.39 ,-2.72 
Globigerinoides ruber white,28.8 ,0.39 ,-3.45 
Globigerinoides ruber white,28.8 ,0.39 ,-3.15 
Globigerinoides ruber white,27.3 ,0.42 ,-2.76 
Globigerinoides ruber white,27.3 ,0.42 ,-2.90 
Globigerinoides ruber white,28.3 ,0.48 ,-2.88 
Globigerinoides ruber white,28.3 ,0.48 ,-2.99 
Globigerinoides ruber white,28.4 ,0.51 ,-3.05 
Globigerinoides ruber white,28.4 ,0.51 ,-2.78 
