Sample,Species,Type,Site,Lat,Lon,Depth,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tpub,SE_Tpub,Twoa23,SE_Twoa23,Twoa23_500m,SE_Twoa23_500m,Tbottom_woa23,SE_Tbottom_woa23,Tk18,SE_Tk18,Tk18_500m,SE_Tk18_500m,Tiso_species_offset,Tiso_species,SE_Tiso_species,Tiso_species_500m,SE_Tiso_species_500m,Tiso_KON97,SE_Tiso_KON97,Tiso_Mulitza03,SE_Tiso_Mulitza03,Twoa23_vs_Tiso_species,Twoa23_500m_vs_Tiso_species_500m,Ref
0583,Globigerina bulloides,planktic,,-47.02,7.96,(0-300),,,2.620,0.100,,,,,4.68,0.81,4.27,0.97,,,4.81,1.14,4.81,1.14,Globigerina bulloides,0.91,0.69,1.03,0.70,2.17,0.69,1.37,0.64,discordant,discordant,Waelbroeck et al (2005)
0584,Globigerina bulloides,planktic,,-47.02,7.96,(0-300),,,2.770,0.100,,,,,4.68,0.81,4.27,0.97,,,4.81,1.14,4.81,1.14,Globigerina bulloides,0.29,0.69,0.41,0.69,1.54,0.69,0.78,0.64,discordant,discordant,Waelbroeck et al (2005)
0585,Globigerina bulloides,planktic,,-46.37,7.04,(0-300),,,1.980,0.100,,,,,4.87,0.95,4.36,1.09,,,5.69,1.17,5.69,1.17,Globigerina bulloides,3.68,0.71,3.81,0.71,4.96,0.70,3.98,0.66,,,Waelbroeck et al (2005)
0586,Globigerina bulloides,planktic,,-46.37,7.04,(0-300),,,1.940,0.100,,,,,4.87,0.95,4.36,1.09,,,5.69,1.17,5.69,1.17,Globigerina bulloides,3.85,0.71,3.98,0.71,5.13,0.70,4.14,0.66,,,Waelbroeck et al (2005)
0587,Globigerina bulloides,planktic,,-46.37,7.04,(0-300),,,2.270,0.100,,,,,4.87,0.95,4.36,1.09,,,5.69,1.17,5.69,1.17,Globigerina bulloides,2.46,0.70,2.58,0.70,3.73,0.70,2.83,0.65,,,Waelbroeck et al (2005)
0588,Globigerina bulloides,planktic,,-46.37,7.04,(0-300),,,2.480,0.100,,,,,4.87,0.95,4.36,1.09,,,5.69,1.17,5.69,1.17,Globigerina bulloides,1.58,0.70,1.70,0.70,2.84,0.69,2.00,0.65,discordant,,Waelbroeck et al (2005)
0589,Globigerina bulloides,planktic,,-46.37,7.04,(0-300),,,2.800,0.100,,,,,4.87,0.95,4.36,1.09,,,5.69,1.17,5.69,1.17,Globigerina bulloides,0.25,0.69,0.37,0.69,1.50,0.69,0.75,0.64,discordant,discordant,Waelbroeck et al (2005)
0590,Globigerina bulloides,planktic,,-42.69,12.19,(0-300),,,2.540,0.100,,,,,9.58,1.23,8.64,1.78,,,10.37,1.37,10.37,1.37,Globigerina bulloides,2.29,0.67,2.25,0.64,3.56,0.66,2.67,0.62,discordant,discordant,Waelbroeck et al (2005)
0591,Globigerina bulloides,planktic,,38.88,143.32,(0-300),,,1.170,0.100,,,,,8.95,3.56,7.15,3.54,,,12.50,3.19,12.50,3.19,Globigerina bulloides,8.08,0.67,7.90,0.70,9.40,0.66,8.12,0.61,,,Waelbroeck et al (2005)
0592,Globigerina bulloides,planktic,,-49.01,-12.70,(0-300),,,2.650,0.100,,,,,3.47,0.99,3.10,0.78,,,3.31,1.16,3.31,1.16,Globigerina bulloides,0.70,0.69,0.87,0.69,1.96,0.69,1.17,0.64,discordant,discordant,Waelbroeck et al (2005)
0593,Globigerina bulloides,planktic,,-48.23,-11.03,(0-300),,,2.760,0.100,,,,,3.24,0.88,3.01,0.71,,,3.77,1.23,3.77,1.23,Globigerina bulloides,0.25,0.69,0.37,0.69,1.50,0.69,0.75,0.64,discordant,discordant,Waelbroeck et al (2005)
0594,Globigerina bulloides,planktic,,-42.70,12.18,(0-300),,,2.050,0.100,,,,,9.58,1.23,8.65,1.79,,,10.37,1.37,10.37,1.37,Globigerina bulloides,4.36,0.68,4.32,0.65,5.65,0.67,4.63,0.63,discordant,,Waelbroeck et al (2005)
0595,Globigerina bulloides,planktic,,-42.70,12.18,(0-300),,,1.770,0.100,,,,,9.58,1.23,8.65,1.79,,,10.37,1.37,10.37,1.37,Globigerina bulloides,5.56,0.69,5.52,0.65,6.86,0.68,5.76,0.63,discordant,,Waelbroeck et al (2005)
0596,Globigerina bulloides,planktic,,-42.70,12.18,(0-300),,,2.440,0.100,,,,,9.58,1.23,8.65,1.79,,,10.37,1.37,10.37,1.37,Globigerina bulloides,2.71,0.67,2.67,0.64,3.98,0.66,3.07,0.62,discordant,discordant,Waelbroeck et al (2005)
0597,Globigerina bulloides,planktic,,-50.16,5.77,(0-300),,,3.060,0.100,,,,,2.49,0.56,2.38,0.43,,,2.46,1.12,2.46,1.12,Globigerina bulloides,-0.99,0.65,-0.82,0.65,0.25,0.65,-0.42,0.61,discordant,discordant,Waelbroeck et al (2005)
0598,Globigerina bulloides,planktic,,-50.16,5.77,(0-300),,,3.040,0.100,,,,,2.49,0.56,2.38,0.43,,,2.46,1.12,2.46,1.12,Globigerina bulloides,-0.91,0.65,-0.74,0.65,0.33,0.65,-0.34,0.61,discordant,discordant,Waelbroeck et al (2005)
0599,Globigerina bulloides,planktic,,-50.16,5.77,(0-300),,,2.990,0.100,,,,,2.49,0.56,2.38,0.43,,,2.46,1.12,2.46,1.12,Globigerina bulloides,-0.70,0.65,-0.54,0.66,0.54,0.65,-0.15,0.61,discordant,discordant,Waelbroeck et al (2005)
0600,Globigerina bulloides,planktic,,54.36,-148.47,(0-300),,,2.260,0.100,,,,,4.86,1.64,4.68,1.55,,,4.97,1.58,4.97,1.58,Globigerina bulloides,0.99,1.32,1.62,1.33,2.25,1.33,1.45,1.24,discordant,,Waelbroeck et al (2005)
0601,Globigerina bulloides,planktic,,54.29,-149.61,(0-300),,,2.570,0.100,,,,,4.77,1.54,4.67,1.50,,,4.96,1.53,4.96,1.53,Globigerina bulloides,-0.38,1.27,0.29,1.32,0.87,1.28,0.16,1.20,discordant,discordant,Waelbroeck et al (2005)
0602,Globigerina bulloides,planktic,,54.42,-149.43,(0-300),,,1.990,0.100,,,,,4.71,1.46,4.61,1.42,,,4.96,1.53,4.96,1.53,Globigerina bulloides,2.03,1.30,2.71,1.34,3.30,1.30,2.43,1.22,,,Waelbroeck et al (2005)
0603,Globigerina bulloides,planktic,,42.63,-10.17,(0-300),,,0.600,0.100,,,,,13.11,1.36,12.42,1.32,,,13.29,1.85,13.29,1.85,Globigerina bulloides,13.85,0.69,13.99,0.69,15.23,0.69,13.54,0.64,,,Waelbroeck et al (2005)
0604,Globigerina bulloides,planktic,,34.29,-120.04,(0-300),,,-0.050,0.100,,,,,,,,,,,10.75,3.01,10.75,3.01,Globigerina bulloides,12.67,0.72,12.94,0.79,14.04,0.71,12.43,0.66,,,Waelbroeck et al (2005)
0605,Globigerina bulloides,planktic,,34.53,-120.89,(0-300),,,-0.420,0.100,,,,,9.98,2.00,9.72,2.04,,,10.75,3.01,10.75,3.01,Globigerina bulloides,14.36,0.73,14.63,0.80,15.74,0.72,14.02,0.67,,,Waelbroeck et al (2005)
0606,Globigerina bulloides,planktic,,32.83,-119.98,(0-300),,,0.120,0.100,,,,,10.21,2.48,9.14,2.58,,,10.75,3.01,10.75,3.01,Globigerina bulloides,11.90,0.72,12.17,0.79,13.26,0.71,11.71,0.66,,,Waelbroeck et al (2005)
0607,Globigerina bulloides,planktic,,40.55,-10.44,(0-300),,,0.480,0.100,,,,,13.73,1.65,12.92,1.63,,,14.15,1.85,14.15,1.85,Globigerina bulloides,14.72,0.73,15.00,0.77,16.11,0.72,14.36,0.67,,,Waelbroeck et al (2005)
0608,Globigerina bulloides,planktic,,10.76,51.95,(0-300),,,-1.070,0.100,,,,,18.64,4.93,15.91,4.95,,,19.60,4.05,19.60,4.05,Globigerina bulloides,20.73,0.73,20.59,0.76,22.18,0.72,19.99,0.67,,,Waelbroeck et al (2005)
0609,Globigerina bulloides,planktic,,55.50,-14.70,(0-300),,,1.140,0.100,,,,,10.43,0.80,10.19,0.71,,,9.79,1.25,9.79,1.25,Globigerina bulloides,9.84,0.67,10.02,0.71,11.19,0.67,9.78,0.62,,,Waelbroeck et al (2005)
0610,Globigerina bulloides,planktic,,41.28,17.62,(0-300),,,1.200,0.100,,,,,15.26,2.50,15.26,2.50,,,15.70,1.84,15.70,1.84,Globigerina bulloides,14.63,0.80,14.86,0.80,16.01,0.80,14.27,0.74,,,Waelbroeck et al (2005)
0611,Globigerina bulloides,planktic,,-42.70,12.18,(0-300),,,2.080,0.100,,,,,9.58,1.23,8.65,1.79,,,10.37,1.37,10.37,1.37,Globigerina bulloides,4.24,0.68,4.19,0.65,5.52,0.67,4.51,0.63,discordant,,Waelbroeck et al (2005)
0612,Globigerina bulloides,planktic,,-48.23,-11.03,(0-300),,,2.270,0.100,,,,,3.24,0.88,3.01,0.71,,,3.77,1.23,3.77,1.23,Globigerina bulloides,2.29,0.70,2.41,0.70,3.56,0.70,2.67,0.65,,,Waelbroeck et al (2005)
0613,Globigerina bulloides,planktic,,-45.62,9.61,(0-300),,,2.110,0.100,,,,,6.51,1.16,5.63,1.36,,,6.60,1.19,6.60,1.19,Globigerina bulloides,3.34,0.71,3.43,0.68,4.62,0.70,3.66,0.65,,,Waelbroeck et al (2005)
0614,Globigerina bulloides,planktic,,-45.62,9.61,(0-300),,,2.070,0.100,,,,,6.51,1.16,5.63,1.36,,,6.60,1.19,6.60,1.19,Globigerina bulloides,3.51,0.71,3.60,0.68,4.79,0.70,3.82,0.66,,,Waelbroeck et al (2005)
0615,Globigerina bulloides,planktic,,-48.23,-11.03,(0-300),,,2.740,0.100,,,,,3.24,0.88,3.01,0.71,,,3.77,1.23,3.77,1.23,Globigerina bulloides,0.33,0.69,0.45,0.69,1.58,0.69,0.82,0.64,discordant,discordant,Waelbroeck et al (2005)
0616,Globigerina bulloides,planktic,,-48.23,-11.03,(0-300),,,2.890,0.100,,,,,3.24,0.88,3.01,0.71,,,3.77,1.23,3.77,1.23,Globigerina bulloides,-0.29,0.69,-0.17,0.69,0.96,0.68,0.24,0.64,discordant,discordant,Waelbroeck et al (2005)
0617,Globigerina bulloides,planktic,,-50.95,-7.50,(0-300),,,3.270,0.100,,,,,1.68,0.55,2.06,0.42,,,2.47,1.12,2.47,1.12,Globigerina bulloides,-1.89,0.68,-1.68,0.68,-0.65,0.67,-1.27,0.63,discordant,discordant,Waelbroeck et al (2005)
0618,Globigerina bulloides,planktic,,-50.95,-7.50,(0-300),,,3.100,0.100,,,,,1.68,0.55,2.06,0.42,,,2.47,1.12,2.47,1.12,Globigerina bulloides,-1.19,0.68,-0.99,0.69,0.04,0.68,-0.61,0.63,discordant,discordant,Waelbroeck et al (2005)
0619,Globigerina bulloides,planktic,,-50.16,5.75,(0-300),,,3.170,0.100,,,,,2.47,0.55,2.37,0.42,,,2.46,1.12,2.46,1.12,Globigerina bulloides,-1.44,0.65,-1.27,0.65,-0.20,0.64,-0.84,0.60,discordant,discordant,Waelbroeck et al (2005)
0620,Globigerina bulloides,planktic,,-50.16,5.75,(0-300),,,3.230,0.100,,,,,2.47,0.55,2.37,0.42,,,2.46,1.12,2.46,1.12,Globigerina bulloides,-1.68,0.65,-1.52,0.65,-0.45,0.64,-1.08,0.60,discordant,discordant,Waelbroeck et al (2005)
0621,Globigerina bulloides,planktic,,-48.90,6.73,(0-300),,,2.920,0.100,,,,,3.25,0.84,3.02,0.70,,,3.96,1.13,3.96,1.13,Globigerina bulloides,-0.41,0.69,-0.25,0.69,0.83,0.68,0.12,0.64,discordant,discordant,Waelbroeck et al (2005)
0622,Globigerina bulloides,planktic,,-48.90,6.73,(0-300),,,2.970,0.100,,,,,3.25,0.84,3.02,0.70,,,3.96,1.13,3.96,1.13,Globigerina bulloides,-0.62,0.69,-0.45,0.69,0.62,0.68,-0.07,0.64,discordant,discordant,Waelbroeck et al (2005)
0623,Globigerina bulloides,planktic,,-48.90,6.73,(0-300),,,2.970,0.100,,,,,3.25,0.84,3.02,0.70,,,3.96,1.13,3.96,1.13,Globigerina bulloides,-0.62,0.69,-0.45,0.69,0.62,0.68,-0.07,0.64,discordant,discordant,Waelbroeck et al (2005)
0624,Globigerina bulloides,planktic,,-48.90,6.73,(0-300),,,2.510,0.100,,,,,3.25,0.84,3.02,0.70,,,3.96,1.13,3.96,1.13,Globigerina bulloides,1.28,0.70,1.45,0.70,2.54,0.69,1.72,0.65,,,Waelbroeck et al (2005)
0625,Globigerina bulloides,planktic,,-46.77,7.59,(0-300),,,2.240,0.100,,,,,4.83,0.97,4.40,1.10,,,5.69,1.17,5.69,1.17,Globigerina bulloides,2.58,0.70,2.71,0.70,3.85,0.70,2.95,0.65,,,Waelbroeck et al (2005)
0626,Globigerina bulloides,planktic,,-46.77,7.59,(0-300),,,2.270,0.100,,,,,4.83,0.97,4.40,1.10,,,5.69,1.17,5.69,1.17,Globigerina bulloides,2.46,0.70,2.58,0.70,3.73,0.70,2.83,0.65,,,Waelbroeck et al (2005)
0627,Globigerina bulloides,planktic,,-46.77,7.59,(0-300),,,2.560,0.100,,,,,4.83,0.97,4.40,1.10,,,5.69,1.17,5.69,1.17,Globigerina bulloides,1.24,0.70,1.37,0.70,2.50,0.69,1.69,0.65,discordant,discordant,Waelbroeck et al (2005)
0628,Globigerina bulloides,planktic,,-46.77,7.59,(0-300),,,2.700,0.100,,,,,4.83,0.97,4.40,1.10,,,5.69,1.17,5.69,1.17,Globigerina bulloides,0.66,0.69,0.79,0.69,1.92,0.69,1.14,0.64,discordant,discordant,Waelbroeck et al (2005)
0629,Globigerina bulloides,planktic,,-45.62,9.61,(0-300),,,2.670,0.100,,,,,6.51,1.16,5.63,1.36,,,6.60,1.19,6.60,1.19,Globigerina bulloides,0.99,0.70,1.08,0.66,2.25,0.69,1.45,0.64,discordant,discordant,Waelbroeck et al (2005)
0630,Globigerina bulloides,planktic,,-45.62,9.61,(0-300),,,2.510,0.100,,,,,6.51,1.16,5.63,1.36,,,6.60,1.19,6.60,1.19,Globigerina bulloides,1.66,0.70,1.74,0.67,2.92,0.69,2.08,0.65,discordant,discordant,Waelbroeck et al (2005)
0631,Globigerina bulloides,planktic,,-45.62,9.61,(0-300),,,2.710,0.100,,,,,6.51,1.16,5.63,1.36,,,6.60,1.19,6.60,1.19,Globigerina bulloides,0.83,0.69,0.91,0.66,2.08,0.69,1.29,0.64,discordant,discordant,Waelbroeck et al (2005)
0632,Globigerina bulloides,planktic,,-45.62,9.61,(0-300),,,1.940,0.100,,,,,6.51,1.16,5.63,1.36,,,6.60,1.19,6.60,1.19,Globigerina bulloides,4.06,0.71,4.15,0.68,5.35,0.71,4.34,0.66,,,Waelbroeck et al (2005)
0633,Globigerina bulloides,planktic,,39.95,1.59,(0-300),,,1.180,0.100,,,,,13.98,2.14,13.60,1.52,,,14.12,2.66,14.12,2.66,Globigerina bulloides,13.99,0.84,14.31,0.84,15.37,0.83,13.67,0.77,,,Bousetta et al. (2012)
0634,Globigerina bulloides,planktic,,37.77,-10.18,(0-300),,,0.010,0.100,,,,,14.91,1.84,13.67,1.96,,,15.01,2.14,15.01,2.14,Globigerina bulloides,17.27,0.71,17.50,0.78,18.68,0.70,16.75,0.65,,,Waelbroeck et al (2005)
0635,Globigerinoides ruber white,planktic,,33.19,-9.83,(0-120),,,-1.110,0.100,,,,,18.29,1.75,14.79,2.48,,,17.72,2.07,17.72,2.07,Globigerinoides ruber white,21.34,0.72,21.34,0.72,24.17,0.73,21.84,0.67,,,Waelbroeck et al (2005)
0636,Globigerinoides ruber white,planktic,,15.40,-17.28,(0-120),,,-2.020,0.100,,,,,18.90,3.79,15.70,3.70,,,21.06,3.44,21.06,3.44,Globigerinoides ruber white,25.44,0.74,24.26,1.06,28.36,0.75,25.70,0.69,,,Waelbroeck et al (2005)
0637,Globigerinoides ruber white,planktic,,15.38,-17.25,(0-120),,,-2.120,0.100,,,,,18.99,3.85,15.82,3.79,,,21.06,3.44,21.06,3.44,Globigerinoides ruber white,25.94,0.75,24.75,1.06,28.86,0.75,26.17,0.69,,,Waelbroeck et al (2005)
0638,Globigerinoides ruber white,planktic,,15.38,-17.20,(0-120),,,-2.160,0.100,,,,,19.02,3.90,15.82,3.80,,,21.06,3.44,21.06,3.44,Globigerinoides ruber white,26.14,0.75,24.95,1.06,29.06,0.75,26.36,0.70,,,Waelbroeck et al (2005)
0639,Globigerinoides ruber white,planktic,,15.35,-17.19,(0-120),,,-2.310,0.100,,,,,19.82,3.78,19.82,3.78,,,21.06,3.44,21.06,3.44,Globigerinoides ruber white,26.89,0.75,25.69,1.07,29.83,0.76,27.06,0.70,,,Waelbroeck et al (2005)
0640,Globigerinoides ruber white,planktic,,15.34,-18.18,(0-120),,,-2.260,0.100,,,,,19.28,4.26,13.49,3.76,,,21.06,3.44,21.06,3.44,Globigerinoides ruber white,26.64,0.75,25.45,1.07,29.57,0.76,26.83,0.70,,,Waelbroeck et al (2005)
0641,Globigerinoides ruber white,planktic,,15.32,-17.06,(0-120),,,-2.480,0.100,,,,,,,,,,,21.06,3.44,21.06,3.44,Globigerinoides ruber white,27.74,0.75,26.54,1.08,30.70,0.76,27.87,0.70,,,Waelbroeck et al (2005)
0642,Globigerinoides ruber white,planktic,,21.15,-18.57,(0-120),,,-1.510,0.100,,,,,18.66,1.80,14.52,2.92,,,19.79,2.01,19.79,2.01,Globigerinoides ruber white,23.52,0.70,22.55,1.00,26.40,0.70,23.89,0.65,,,Waelbroeck et al (2005)
0643,Globigerinoides ruber white,planktic,,23.13,-17.74,(0-120),,,-1.160,0.100,,,,,19.17,1.25,15.26,2.92,,,19.18,1.56,19.18,1.56,Globigerinoides ruber white,21.73,0.69,21.63,0.72,24.56,0.70,22.20,0.64,,,Waelbroeck et al (2005)
0644,Globigerinoides ruber white,planktic,,23.04,-17.41,(0-120),,,-1.160,0.100,,,,,18.75,1.15,14.92,2.81,,,19.18,1.56,19.18,1.56,Globigerinoides ruber white,21.73,0.69,21.63,0.72,24.56,0.70,22.20,0.64,,,Waelbroeck et al (2005)
0645,Globigerinoides ruber white,planktic,,22.99,-17.33,(0-120),,,-1.090,0.100,,,,,18.59,1.14,17.38,1.66,,,18.91,1.53,18.91,1.53,Globigerinoides ruber white,21.34,0.69,21.24,0.72,24.17,0.69,21.84,0.64,,,Waelbroeck et al (2005)
0646,Globigerinoides ruber white,planktic,,22.92,-17.22,(0-120),,,-0.860,0.100,,,,,18.32,1.20,17.12,1.70,,,18.91,1.53,18.91,1.53,Globigerinoides ruber white,20.24,0.68,20.14,0.72,23.05,0.69,20.80,0.64,,,Waelbroeck et al (2005)
0647,Globigerinoides ruber white,planktic,,22.91,-17.19,(0-120),,,-1.160,0.100,,,,,18.22,1.20,17.05,1.69,,,18.91,1.53,18.91,1.53,Globigerinoides ruber white,21.68,0.69,21.58,0.72,24.52,0.70,22.15,0.64,,,Waelbroeck et al (2005)
0648,Globigerinoides ruber white,planktic,,22.90,-17.16,(0-120),,,-0.930,0.100,,,,,18.17,1.22,16.98,1.72,,,18.91,1.53,18.91,1.53,Globigerinoides ruber white,20.57,0.68,20.48,0.72,23.39,0.69,21.11,0.64,,,Waelbroeck et al (2005)
0649,Globigerinoides ruber white,planktic,,23.50,-18.72,(0-120),,,-1.220,0.100,,,,,20.23,1.51,15.96,3.18,,,19.50,1.55,19.50,1.55,Globigerinoides ruber white,22.06,0.69,21.34,0.91,24.91,0.70,22.52,0.64,,,Waelbroeck et al (2005)
0650,Globigerinoides ruber white,planktic,,26.84,-15.11,(0-120),,,-0.900,0.100,,,,,19.38,1.37,15.57,2.85,,,18.80,1.59,18.80,1.59,Globigerinoides ruber white,20.43,0.68,19.95,0.75,23.24,0.69,20.98,0.64,,,Waelbroeck et al (2005)
0651,Globigerinoides ruber white,planktic,,26.65,-15.05,(0-120),,,-0.830,0.100,,,,,19.37,1.38,15.57,2.86,,,18.80,1.59,18.80,1.59,Globigerinoides ruber white,20.09,0.68,19.62,0.75,22.90,0.69,20.66,0.64,,,Waelbroeck et al (2005)
0652,Globigerinoides ruber white,planktic,,26.41,-14.96,(0-120),,,-0.770,0.100,,,,,19.30,1.46,15.49,2.84,,,18.38,1.66,18.38,1.66,Globigerinoides ruber white,19.76,0.68,19.33,0.75,22.56,0.69,20.34,0.64,,,Waelbroeck et al (2005)
0653,Globigerinoides ruber white,planktic,,26.49,-14.93,(0-120),,,-0.980,0.100,,,,,19.31,1.47,15.48,2.85,,,18.38,1.66,18.38,1.66,Globigerinoides ruber white,20.76,0.69,20.33,0.75,23.58,0.69,21.29,0.64,,,Waelbroeck et al (2005)
0654,Globigerinoides ruber white,planktic,,26.29,-14.86,(0-120),,,-1.220,0.100,,,,,19.94,1.45,19.94,1.45,,,18.38,1.66,18.38,1.66,Globigerinoides ruber white,21.92,0.69,21.48,0.76,24.76,0.70,22.38,0.64,,,Waelbroeck et al (2005)
0655,Globigerinoides ruber white,planktic,,26.23,-14.81,(0-120),,,-1.040,0.100,,,,,19.78,1.44,19.78,1.44,,,18.38,1.66,18.38,1.66,Globigerinoides ruber white,21.05,0.69,20.62,0.75,23.88,0.69,21.56,0.64,,,Waelbroeck et al (2005)
0656,Globigerinoides ruber white,planktic,,26.20,-14.79,(0-120),,,-1.240,0.100,,,,,19.73,1.42,19.73,1.42,,,18.38,1.66,18.38,1.66,Globigerinoides ruber white,22.02,0.69,21.58,0.76,24.86,0.70,22.47,0.64,,,Waelbroeck et al (2005)
0657,Globigerinoides ruber white,planktic,,26.00,-14.67,(0-120),,,-0.740,0.100,,,,,20.10,1.60,20.10,1.60,,,18.38,1.66,18.38,1.66,Globigerinoides ruber white,19.62,0.68,19.19,0.75,22.42,0.69,20.21,0.63,,,Waelbroeck et al (2005)
0658,Globigerinoides ruber white,planktic,,27.05,-15.05,(0-120),,,-0.880,0.100,,,,,19.40,1.43,15.58,2.88,,,19.02,1.61,19.02,1.61,Globigerinoides ruber white,20.33,0.68,19.86,0.75,23.14,0.69,20.89,0.64,,,Waelbroeck et al (2005)
0659,Globigerinoides ruber white,planktic,,0.96,8.88,(0-120),,,-2.654,0.100,,,,,25.37,2.82,25.37,2.82,,,21.30,4.58,21.30,4.58,Globigerinoides ruber white,27.06,0.75,26.41,0.86,30.01,0.76,27.23,0.70,,,Waelbroeck et al (2005)
0660,Globigerinoides ruber white,planktic,,-21.62,-39.98,(0-120),,,-1.237,0.100,,,,,23.93,1.56,20.84,3.40,,,22.71,2.08,22.71,2.08,Globigerinoides ruber white,22.48,0.76,20.51,1.52,25.34,0.77,22.91,0.71,,,Waelbroeck et al (2005)
0661,Globigerinoides ruber white,planktic,,0.01,-23.49,(0-120),,,-1.370,0.100,,,,,22.63,3.95,13.90,5.85,,,22.63,3.38,22.63,3.38,Globigerinoides ruber white,21.82,0.76,20.43,1.16,24.67,0.77,22.29,0.71,,,Waelbroeck et al (2005)
0662,Globigerinoides ruber white,planktic,,-8.92,-33.70,(0-120),,,-1.550,0.100,,,,,26.49,1.22,15.84,7.49,,,25.47,2.01,25.47,2.01,Globigerinoides ruber white,23.82,0.73,21.68,1.67,26.70,0.74,24.17,0.69,,,Waelbroeck et al (2005)
0663,Globigerinoides ruber white,planktic,,-8.73,-34.13,(0-120),,,-1.800,0.100,,,,,26.37,1.29,16.12,7.26,,,25.47,2.01,25.47,2.01,Globigerinoides ruber white,25.05,0.74,22.89,1.68,27.95,0.75,25.33,0.69,,,Waelbroeck et al (2005)
0664,Globigerinoides ruber white,planktic,,-8.56,-34.48,(0-120),,,-1.860,0.100,,,,,26.18,1.37,22.51,4.30,,,25.47,2.01,25.47,2.01,Globigerinoides ruber white,25.34,0.74,23.19,1.68,28.25,0.75,25.61,0.69,,,Waelbroeck et al (2005)
0665,Globigerinoides ruber white,planktic,,15.43,-17.34,(0-120),,,-1.980,0.100,,,,,18.83,3.71,15.66,3.66,,,21.06,3.44,21.06,3.44,Globigerinoides ruber white,25.25,0.74,24.07,1.06,28.15,0.75,25.52,0.69,,,Waelbroeck et al (2005)
0666,Globigerinoides ruber white,planktic,,-8.57,-34.34,(0-120),,,-1.690,0.100,,,,,26.23,1.37,16.37,7.10,,,25.47,2.01,25.47,2.01,Globigerinoides ruber white,24.50,0.74,22.36,1.67,27.40,0.74,24.82,0.69,,,Waelbroeck et al (2005)
0667,Globigerinoides ruber white,planktic,,15.48,-17.36,(0-120),,,-2.560,0.100,,,,,18.92,3.77,15.71,3.73,,,21.06,3.44,21.06,3.44,Globigerinoides ruber white,28.14,0.76,26.94,1.08,31.11,0.76,28.25,0.70,,,Waelbroeck et al (2005)
0668,Globigerinoides ruber white,planktic,,15.83,-17.85,(0-120),,,-1.970,0.100,,,,,19.20,4.07,13.52,3.72,,,21.06,3.44,21.06,3.44,Globigerinoides ruber white,25.20,0.74,24.02,1.06,28.10,0.75,25.47,0.69,,,Waelbroeck et al (2005)
0669,Globigerinoides ruber white,planktic,,21.00,-17.73,(0-120),,,-1.740,0.100,,,,,17.47,1.51,15.82,2.00,,,19.79,2.01,19.79,2.01,Globigerinoides ruber white,24.65,0.70,23.67,1.01,27.55,0.71,24.96,0.66,discordant,discordant,Waelbroeck et al (2005)
0670,Globigerinoides ruber white,planktic,,20.99,-17.70,(0-120),,,-1.700,0.100,,,,,17.57,1.51,15.80,2.06,,,19.79,2.01,19.79,2.01,Globigerinoides ruber white,24.45,0.70,23.48,1.01,27.35,0.71,24.77,0.65,discordant,discordant,Waelbroeck et al (2005)
0671,Globigerinoides ruber white,planktic,,20.99,-17.68,(0-120),,,-1.460,0.100,,,,,17.57,1.54,15.81,2.08,,,19.79,2.01,19.79,2.01,Globigerinoides ruber white,23.28,0.70,22.31,1.00,26.15,0.70,23.66,0.65,discordant,discordant,Waelbroeck et al (2005)
0672,Globigerinoides ruber white,planktic,,20.99,-17.66,(0-120),,,-1.680,0.100,,,,,17.53,1.54,15.78,2.06,,,19.79,2.01,19.79,2.01,Globigerinoides ruber white,24.36,0.70,23.38,1.01,27.25,0.71,24.68,0.65,discordant,discordant,Waelbroeck et al (2005)
0673,Globigerinoides ruber white,planktic,,21.00,-17.62,(0-120),,,-1.790,0.100,,,,,18.69,1.30,18.69,1.30,,,19.79,2.01,19.79,2.01,Globigerinoides ruber white,24.90,0.71,23.92,1.01,27.80,0.71,25.19,0.66,discordant,discordant,Waelbroeck et al (2005)
0674,Globigerinoides ruber white,planktic,,18.05,-18.07,(0-120),,,-2.170,0.100,,,,,18.46,3.55,13.29,3.37,,,20.72,2.54,20.72,2.54,Globigerinoides ruber white,26.84,0.71,25.54,1.20,29.78,0.72,27.01,0.66,,,Waelbroeck et al (2005)
0675,Globigerinoides ruber white,planktic,,18.08,-18.01,(0-120),,,-1.540,0.100,,,,,18.41,3.56,13.26,3.33,,,20.72,2.54,20.72,2.54,Globigerinoides ruber white,23.72,0.70,22.45,1.18,26.60,0.70,24.08,0.65,,,Waelbroeck et al (2005)
0676,Globigerinoides ruber white,planktic,,18.88,-16.74,(0-120),,,-1.920,0.100,,,,,18.81,3.32,18.81,3.32,,,20.72,2.54,20.72,2.54,Globigerinoides ruber white,25.59,0.71,24.31,1.19,28.51,0.71,25.84,0.66,,,Waelbroeck et al (2005)
0677,Globigerinoides ruber white,planktic,,18.84,-18.77,(0-120),,,-1.780,0.100,,,,,18.44,3.35,13.38,3.29,,,20.72,2.54,20.72,2.54,Globigerinoides ruber white,24.90,0.71,23.62,1.18,27.80,0.71,25.19,0.66,,,Waelbroeck et al (2005)
