Sample,Species,Type,Site,Lat,Lon,Depth,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tpub,SE_Tpub,Twoa23,SE_Twoa23,Twoa23_500m,SE_Twoa23_500m,Tbottom_woa23,SE_Tbottom_woa23,Tk18,SE_Tk18,Tk18_500m,SE_Tk18_500m,Tiso_species_offset,Tiso_species,SE_Tiso_species,Tiso_species_500m,SE_Tiso_species_500m,Tiso_KON97,SE_Tiso_KON97,Tiso_Mulitza03,SE_Tiso_Mulitza03,Twoa23_vs_Tiso_species,Twoa23_500m_vs_Tiso_species_500m,Ref
0017,Globigerina bulloides,planktic,,-43.24,-79.99,(0-300),,,2.040,0.100,,,,,9.29,2.15,8.13,2.40,,,8.61,2.16,8.61,2.16,Globigerina bulloides,3.47,0.61,3.55,0.64,4.75,0.61,3.78,0.57,discordant,discordant,Waelbroeck et al (2005)
0018,Globigerina bulloides,planktic,,-27.47,-71.25,(0-300),,,-0.710,0.100,,,,,12.04,1.67,10.75,2.19,,,12.69,3.39,12.69,3.39,Globigerina bulloides,16.85,0.68,16.85,0.68,18.26,0.67,16.36,0.62,,,Waelbroeck et al (2005)
0019,Globigerina bulloides,planktic,,-27.47,-71.36,(0-300),,,-0.200,0.100,,,,,12.03,1.73,10.75,2.22,,,12.69,3.39,12.69,3.39,Globigerina bulloides,14.49,0.66,14.49,0.66,15.88,0.66,14.15,0.61,,,Waelbroeck et al (2005)
0020,Globigerina bulloides,planktic,,-27.47,-71.53,(0-300),,,-0.200,0.100,,,,,11.93,1.65,10.67,2.18,,,12.69,3.39,12.69,3.39,Globigerina bulloides,14.49,0.66,14.49,0.66,15.88,0.66,14.15,0.61,,,Waelbroeck et al (2005)
0021,Globigerina bulloides,planktic,,26.84,-15.11,(0-300),,,-0.560,0.100,,,,,17.55,2.07,15.57,2.85,,,16.88,2.13,16.88,2.13,Globigerina bulloides,19.87,0.72,19.68,0.76,21.30,0.71,19.18,0.66,,,Waelbroeck et al (2005)
0022,Globigerina bulloides,planktic,,26.65,-15.05,(0-300),,,-0.430,0.100,,,,,17.53,2.07,15.57,2.86,,,16.88,2.13,16.88,2.13,Globigerina bulloides,19.25,0.72,19.06,0.75,20.68,0.71,18.60,0.66,,,Waelbroeck et al (2005)
0023,Globigerina bulloides,planktic,,26.41,-14.96,(0-300),,,-0.350,0.100,,,,,17.45,2.08,15.49,2.84,,,16.48,2.14,16.48,2.14,Globigerina bulloides,18.82,0.72,18.68,0.75,20.25,0.71,18.20,0.66,,,Waelbroeck et al (2005)
0024,Globigerina bulloides,planktic,,26.49,-14.93,(0-300),,,-0.490,0.100,,,,,17.43,2.11,15.48,2.85,,,16.48,2.14,16.48,2.14,Globigerina bulloides,19.49,0.72,19.34,0.76,20.92,0.71,18.83,0.66,,,Waelbroeck et al (2005)
0025,Globigerina bulloides,planktic,,26.29,-14.86,(0-300),,,0.120,0.100,,,,,19.94,1.45,19.94,1.45,,,16.48,2.14,16.48,2.14,Globigerina bulloides,16.62,0.71,16.48,0.74,18.02,0.70,16.14,0.65,discordant,discordant,Waelbroeck et al (2005)
0026,Globigerina bulloides,planktic,,26.23,-14.81,(0-300),,,-0.300,0.100,,,,,19.78,1.44,19.78,1.44,,,16.48,2.14,16.48,2.14,Globigerina bulloides,18.59,0.72,18.45,0.75,20.01,0.71,17.98,0.66,,,Waelbroeck et al (2005)
0027,Globigerina bulloides,planktic,,37.10,-9.48,(0-300),,,0.160,0.100,,,,,15.01,1.82,13.77,1.96,,,14.82,2.17,14.82,2.17,Globigerina bulloides,16.71,0.71,16.99,0.78,18.12,0.70,16.23,0.65,,,Waelbroeck et al (2005)
0028,Globigerina bulloides,planktic,,26.00,-14.67,(0-300),,,-0.030,0.100,,,,,20.10,1.60,20.10,1.60,,,16.48,2.14,16.48,2.14,Globigerina bulloides,17.32,0.71,17.18,0.74,18.73,0.70,16.79,0.65,,,Waelbroeck et al (2005)
0029,Globigerina bulloides,planktic,,27.05,-15.05,(0-300),,,-0.360,0.100,,,,,17.57,2.10,15.58,2.88,,,16.97,2.24,16.97,2.24,Globigerina bulloides,18.92,0.72,18.73,0.75,20.35,0.71,18.29,0.66,,,Waelbroeck et al (2005)
0030,Globigerina bulloides,planktic,,38.00,-29.09,(0-300),,,0.000,0.100,,,,,15.90,2.06,14.63,2.21,,,14.92,2.22,14.92,2.22,Globigerina bulloides,16.80,0.67,16.66,0.71,18.21,0.67,16.31,0.62,,,Waelbroeck et al (2005)
0031,Globigerina bulloides,planktic,,29.17,-15.45,(0-300),,,0.560,0.100,,,,,17.87,2.11,15.95,2.87,,,17.20,2.35,17.20,2.35,Globigerina bulloides,14.63,0.70,14.45,0.73,16.02,0.69,14.27,0.64,,,Waelbroeck et al (2005)
0032,Globigerina bulloides,planktic,,28.89,-13.22,(0-300),,,-0.425,0.100,,,,,,,,,,,16.47,2.21,16.47,2.21,Globigerina bulloides,19.18,0.72,19.04,0.75,20.61,0.71,18.54,0.66,,,Waelbroeck et al (2005)
0033,Globigerina bulloides,planktic,,29.02,-12.47,(0-300),,,0.020,0.100,,,,,16.78,1.92,15.38,2.45,,,16.37,2.24,16.37,2.24,Globigerina bulloides,17.08,0.71,16.99,0.71,18.49,0.70,16.58,0.65,,,Waelbroeck et al (2005)
0034,Globigerina bulloides,planktic,,-25.25,12.02,(0-300),,,0.090,0.100,,,,,13.19,2.63,11.36,3.28,,,13.50,2.94,13.50,2.94,Globigerina bulloides,14.54,0.80,14.22,0.88,15.92,0.80,14.19,0.74,,,Waelbroeck et al (2005)
0035,Globigerina bulloides,planktic,,-25.22,-75.53,(0-300),,,1.200,0.100,,,,,13.03,2.85,11.28,3.26,,,12.99,3.44,12.99,3.44,Globigerina bulloides,8.26,0.64,8.21,0.64,9.58,0.63,8.29,0.58,,,Waelbroeck et al (2005)
0036,Globigerina bulloides,planktic,,-25.63,-75.53,(0-300),,,0.150,0.100,,,,,12.86,2.80,11.14,3.19,,,12.99,3.44,12.99,3.44,Globigerina bulloides,12.94,0.66,12.90,0.66,14.31,0.65,12.69,0.60,,,Waelbroeck et al (2005)
0037,Globigerina bulloides,planktic,,-27.50,-71.50,(0-300),,,-0.500,0.100,,,,,11.98,1.72,10.72,2.23,,,12.69,3.39,12.69,3.39,Globigerina bulloides,15.88,0.67,15.88,0.67,17.27,0.66,15.44,0.61,,,Waelbroeck et al (2005)
0038,Globigerina bulloides,planktic,,-32.85,-72.42,(0-300),,,-0.080,0.100,,,,,11.13,1.63,9.98,2.15,,,11.49,2.51,11.49,2.51,Globigerina bulloides,13.71,0.66,13.76,0.66,15.09,0.65,13.42,0.61,,,Waelbroeck et al (2005)
0039,Globigerina bulloides,planktic,,-33.21,-72.18,(0-300),,,2.920,0.100,,,,,11.05,1.47,9.99,1.99,,,11.49,2.51,11.49,2.51,Globigerina bulloides,0.66,0.60,0.71,0.60,1.92,0.59,1.14,0.55,discordant,discordant,Waelbroeck et al (2005)
0040,Globigerina bulloides,planktic,,-33.22,-72.09,(0-300),,,2.150,0.100,,,,,11.05,1.43,10.01,1.95,,,11.49,2.51,11.49,2.51,Globigerina bulloides,3.90,0.62,3.94,0.62,5.18,0.61,4.19,0.57,discordant,discordant,Waelbroeck et al (2005)
0041,Globigerina bulloides,planktic,,-33.15,-71.98,(0-300),,,2.640,0.100,,,,,11.03,1.31,10.03,1.87,,,11.49,2.51,11.49,2.51,Globigerina bulloides,1.83,0.61,1.87,0.61,3.10,0.60,2.24,0.56,discordant,discordant,Waelbroeck et al (2005)
0042,Globigerina bulloides,planktic,,68.26,12.34,(0-300),,,2.060,0.100,,,,,7.49,1.35,7.49,1.35,,,6.02,1.47,6.02,1.47,Globigerina bulloides,6.13,0.63,6.04,0.63,7.43,0.62,6.29,0.58,,,Waelbroeck et al (2005)
