Sample,Ref,d18Osw,sd18Osw,T,sT
0098,Waelbroeck et al (2005),0.82,0.14,17.30,2.73
0099,Waelbroeck et al (2005),0.82,0.14,17.30,2.73
0100,Waelbroeck et al (2005),0.82,0.14,17.30,2.73
0101,Waelbroeck et al (2005),0.82,0.11,16.03,2.21
0102,Waelbroeck et al (2005),0.82,0.14,17.30,2.73
0103,Waelbroeck et al (2005),0.82,0.11,16.47,2.21
0104,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0105,Waelbroeck et al (2005),0.89,0.13,15.36,2.35
0106,Waelbroeck et al (2005),0.89,0.13,15.36,2.35
0107,Waelbroeck et al (2005),0.89,0.13,15.36,2.35
0108,Waelbroeck et al (2005),0.89,0.13,15.36,2.35
0109,Waelbroeck et al (2005),0.89,0.13,15.36,2.35
0110,Waelbroeck et al (2005),0.89,0.13,15.36,2.35
0111,Waelbroeck et al (2005),0.89,0.13,15.36,2.35
0112,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0113,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0114,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0115,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0116,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0117,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0118,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0119,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0120,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0121,Waelbroeck et al (2005),0.81,0.11,15.92,2.27
0122,Waelbroeck et al (2005),0.83,0.11,16.63,2.19
0123,Waelbroeck et al (2005),0.78,0.10,16.04,2.51
0124,Waelbroeck et al (2005),0.82,0.14,17.30,2.73
0125,Waelbroeck et al (2005),0.82,0.14,17.30,2.73
0126,Waelbroeck et al (2005),0.54,0.16,16.58,4.83
0127,Waelbroeck et al (2005),0.54,0.16,16.58,4.83
0128,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0129,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0130,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0131,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0132,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0133,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0134,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0135,Waelbroeck et al (2005),0.82,0.14,17.30,2.73
0136,Waelbroeck et al (2005),0.84,0.12,17.40,2.32
0137,Waelbroeck et al (2005),0.84,0.12,17.40,2.32
0138,Waelbroeck et al (2005),0.84,0.12,17.32,2.39
0139,Waelbroeck et al (2005),0.84,0.12,17.32,2.39
0140,Waelbroeck et al (2005),0.84,0.12,17.32,2.39
0141,Waelbroeck et al (2005),0.84,0.12,17.32,2.39
0142,Waelbroeck et al (2005),0.84,0.12,17.32,2.39
0143,Waelbroeck et al (2005),0.54,0.16,16.58,4.83
0144,Waelbroeck et al (2005),0.82,0.14,17.30,2.73
0145,Waelbroeck et al (2005),0.54,0.16,16.58,4.83
0146,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0147,Waelbroeck et al (2005),0.82,0.14,17.30,2.73
0148,Waelbroeck et al (2005),0.81,0.15,17.41,3.08
0149,Waelbroeck et al (2005),0.80,0.17,17.47,3.42
0150,Waelbroeck et al (2005),0.80,0.17,17.47,3.42
0151,Waelbroeck et al (2005),0.80,0.17,17.47,3.42
0152,Waelbroeck et al (2005),0.80,0.17,17.47,3.42
0153,Waelbroeck et al (2005),0.80,0.17,17.47,3.42
0154,Waelbroeck et al (2005),0.80,0.17,17.47,3.42
0155,Waelbroeck et al (2005),0.80,0.17,17.47,3.42
0156,Waelbroeck et al (2005),0.80,0.17,17.47,3.42
0157,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0158,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0159,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0160,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0161,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0162,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0163,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0164,Waelbroeck et al (2005),0.66,0.17,16.98,4.19
0165,Waelbroeck et al (2005),0.66,0.10,14.19,2.72
0166,Waelbroeck et al (2005),0.66,0.10,14.19,2.72
0167,Waelbroeck et al (2005),0.64,0.10,13.30,2.39
0168,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0169,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0170,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0171,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0172,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0173,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0174,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0175,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0176,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0177,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0178,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0179,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0180,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
0181,Mohtadi et al. (2011),0.28,0.10,19.56,5.90
0182,Mohtadi et al. (2011),0.28,0.10,19.56,5.90
0183,Mohtadi et al. (2011),0.28,0.10,19.56,5.90
0184,Mohtadi et al. (2011),0.26,0.10,19.66,6.23
