Sample,Ref,d18Osw,sd18Osw,T,sT
0429,Waelbroeck et al (2005),-0.28,0.14,3.01,1.14
0430,Waelbroeck et al (2005),-0.28,0.14,3.01,1.14
0431,Waelbroeck et al (2005),-0.28,0.14,3.01,1.14
0432,Waelbroeck et al (2005),-0.28,0.14,3.70,1.19
0433,Waelbroeck et al (2005),-0.28,0.14,3.70,1.19
0434,Waelbroeck et al (2005),-0.28,0.14,3.70,1.19
0435,Waelbroeck et al (2005),-0.22,0.10,5.53,1.17
0436,Waelbroeck et al (2005),-0.22,0.10,5.53,1.17
0437,Waelbroeck et al (2005),-0.22,0.10,5.53,1.17
0438,Waelbroeck et al (2005),-0.22,0.10,5.53,1.17
0439,Waelbroeck et al (2005),-0.22,0.10,5.53,1.17
0440,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0441,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0442,Waelbroeck et al (2005),-0.21,0.10,5.45,1.16
0443,Waelbroeck et al (2005),-0.23,0.13,5.51,1.38
0444,Waelbroeck et al (2005),0.07,0.12,10.19,1.45
0445,Waelbroeck et al (2005),-0.28,0.14,3.69,1.20
0446,Waelbroeck et al (2005),-0.28,0.14,3.69,1.20
0447,Waelbroeck et al (2005),0.00,0.13,9.48,1.42
0448,Waelbroeck et al (2005),0.00,0.13,9.48,1.42
0449,Waelbroeck et al (2005),0.00,0.13,9.48,1.42
0450,Waelbroeck et al (2005),-0.06,0.13,8.74,1.44
0451,Waelbroeck et al (2005),-0.06,0.13,8.74,1.44
0452,Waelbroeck et al (2005),-0.06,0.13,8.74,1.44
0453,Waelbroeck et al (2005),-0.06,0.13,8.74,1.44
0454,Waelbroeck et al (2005),-0.12,0.13,7.66,1.23
0455,Waelbroeck et al (2005),-0.12,0.13,7.66,1.23
0456,Waelbroeck et al (2005),-0.12,0.13,7.66,1.23
0457,Waelbroeck et al (2005),-0.12,0.13,7.66,1.23
0458,Waelbroeck et al (2005),-0.02,0.12,9.61,1.38
0459,Waelbroeck et al (2005),-0.02,0.12,9.61,1.38
0460,Waelbroeck et al (2005),-0.02,0.12,9.61,1.38
0461,Waelbroeck et al (2005),-0.02,0.12,9.61,1.38
0462,Waelbroeck et al (2005),0.32,0.13,13.26,2.84
0463,Waelbroeck et al (2005),0.32,0.13,13.26,2.84
0464,Waelbroeck et al (2005),-0.28,0.14,3.69,1.20
0465,Bousetta et al. (2012),1.44,0.10,13.54,2.47
0466,Waelbroeck et al (2005),-0.27,0.13,3.97,1.13
0467,Waelbroeck et al (2005),-0.27,0.13,3.97,1.13
0468,Waelbroeck et al (2005),0.36,0.11,8.48,1.17
0469,Waelbroeck et al (2005),0.36,0.13,8.81,1.10
0470,Waelbroeck et al (2005),0.36,0.13,8.81,1.10
0471,Waelbroeck et al (2005),0.33,0.13,8.83,1.11
0472,Waelbroeck et al (2005),0.33,0.11,8.79,1.16
0473,Waelbroeck et al (2005),0.36,0.10,8.49,1.32
0474,Waelbroeck et al (2005),0.36,0.10,8.18,1.34
0475,Waelbroeck et al (2005),0.37,0.10,7.62,1.32
0476,Waelbroeck et al (2005),0.45,0.14,7.44,1.51
0477,Waelbroeck et al (2005),0.42,0.13,7.41,1.43
0478,Waelbroeck et al (2005),0.42,0.13,7.41,1.43
0479,Waelbroeck et al (2005),0.42,0.12,7.40,1.41
0480,Waelbroeck et al (2005),0.38,0.11,7.35,1.32
0481,Waelbroeck et al (2005),0.38,0.11,7.35,1.32
0482,Waelbroeck et al (2005),0.35,0.10,7.30,1.28
0483,Waelbroeck et al (2005),0.45,0.14,7.44,1.51
0484,Waelbroeck et al (2005),0.35,0.10,6.44,1.29
0485,Waelbroeck et al (2005),0.35,0.10,7.85,1.19
0486,Waelbroeck et al (2005),0.35,0.10,6.32,1.28
0487,Waelbroeck et al (2005),0.31,0.10,5.39,1.22
0488,Waelbroeck et al (2005),0.42,0.13,7.46,1.44
0489,Waelbroeck et al (2005),0.82,0.10,16.17,2.02
0490,Waelbroeck et al (2005),0.22,0.13,8.82,1.21
0491,Waelbroeck et al (2005),0.85,0.11,15.01,2.14
0492,Waelbroeck et al (2005),-0.18,0.10,4.68,1.12
0493,Waelbroeck et al (2005),-0.09,0.11,7.93,1.11
0494,Waelbroeck et al (2005),-0.06,0.12,8.07,1.08
0495,Waelbroeck et al (2005),-0.22,0.11,4.61,1.12
0496,Waelbroeck et al (2005),0.06,0.10,9.37,1.07
0497,Waelbroeck et al (2005),0.11,0.10,10.25,1.09
0498,Waelbroeck et al (2005),1.52,0.11,16.22,2.34
0499,Waelbroeck et al (2005),1.52,0.11,16.42,2.24
0500,Waelbroeck et al (2005),1.51,0.10,14.71,2.28
0501,Waelbroeck et al (2005),1.47,0.14,15.70,1.84
0502,Waelbroeck et al (2005),1.51,0.10,14.71,2.28
0503,Waelbroeck et al (2005),-0.47,0.15,3.12,1.51
0504,Waelbroeck et al (2005),0.37,0.14,14.03,2.89
0505,Waelbroeck et al (2005),0.42,0.13,7.46,1.44
0506,Waelbroeck et al (2005),0.31,0.10,5.39,1.22
0507,Waelbroeck et al (2005),1.44,0.10,13.54,2.47
0508,Waelbroeck et al (2005),0.34,0.10,6.24,1.27
0509,Waelbroeck et al (2005),0.35,0.10,7.48,1.25
0510,Waelbroeck et al (2005),0.40,0.12,10.67,1.41
0511,Waelbroeck et al (2005),0.35,0.12,10.36,1.30
0512,Waelbroeck et al (2005),0.33,0.12,10.32,1.30
0513,Waelbroeck et al (2005),0.38,0.10,5.77,1.40
0514,Waelbroeck et al (2005),0.40,0.10,5.87,1.42
0515,Waelbroeck et al (2005),0.42,0.10,5.61,1.35
0516,Waelbroeck et al (2005),0.42,0.10,5.61,1.35
0517,Waelbroeck et al (2005),0.37,0.10,6.46,1.32
0518,Waelbroeck et al (2005),0.33,0.10,5.63,1.29
0519,Waelbroeck et al (2005),0.33,0.10,5.51,1.29
0520,Waelbroeck et al (2005),0.31,0.10,4.69,1.30
0521,Waelbroeck et al (2005),0.31,0.10,4.56,1.29
0522,Waelbroeck et al (2005),0.31,0.10,4.56,1.29
0523,Waelbroeck et al (2005),0.28,0.10,2.44,1.21
0524,Waelbroeck et al (2005),0.33,0.10,5.11,1.33
0525,Waelbroeck et al (2005),0.36,0.10,7.31,1.27
0526,Waelbroeck et al (2005),0.39,0.10,6.21,1.38
0527,Waelbroeck et al (2005),0.37,0.12,10.56,1.34
0528,Waelbroeck et al (2005),0.34,0.10,7.31,1.28
0529,Waelbroeck et al (2005),0.30,0.10,2.92,1.23
0530,Waelbroeck et al (2005),0.21,0.12,5.83,1.14
0531,Waelbroeck et al (2005),0.41,0.12,7.41,1.38
0532,Waelbroeck et al (2005),0.20,0.13,5.33,1.15
0533,Waelbroeck et al (2005),0.40,0.10,5.87,1.42
0534,Waelbroeck et al (2005),0.38,0.10,5.77,1.40
0535,Waelbroeck et al (2005),0.38,0.10,5.77,1.40
0536,Waelbroeck et al (2005),0.36,0.10,5.56,1.36
0537,Waelbroeck et al (2005),0.37,0.11,7.53,1.31
0538,Waelbroeck et al (2005),0.37,0.11,7.53,1.31
0539,Waelbroeck et al (2005),0.24,0.13,7.20,1.13
0540,Waelbroeck et al (2005),0.22,0.12,6.33,1.14
0541,Waelbroeck et al (2005),0.21,0.12,6.54,1.17
0542,Waelbroeck et al (2005),0.22,0.12,6.33,1.14
0543,Waelbroeck et al (2005),0.22,0.12,6.32,1.14
0544,Waelbroeck et al (2005),0.21,0.12,6.28,1.14
0545,Waelbroeck et al (2005),0.20,0.12,6.36,1.18
0546,Waelbroeck et al (2005),0.22,0.12,6.33,1.14
0547,Waelbroeck et al (2005),0.20,0.13,5.83,1.14
0548,Waelbroeck et al (2005),0.20,0.13,5.83,1.14
0549,Waelbroeck et al (2005),-0.27,0.13,3.97,1.13
0550,Waelbroeck et al (2005),1.44,0.10,13.54,2.47
0551,Waelbroeck et al (2005),-0.04,0.10,8.79,1.41
0552,Waelbroeck et al (2005),0.07,0.11,11.74,1.49
0553,Waelbroeck et al (2005),0.07,0.11,11.74,1.49
0554,Waelbroeck et al (2005),0.07,0.11,11.74,1.49
0555,Waelbroeck et al (2005),0.07,0.11,11.74,1.49
0556,Waelbroeck et al (2005),0.07,0.11,11.74,1.49
0557,Waelbroeck et al (2005),0.07,0.11,11.74,1.49
0558,Waelbroeck et al (2005),0.13,0.10,12.86,1.61
0559,Waelbroeck et al (2005),0.13,0.10,12.86,1.61
0560,Waelbroeck et al (2005),0.13,0.10,12.86,1.61
0561,Waelbroeck et al (2005),0.13,0.10,12.86,1.61
0562,Waelbroeck et al (2005),0.13,0.10,12.86,1.61
0563,Waelbroeck et al (2005),-0.27,0.13,2.96,1.12
0564,Waelbroeck et al (2005),-0.27,0.13,2.96,1.12
0565,Waelbroeck et al (2005),-0.27,0.13,2.96,1.12
0566,Waelbroeck et al (2005),-0.27,0.13,3.31,1.16
0567,Waelbroeck et al (2005),-0.27,0.13,3.31,1.16
0568,Waelbroeck et al (2005),-0.27,0.13,3.31,1.16
0569,Waelbroeck et al (2005),0.07,0.11,11.74,1.49
0570,Waelbroeck et al (2005),-0.27,0.13,3.31,1.16
0571,Waelbroeck et al (2005),0.07,0.11,11.74,1.49
0572,Waelbroeck et al (2005),-0.06,0.12,9.10,1.29
0573,Waelbroeck et al (2005),-0.27,0.13,3.97,1.13
0574,Waelbroeck et al (2005),-0.27,0.13,3.97,1.13
0575,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0576,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0577,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0578,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0579,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0580,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0581,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0582,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0583,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0584,Waelbroeck et al (2005),-0.25,0.13,4.81,1.14
0585,Waelbroeck et al (2005),-0.23,0.13,5.69,1.17
0586,Waelbroeck et al (2005),-0.23,0.13,5.69,1.17
0587,Waelbroeck et al (2005),-0.23,0.13,5.69,1.17
0588,Waelbroeck et al (2005),-0.23,0.13,5.69,1.17
0589,Waelbroeck et al (2005),-0.23,0.13,5.69,1.17
0590,Waelbroeck et al (2005),-0.00,0.12,10.37,1.37
0591,Waelbroeck et al (2005),-0.02,0.11,12.50,3.19
0592,Waelbroeck et al (2005),-0.27,0.13,3.31,1.16
0593,Waelbroeck et al (2005),-0.27,0.13,3.77,1.23
0594,Waelbroeck et al (2005),-0.00,0.12,10.37,1.37
0595,Waelbroeck et al (2005),-0.00,0.12,10.37,1.37
0596,Waelbroeck et al (2005),-0.00,0.12,10.37,1.37
0597,Waelbroeck et al (2005),-0.27,0.12,2.46,1.12
0598,Waelbroeck et al (2005),-0.27,0.12,2.46,1.12
0599,Waelbroeck et al (2005),-0.27,0.12,2.46,1.12
0600,Waelbroeck et al (2005),-0.59,0.30,4.97,1.58
0601,Waelbroeck et al (2005),-0.61,0.29,4.96,1.53
0602,Waelbroeck et al (2005),-0.61,0.29,4.96,1.53
0603,Waelbroeck et al (2005),0.70,0.11,13.29,1.85
0604,Waelbroeck et al (2005),-0.21,0.12,10.75,3.01
0605,Waelbroeck et al (2005),-0.21,0.12,10.75,3.01
0606,Waelbroeck et al (2005),-0.21,0.12,10.75,3.01
0607,Waelbroeck et al (2005),0.77,0.12,14.15,1.85
0608,Waelbroeck et al (2005),0.50,0.11,19.60,4.05
0609,Waelbroeck et al (2005),0.35,0.11,9.79,1.25
0610,Waelbroeck et al (2005),1.47,0.14,15.70,1.84
0611,Waelbroeck et al (2005),-0.00,0.12,10.37,1.37
0612,Waelbroeck et al (2005),-0.27,0.13,3.77,1.23
0613,Waelbroeck et al (2005),-0.18,0.13,6.60,1.19
0614,Waelbroeck et al (2005),-0.18,0.13,6.60,1.19
0615,Waelbroeck et al (2005),-0.27,0.13,3.77,1.23
0616,Waelbroeck et al (2005),-0.27,0.13,3.77,1.23
0617,Waelbroeck et al (2005),-0.28,0.13,2.47,1.12
0618,Waelbroeck et al (2005),-0.28,0.13,2.47,1.12
0619,Waelbroeck et al (2005),-0.27,0.12,2.46,1.12
0620,Waelbroeck et al (2005),-0.27,0.12,2.46,1.12
0621,Waelbroeck et al (2005),-0.27,0.13,3.96,1.13
0622,Waelbroeck et al (2005),-0.27,0.13,3.96,1.13
0623,Waelbroeck et al (2005),-0.27,0.13,3.96,1.13
0624,Waelbroeck et al (2005),-0.27,0.13,3.96,1.13
0625,Waelbroeck et al (2005),-0.23,0.13,5.69,1.17
0626,Waelbroeck et al (2005),-0.23,0.13,5.69,1.17
0627,Waelbroeck et al (2005),-0.23,0.13,5.69,1.17
0628,Waelbroeck et al (2005),-0.23,0.13,5.69,1.17
0629,Waelbroeck et al (2005),-0.18,0.13,6.60,1.19
0630,Waelbroeck et al (2005),-0.18,0.13,6.60,1.19
0631,Waelbroeck et al (2005),-0.18,0.13,6.60,1.19
0632,Waelbroeck et al (2005),-0.18,0.13,6.60,1.19
0633,Bousetta et al. (2012),1.31,0.15,14.12,2.66
0634,Waelbroeck et al (2005),0.85,0.11,15.01,2.14
0635,Waelbroeck et al (2005),0.87,0.11,17.72,2.07
0636,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0637,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0638,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0639,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0640,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0641,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0642,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0643,Waelbroeck et al (2005),0.90,0.10,19.18,1.56
0644,Waelbroeck et al (2005),0.90,0.10,19.18,1.56
0645,Waelbroeck et al (2005),0.89,0.10,18.91,1.53
0646,Waelbroeck et al (2005),0.89,0.10,18.91,1.53
0647,Waelbroeck et al (2005),0.89,0.10,18.91,1.53
0648,Waelbroeck et al (2005),0.89,0.10,18.91,1.53
0649,Waelbroeck et al (2005),0.91,0.10,19.50,1.55
0650,Waelbroeck et al (2005),0.89,0.10,18.80,1.59
0651,Waelbroeck et al (2005),0.89,0.10,18.80,1.59
0652,Waelbroeck et al (2005),0.88,0.10,18.38,1.66
0653,Waelbroeck et al (2005),0.88,0.10,18.38,1.66
0654,Waelbroeck et al (2005),0.88,0.10,18.38,1.66
0655,Waelbroeck et al (2005),0.88,0.10,18.38,1.66
0656,Waelbroeck et al (2005),0.88,0.10,18.38,1.66
0657,Waelbroeck et al (2005),0.88,0.10,18.38,1.66
0658,Waelbroeck et al (2005),0.89,0.10,19.02,1.61
0659,Waelbroeck et al (2005),0.49,0.11,21.30,4.58
0660,Waelbroeck et al (2005),0.98,0.12,22.71,2.08
0661,Waelbroeck et al (2005),0.71,0.12,22.63,3.38
0662,Waelbroeck et al (2005),0.94,0.11,25.47,2.01
0663,Waelbroeck et al (2005),0.94,0.11,25.47,2.01
0664,Waelbroeck et al (2005),0.94,0.11,25.47,2.01
0665,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0666,Waelbroeck et al (2005),0.94,0.11,25.47,2.01
0667,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0668,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0669,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0670,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0671,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0672,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0673,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0674,Waelbroeck et al (2005),0.93,0.10,20.72,2.54
0675,Waelbroeck et al (2005),0.93,0.10,20.72,2.54
0676,Waelbroeck et al (2005),0.93,0.10,20.72,2.54
0677,Waelbroeck et al (2005),0.93,0.10,20.72,2.54
0678,Waelbroeck et al (2005),0.93,0.10,20.72,2.54
0679,Waelbroeck et al (2005),0.93,0.10,20.72,2.54
0680,Waelbroeck et al (2005),0.93,0.10,20.72,2.54
0681,Waelbroeck et al (2005),0.93,0.10,20.72,2.54
0682,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0683,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0684,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0685,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0686,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0687,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0688,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0689,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0690,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0691,Waelbroeck et al (2005),0.93,0.10,20.30,2.24
0692,Waelbroeck et al (2005),0.67,0.14,21.17,4.41
0693,Waelbroeck et al (2005),0.67,0.14,21.17,4.41
0694,Waelbroeck et al (2005),0.67,0.14,21.17,4.41
0695,Waelbroeck et al (2005),0.67,0.14,21.17,4.41
0696,Waelbroeck et al (2005),0.67,0.14,21.17,4.41
0697,Waelbroeck et al (2005),0.67,0.14,21.17,4.41
0698,Waelbroeck et al (2005),0.80,0.11,21.06,3.44
0699,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0700,Waelbroeck et al (2005),0.98,0.12,22.82,2.09
0701,Waelbroeck et al (2005),0.95,0.13,23.01,2.17
0702,Waelbroeck et al (2005),0.69,0.14,21.72,4.34
0703,Waelbroeck et al (2005),0.57,0.11,21.36,3.84
0704,Waelbroeck et al (2005),0.51,0.10,20.98,3.71
0705,Waelbroeck et al (2005),0.49,0.10,20.95,3.71
0706,Waelbroeck et al (2005),0.59,0.12,18.57,2.10
0707,Waelbroeck et al (2005),0.59,0.12,18.57,2.10
0708,Waelbroeck et al (2005),0.57,0.12,18.57,2.03
0709,Waelbroeck et al (2005),0.54,0.12,17.84,2.19
0710,Waelbroeck et al (2005),0.53,0.13,17.90,2.63
0711,Waelbroeck et al (2005),0.53,0.13,17.90,2.63
0712,Waelbroeck et al (2005),0.44,0.10,19.99,3.98
0713,Waelbroeck et al (2005),0.40,0.11,19.85,3.97
0714,Waelbroeck et al (2005),0.40,0.11,19.85,3.97
0715,Waelbroeck et al (2005),0.34,0.14,19.79,4.04
0716,Waelbroeck et al (2005),0.31,0.16,19.73,4.07
0717,Waelbroeck et al (2005),0.31,0.16,19.73,4.07
0718,Waelbroeck et al (2005),0.31,0.16,19.73,4.07
0719,Waelbroeck et al (2005),0.38,0.13,20.17,4.13
0720,Waelbroeck et al (2005),0.38,0.13,20.17,4.13
0721,Waelbroeck et al (2005),0.38,0.13,20.17,4.13
0722,Waelbroeck et al (2005),0.38,0.13,20.17,4.13
0723,Waelbroeck et al (2005),0.34,0.15,20.18,4.02
0724,Waelbroeck et al (2005),0.34,0.15,20.18,4.02
0725,Waelbroeck et al (2005),0.93,0.11,26.56,1.75
0726,Waelbroeck et al (2005),0.90,0.10,19.90,2.17
0727,Waelbroeck et al (2005),0.88,0.10,19.35,2.27
0728,Waelbroeck et al (2005),0.85,0.10,19.16,2.26
0729,Waelbroeck et al (2005),0.80,0.10,18.23,2.34
0730,Waelbroeck et al (2005),0.67,0.10,16.66,2.46
0731,Waelbroeck et al (2005),0.92,0.10,19.95,2.06
0732,Waelbroeck et al (2005),0.95,0.13,23.01,2.17
0733,Waelbroeck et al (2005),0.63,0.12,21.58,3.95
0734,Waelbroeck et al (2005),0.58,0.11,21.57,3.75
0735,Waelbroeck et al (2005),0.80,0.11,20.45,2.00
0736,Waelbroeck et al (2005),0.78,0.10,20.49,2.25
0737,Waelbroeck et al (2005),0.73,0.11,19.82,2.51
0738,Waelbroeck et al (2005),0.38,0.13,20.17,4.13
0739,Waelbroeck et al (2005),0.54,0.11,21.24,4.39
0740,Waelbroeck et al (2005),0.80,0.12,25.07,2.56
0741,Waelbroeck et al (2005),0.76,0.13,23.79,3.02
0742,Waelbroeck et al (2005),0.86,0.11,23.42,1.77
0743,Waelbroeck et al (2005),0.80,0.11,22.20,1.90
0744,Waelbroeck et al (2005),0.82,0.12,22.18,1.93
0745,Waelbroeck et al (2005),0.82,0.12,21.98,1.95
0746,Waelbroeck et al (2005),0.82,0.12,21.72,1.97
0747,Waelbroeck et al (2005),0.60,0.12,21.62,3.86
0748,Waelbroeck et al (2005),0.63,0.12,21.59,3.87
0749,Waelbroeck et al (2005),0.64,0.12,21.65,3.81
0750,Waelbroeck et al (2005),0.62,0.11,21.60,3.85
0751,Waelbroeck et al (2005),0.38,0.13,20.36,4.07
0752,Waelbroeck et al (2005),0.88,0.11,19.91,2.17
0753,Waelbroeck et al (2005),0.79,0.10,18.51,1.94
0754,Waelbroeck et al (2005),0.78,0.10,18.52,1.95
0755,Waelbroeck et al (2005),0.78,0.10,18.52,1.95
0756,Waelbroeck et al (2005),0.77,0.10,18.44,1.96
0757,Waelbroeck et al (2005),0.77,0.10,18.44,1.96
0758,Waelbroeck et al (2005),0.75,0.10,17.90,1.86
0759,Waelbroeck et al (2005),0.55,0.11,18.54,1.91
0760,Waelbroeck et al (2005),0.54,0.11,18.32,1.92
0761,Waelbroeck et al (2005),0.55,0.11,18.62,1.86
0762,Waelbroeck et al (2005),0.55,0.11,18.69,1.81
0763,Waelbroeck et al (2005),0.92,0.10,19.95,2.06
0764,Waelbroeck et al (2005),0.57,0.11,21.59,3.65
0765,Waelbroeck et al (2005),0.92,0.10,19.78,2.24
0766,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0767,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0768,Regenberg et al (2006) Steph et al 2009,0.91,0.11,25.70,1.79
0769,Regenberg et al (2006) Steph et al 2009,0.91,0.11,25.70,1.79
0770,Regenberg et al (2006) Steph et al 2009,0.90,0.17,26.36,1.66
0771,Regenberg et al (2006) Steph et al 2009,0.90,0.17,26.36,1.66
0772,Regenberg et al (2006) Steph et al 2009,0.93,0.18,26.19,1.69
0773,Regenberg et al (2006) Steph et al 2009,0.95,0.16,26.13,1.65
0774,Regenberg et al (2006) Steph et al 2009,0.97,0.13,25.75,1.71
0775,Regenberg et al (2006) Steph et al 2009,0.91,0.11,25.70,1.79
0776,Regenberg et al (2006) Steph et al 2009,1.02,0.13,26.13,1.59
0777,Regenberg et al (2006) Steph et al 2009,1.03,0.13,26.13,1.59
0778,Parker et al (2016),0.53,0.12,21.47,4.74
0779,Regenberg et al (2009),0.62,0.12,21.50,3.91
0780,Regenberg et al (2009) Steph et al (2009),0.63,0.11,21.59,3.83
0781,Regenberg et al (2009) Steph et al (2009),0.65,0.12,21.71,3.79
0782,Regenberg et al (2009) Steph et al (2009),0.65,0.12,21.71,3.79
0783,Regenberg et al (2009) Steph et al (2009),0.61,0.11,21.52,3.85
0784,Regenberg et al (2009) Steph et al (2009),0.58,0.11,21.57,3.75
0785,Regenberg et al (2009) Steph et al (2009),0.60,0.12,21.71,3.75
0786,Regenberg et al (2009) Steph et al (2009),0.61,0.12,21.78,3.74
0787,Regenberg et al (2009) Steph et al (2009),0.60,0.12,21.71,3.75
0788,Regenberg et al (2009) Steph et al (2009),0.63,0.12,21.74,3.84
0789,Regenberg et al (2009) Steph et al (2009),0.64,0.12,21.81,3.82
0790,Regenberg et al (2009),0.65,0.12,21.88,3.79
0791,Regenberg et al (2009),0.83,0.12,22.80,1.87
0792,Regenberg et al (2009) Steph et al (2009),0.75,0.12,23.46,2.97
0793,Regenberg et al (2009),0.76,0.12,23.62,2.90
0794,Regenberg et al (2009) Steph et al (2009),0.77,0.12,23.94,2.75
0795,Regenberg et al (2009) Steph et al (2009),0.78,0.12,24.22,2.63
0796,Regenberg et al (2009) Steph et al (2009),0.79,0.13,23.81,3.12
0797,Regenberg et al (2006) Steph et al 2009,0.91,0.11,25.70,1.79
0798,Regenberg et al (2009) Steph et al (2009),0.78,0.12,25.01,2.52
0799,Regenberg et al (2006) Steph et al 2009,0.90,0.17,26.36,1.66
0800,Regenberg et al (2006) Steph et al 2009,0.90,0.16,26.44,1.68
0801,Regenberg et al (2006) Steph et al 2009,0.94,0.12,24.90,1.97
0802,Waelbroeck et al (2005),0.31,0.16,19.73,4.07
0803,Regenberg et al (2006) Steph et al 2009,0.98,0.13,25.88,1.66
0804,Regenberg et al (2006) Steph et al 2009,1.00,0.14,26.08,1.61
0805,Regenberg et al (2006) Steph et al 2009,1.03,0.14,26.11,1.60
0806,Waelbroeck et al (2005),0.94,0.12,24.90,1.97
0807,Regenberg et al (2006) Steph et al 2009,1.01,0.16,26.09,1.62
0808,Regenberg et al (2006) Steph et al 2009,1.01,0.16,26.09,1.62
0809,Regenberg et al (2006) Steph et al 2009,1.04,0.14,26.03,1.62
0810,Waelbroeck et al (2005),0.93,0.11,26.56,1.75
0811,Regenberg et al (2006) Steph et al 2009,1.04,0.14,26.03,1.62
0812,Regenberg et al (2006) Steph et al 2009,1.03,0.15,26.18,1.59
0813,Regenberg et al (2006) Steph et al 2009,1.03,0.15,26.18,1.59
0814,Regenberg et al (2006) Steph et al 2009,0.98,0.18,26.22,1.61
0815,Regenberg et al (2006) Steph et al 2009,0.98,0.18,26.22,1.61
0816,Regenberg et al (2006) Steph et al 2009,0.98,0.18,26.22,1.61
0817,Regenberg et al (2006) Steph et al 2009,0.98,0.18,26.22,1.61
0818,Regenberg et al (2006) Steph et al 2009,0.98,0.18,26.22,1.61
0819,Regenberg et al (2006) Steph et al 2009,0.95,0.19,26.17,1.63
0820,Regenberg et al (2006) Steph et al 2009,0.92,0.20,26.12,1.66
0821,Regenberg et al (2006) Steph et al 2009,0.95,0.11,26.55,1.73
0822,Regenberg et al (2006) Steph et al 2009,0.95,0.11,26.55,1.73
0823,Regenberg et al (2006) Steph et al 2009,0.95,0.11,26.54,1.75
0824,Regenberg et al (2006) Steph et al 2009,0.95,0.11,26.54,1.75
0825,Regenberg et al (2006) Steph et al 2009,0.95,0.11,26.54,1.75
0826,Regenberg et al (2006) Steph et al 2009,0.95,0.11,26.54,1.75
0827,Regenberg et al (2006) Steph et al 2009,0.95,0.10,26.62,1.76
0828,Regenberg et al (2006) Steph et al 2009,0.95,0.10,26.62,1.76
0829,Regenberg et al (2006) Steph et al 2009,0.96,0.11,25.71,1.93
0830,Regenberg et al (2006) Steph et al 2009,0.90,0.14,26.41,1.68
0831,Waelbroeck et al (2005),0.92,0.10,19.79,2.01
0832,Regenberg et al (2009) Steph et al (2009),0.75,0.11,24.44,2.55
0833,Regenberg et al (2009),0.80,0.12,25.15,2.44
0834,Waelbroeck et al (2005),0.93,0.12,17.10,2.45
0835,Waelbroeck et al (2005),0.93,0.12,17.10,2.45
0836,Waelbroeck et al (2005),0.93,0.12,17.10,2.45
0837,Waelbroeck et al (2005),0.93,0.12,17.10,2.45
0838,Waelbroeck et al (2005),0.93,0.12,17.10,2.45
0839,Waelbroeck et al (2005),0.86,0.11,17.91,2.01
0840,Waelbroeck et al (2005),0.86,0.11,17.91,2.01
0841,Waelbroeck et al (2005),0.86,0.11,17.91,2.01
0842,Waelbroeck et al (2005),0.86,0.11,17.91,2.01
0843,Waelbroeck et al (2005),0.86,0.11,17.91,2.01
0844,Waelbroeck et al (2005),0.86,0.11,17.91,2.01
0845,Waelbroeck et al (2005),0.86,0.11,17.91,2.01
0846,Waelbroeck et al (2005),0.86,0.11,17.91,2.01
0847,Waelbroeck et al (2005),0.86,0.11,17.91,2.01
0848,Waelbroeck et al (2005),0.88,0.10,18.59,1.66
0849,Waelbroeck et al (2005),0.88,0.10,18.44,1.75
