Sample,Ref,d18Osw,sd18Osw,T,sT
0098,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0099,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0100,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0101,Waelbroeck et al (2005),0.80,0.11,14.99,2.39
0102,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0103,Waelbroeck et al (2005),0.79,0.12,14.99,2.60
0104,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0105,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0106,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0107,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0108,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0109,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0110,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0111,Waelbroeck et al (2005),0.99,0.17,14.37,2.28
0112,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0113,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0114,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0115,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0116,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0117,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0118,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0119,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0120,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0121,Waelbroeck et al (2005),0.81,0.11,14.66,2.45
0122,Waelbroeck et al (2005),0.79,0.12,15.09,2.64
0123,Waelbroeck et al (2005),0.74,0.12,14.68,2.66
0124,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0125,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0126,Waelbroeck et al (2005),0.47,0.17,14.14,4.86
0127,Waelbroeck et al (2005),0.47,0.17,14.14,4.86
0128,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0129,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0130,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0131,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0132,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0133,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0134,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0135,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0136,Waelbroeck et al (2005),0.76,0.16,15.41,3.15
0137,Waelbroeck et al (2005),0.76,0.16,15.41,3.15
0138,Waelbroeck et al (2005),0.76,0.15,15.37,3.15
0139,Waelbroeck et al (2005),0.76,0.15,15.37,3.15
0140,Waelbroeck et al (2005),0.76,0.15,15.37,3.15
0141,Waelbroeck et al (2005),0.76,0.15,15.37,3.15
0142,Waelbroeck et al (2005),0.76,0.15,15.37,3.15
0143,Waelbroeck et al (2005),0.47,0.17,14.14,4.86
0144,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0145,Waelbroeck et al (2005),0.47,0.17,14.14,4.86
0146,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0147,Waelbroeck et al (2005),0.72,0.18,15.14,3.50
0148,Waelbroeck et al (2005),0.69,0.20,15.09,3.81
0149,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0150,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0151,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0152,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0153,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0154,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0155,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0156,Waelbroeck et al (2005),0.67,0.22,15.02,4.09
0157,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0158,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0159,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0160,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0161,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0162,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
0163,Waelbroeck et al (2005),0.56,0.19,14.53,4.50
